# lat,lng,id,name,building_type,type,url,page_type
# furore -- restaurants
40.622732,14.551089,ov_l_incanto_40.6227_14.5511,L'Incanto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/lincanto_40.6227_14.5511.json,custom
40.613994,14.551350,ov_ristorante_al_fiordo_40.6140_14.5513,Ristorante al Fiordo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/ristorante_al_fiordo_40.6140_14.5513.json,custom
40.616754,14.548414,ov_relish_lounge_bar___ristorante_40.6168_14.5484,Relish Lounge Bar & Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/relish_lounge_bar_ristorante_40.6168_14.5484.json,custom
40.615716,14.547780,ov_bluh_furore_40.6157_14.5478,Bluh Furore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/bluh_furore_40.6157_14.5478.json,custom
40.617703,14.544159,ov_melchio_40.6177_14.5442,Melchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/melchio_40.6177_14.5442.json,custom
40.613722,14.539449,ov_gala_maris_40.6137_14.5394,Gala Maris,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/gala_maris_40.6137_14.5394.json,custom
40.613666,14.539196,ov_bar_mare_donna_clelia_40.6137_14.5392,Bar Mare Donna Clelia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/bar_mare_donna_clelia_40.6137_14.5392.json,custom
40.620309,14.541325,ov_agriturismo_sant_alfonso_40.6203_14.5413,Agriturismo Sant'Alfonso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/agriturismo_santalfonso_40.6203_14.5413.json,custom
40.617803,14.541416,ov_il_casone_de_la_volpe_pescatrice_40.6178_14.5414,Il Casone de La volpe pescatrice,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/il_casone_de_la_volpe_pescatrice_40.6178_14.5414.json,custom
40.618845,14.552654,ov_bianca_zita_40.6188_14.5527,Bianca Zita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/bianca_zita_40.6188_14.5527.json,custom
40.618891,14.552657,ov__o_curniciello___forno___cucina_40.6189_14.5527,'O Curniciello - Forno & Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/o_curniciello_-_forno_cucina_40.6189_14.5527.json,custom
40.620808,14.551400,ov_luca_s_restaurant_40.6208_14.5514,Luca's Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/lucas_restaurant_40.6208_14.5514.json,custom
40.618860,14.552622,osm_bianca_zita_ristorante_enoteca_40.6189_14.5526,Bianca ZIta Ristorante Enoteca,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/bianca_zita_ristorante_enoteca_40.6189_14.5526.json,custom
40.617631,14.544119,osm_melchio_restaurant_40.6176_14.5441,Melchio restaurant,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/furore/pages/melchio_restaurant_40.6176_14.5441.json,custom
