# lat,lng,id,name,building_type,type,url,page_type
# Ripalimosani -- Tutti
41.593780,14.673720,ov_hanami_centro_autismo_41.5938_14.6737,Hanami Centro Autismo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/hanami_centro_autismo_41.5938_14.6737.json,custom
41.637802,14.610191,ov_paradise_41.6378_14.6102,Paradise,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/paradise_41.6378_14.6102.json,custom
41.608012,14.650337,ov_ristorante_regio_mare_41.6080_14.6503,Ristorante Regio Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/ristorante_regio_mare_41.6080_14.6503.json,custom
41.595572,14.671278,ov_hotel_la_tavernetta___ristorante_pizzeri_41.5956_14.6713,Hotel La Tavernetta - Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/hotel_la_tavernetta_-_ristorante_pizzeri_41.5956_14.6713.json,custom
41.596826,14.665955,ov_il_picchio_rosso_41.5968_14.6660,Il Picchio Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/il_picchio_rosso_41.5968_14.6660.json,custom
41.599961,14.655033,ov_a_casa_mia_41.6000_14.6550,A Casa Mia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/a_casa_mia_41.6000_14.6550.json,custom
41.600759,14.644678,ov_la_casa_di_paglia_41.6008_14.6447,La Casa di Paglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/la_casa_di_paglia_41.6008_14.6447.json,custom
41.597339,14.646115,osm_coriolis_41.5973_14.6461,Coriolis,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/coriolis_41.5973_14.6461.json,custom
41.595612,14.671247,osm_la_tavernetta_41.5956_14.6712,La Tavernetta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/la_tavernetta_41.5956_14.6712.json,custom
41.612291,14.665605,ov_bar_la_piazzetta_41.6123_14.6656,Bar La Piazzetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/bar_la_piazzetta_41.6123_14.6656.json,custom
41.612098,14.664537,ov_bar_morgione_41.6121_14.6645,Bar Morgione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/bar_morgione_41.6121_14.6645.json,custom
41.596102,14.677054,ov_la_taverna_del_cortile_41.5961_14.6771,La Taverna del Cortile,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/la_taverna_del_cortile_41.5961_14.6771.json,custom
41.590073,14.672479,ov_caff__camardo_41.5901_14.6725,Caffè Camardo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/caff_camardo_41.5901_14.6725.json,custom
41.592723,14.664774,ov_birrificio_sannita_41.5927_14.6648,Birrificio Sannita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/birrificio_sannita_41.5927_14.6648.json,custom
41.591630,14.672510,ov_caff__monforte_italia_41.5916_14.6725,Caffè Monforte Italia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/caff_monforte_italia_41.5916_14.6725.json,custom
41.596119,14.677027,osm_bar_tabacchi_taverna_del_cortile_41.5961_14.6770,Bar Tabacchi Taverna del Cortile,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/bar_tabacchi_taverna_del_cortile_41.5961_14.6770.json,custom
41.590129,14.665361,ov_asd_razorback_powerlifting_41.5901_14.6654,ASD Razorback powerlifting,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/asd_razorback_powerlifting_41.5901_14.6654.json,custom
41.612552,14.664968,ov_il_castello_di_ripa_41.6126_14.6650,Il Castello Di Ripa,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/il_castello_di_ripa_41.6126_14.6650.json,custom
41.611947,14.663088,osm_poste_italiane_41.6119_14.6631,Poste Italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/ripalimosani/pages/poste_italiane_41.6119_14.6631.json,custom
