# lat,lng,id,name,building_type,type,url,page_type
# scafati -- restaurants
40.738248,14.483555,ov_trattoria_dal_nonnino_40.7382_14.4836,Trattoria dal nonnino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/trattoria_dal_nonnino_40.7382_14.4836.json,custom
40.702915,14.483142,ov_fish_lab_40.7029_14.4831,Fish.Lab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/fishlab_40.7029_14.4831.json,custom
40.740766,14.508492,ov_pizzeria_resta_cu_mme_40.7408_14.5085,Pizzeria Resta cu'mme,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/pizzeria_resta_cumme_40.7408_14.5085.json,custom
40.741881,14.512663,ov_pizzeria_staiano_40.7419_14.5127,Pizzeria Staiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/pizzeria_staiano_40.7419_14.5127.json,custom
40.740963,14.508832,ov_pizzeria_sanlorenzo_40.7410_14.5088,Pizzeria SANLORENZO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/pizzeria_sanlorenzo_40.7410_14.5088.json,custom
40.746623,14.514699,ov_pizza___da_vittorio_40.7466_14.5147,Pizza - da Vittorio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/pizza_-_da_vittorio_40.7466_14.5147.json,custom
40.751071,14.515642,ov_punto_gaia_40.7511_14.5156,Punto Gaia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/punto_gaia_40.7511_14.5156.json,custom
40.750051,14.515635,ov_tutto_pepe_pizzeria_40.7501_14.5156,Tutto Pepe Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/tutto_pepe_pizzeria_40.7501_14.5156.json,custom
40.752983,14.516883,ov_burgheri_grill_house_40.7530_14.5169,Burgheri Grill House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/burgheri_grill_house_40.7530_14.5169.json,custom
40.751327,14.518108,ov_bisteccheria_la_scottona_40.7513_14.5181,Bisteccheria La Scottona,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/bisteccheria_la_scottona_40.7513_14.5181.json,custom
40.750607,14.517916,ov_vinenza_enoteca_e_bistrot_40.7506_14.5179,Vinenza Enoteca e Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/vinenza_enoteca_e_bistrot_40.7506_14.5179.json,custom
40.750349,14.517976,ov_pako_burger_store_40.7503_14.5180,Pako Burger Store,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/scafati/pages/pako_burger_store_40.7503_14.5180.json,custom
