# lat,lng,id,name,building_type,type,url,page_type
# schiavi_di_abruzzo -- Tutti
41.848210,14.496405,ov_antica_trattoria_vittoria_41.8482_14.4964,Antica Trattoria Vittoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/antica_trattoria_vittoria_41.8482_14.4964.json,custom
41.826891,14.488567,ov_il_rifugio_dei_lupi_41.8269_14.4886,Il Rifugio dei Lupi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/il_rifugio_dei_lupi_41.8269_14.4886.json,custom
41.803575,14.484664,ov_i_templi_italici_41.8036_14.4847,I Templi Italici,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/i_templi_italici_41.8036_14.4847.json,custom
41.813507,14.486302,osm_roxy_bar_41.8135_14.4863,Roxy Bar,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/roxy_bar_41.8135_14.4863.json,custom
41.815147,14.486050,osm_bar_usa_94_41.8151_14.4861,Bar Usa 94,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/bar_usa_94_41.8151_14.4861.json,custom
41.824006,14.500623,ov_campo_di_tiro_41.8240_14.5006,Campo di Tiro,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/campo_di_tiro_41.8240_14.5006.json,custom
41.813690,14.486290,ov_il_fantastico_mondo_minecraft_41.8137_14.4863,Il fantastico mondo Minecraft,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/il_fantastico_mondo_minecraft_41.8137_14.4863.json,custom
41.815719,14.486082,ov_museo_archeologico_di_schiavi_di_abruzzo_41.8157_14.4861,Museo Archeologico di Schiavi di Abruzzo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/museo_archeologico_di_schiavi_di_abruzzo_41.8157_14.4861.json,custom
41.813390,14.486217,osm_ufficio_postale_schiavi_d_abruzzo_41.8134_14.4862,Ufficio postale Schiavi D'Abruzzo,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/ufficio_postale_schiavi_dabruzzo_41.8134_14.4862.json,custom
41.815354,14.485658,osm_biblioteca_comunale_41.8154_14.4857,Biblioteca comunale,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/schiavi_di_abruzzo/pages/biblioteca_comunale_41.8154_14.4857.json,custom
