# lat,lng,id,name,building_type,type,url,page_type
# terracina -- bars_cafes
41.287540,13.059670,ov_sandry_cafee__41.2875_13.0597,Sandry Cafee',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/sandry_cafee_41.2875_13.0597.json,custom
41.328785,13.129558,ov_schinina_brewing_41.3288_13.1296,Schinina Brewing,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/schinina_brewing_41.3288_13.1296.json,custom
41.309776,13.097719,ov_bar_oasi_la_nespola_41.3098_13.0977,Bar oasi la nespola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/bar_oasi_la_nespola_41.3098_13.0977.json,custom
41.283050,13.178400,ov_alixia_bar_41.2831_13.1784,Alixia BAR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/alixia_bar_41.2831_13.1784.json,custom
41.308776,13.171679,ov_bar_centrale_la_perla_41.3088_13.1717,Bar Centrale la Perla,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/bar_centrale_la_perla_41.3088_13.1717.json,custom
41.308610,13.171530,ov_comodo_pizza_41.3086_13.1715,Comodo PIZZA,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/comodo_pizza_41.3086_13.1715.json,custom
41.308225,13.170935,ov_club__moreno_torricelli_41.3082_13.1709,Club  Moreno Torricelli,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/club_moreno_torricelli_41.3082_13.1709.json,custom
41.276710,13.159783,ov_bar_baia_verde_41.2767_13.1598,Bar Baia Verde,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/bar_baia_verde_41.2767_13.1598.json,custom
41.267222,13.140039,ov_bar_ciao_90_41.2672_13.1400,Bar Ciao 90,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/bar_ciao_90_41.2672_13.1400.json,custom
41.263896,13.144203,ov_vento_d_estate_41.2639_13.1442,Vento d estate,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/vento_d_estate_41.2639_13.1442.json,custom
41.269590,13.144785,ov_bar_ezio_41.2696_13.1448,Bar Ezio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/abruzzo/terracina/pages/bar_ezio_41.2696_13.1448.json,custom
