# lat,lng,id,name,building_type,type,url,page_type
# canosa_di_puglia -- gyms
41.224580,16.068200,ov_club_for_fitness_41.2246_16.0682,Club for Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/club_for_fitness_41.2246_16.0682.json,custom
41.222643,16.069650,ov_asd_body_masters_gym_41.2226_16.0696,ASD Body Masters Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/asd_body_masters_gym_41.2226_16.0696.json,custom
41.220717,16.075281,ov_asd_reasport_wellness_41.2207_16.0753,ASD Reasport Wellness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/asd_reasport_wellness_41.2207_16.0753.json,custom
41.219413,16.069383,ov_l_etoile_41.2194_16.0694,L'Etoile,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/letoile_41.2194_16.0694.json,custom
41.220396,16.058982,ov_veneziano_ranch_a_s_d_41.2204_16.0590,Veneziano Ranch A.s.d,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/veneziano_ranch_asd_41.2204_16.0590.json,custom
41.218337,16.064761,ov_cave_1882_fitness_club_41.2183_16.0648,Cave 1882 Fitness Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/cave_1882_fitness_club_41.2183_16.0648.json,custom
41.218904,16.070388,ov_hollywood_dance_canosa_41.2189_16.0704,Hollywood Dance Canosa,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/hollywood_dance_canosa_41.2189_16.0704.json,custom
41.217620,16.064970,ov_korpea_41.2176_16.0650,korpea,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/korpea_41.2176_16.0650.json,custom
41.215402,16.079256,ov_db_performance_lab_41.2154_16.0793,DB Performance Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/db_performance_lab_41.2154_16.0793.json,custom
41.214670,16.059430,ov_boxe_di_palo_41.2147_16.0594,Boxe Di Palo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/boxe_di_palo_41.2147_16.0594.json,custom
41.211506,16.077694,ov_fitness_and_dance_studio_damiano_41.2115_16.0777,Fitness and Dance Studio Damiano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/fitness_and_dance_studio_damiano_41.2115_16.0777.json,custom
41.211180,16.077650,ov_asd_simona_metta_fit___dance_41.2112_16.0776,ASD Simona Metta FIT & DANCE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/asd_simona_metta_fit_dance_41.2112_16.0776.json,custom
41.176069,16.032372,ov_color_wars_paintball_41.1761_16.0324,Color Wars Paintball,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/color_wars_paintball_41.1761_16.0324.json,custom
41.220696,16.075307,osm_reasport_41.2207_16.0753,Reasport,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/canosa_di_puglia/pages/reasport_41.2207_16.0753.json,custom
