# lat,lng,id,name,building_type,type,url,page_type
# francavilla_in_sinni -- restaurants.csv
40.084183,16.195456,ov_agriturismo_il_crepuscolo_40.0842_16.1955,Agriturismo Il Crepuscolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/agriturismo_il_crepuscolo_40.0842_16.1955.json,custom
40.059829,16.196287,ov_agriturismo_il_bel_vedere_40.0598_16.1963,agriturismo IL BEL VEDERE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/agriturismo_il_bel_vedere_40.0598_16.1963.json,custom
40.052030,16.199690,ov_la_fontana_del_tasso_40.0520_16.1997,La Fontana del Tasso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/la_fontana_del_tasso_40.0520_16.1997.json,custom
40.015968,16.233264,ov_agriturismo_l_agrifoglio_40.0160_16.2333,Agriturismo L’Agrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/agriturismo_lagrifoglio_40.0160_16.2333.json,custom
40.016180,16.233350,ov_agriturismo_acqua_bianca_parco_nazionale_40.0162_16.2334,Agriturismo Acqua Bianca Parco Nazionale del Pollino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/agriturismo_acqua_bianca_parco_nazionale_40.0162_16.2334.json,custom
40.018899,16.238610,ov_agriturismo_agrifoglio_40.0189_16.2386,Agriturismo agrifoglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/agriturismo_agrifoglio_40.0189_16.2386.json,custom
40.075425,16.209602,ov_ristorante_pizzeria_san_nicola_40.0754_16.2096,Ristorante Pizzeria San Nicola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/ristorante_pizzeria_san_nicola_40.0754_16.2096.json,custom
40.079676,16.203425,ov_tu_ed_io_40.0797_16.2034,Tu Ed Io,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/tu_ed_io_40.0797_16.2034.json,custom
40.081633,16.203374,ov_l_artedelgusto_40.0816_16.2034,L'artedelgusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/lartedelgusto_40.0816_16.2034.json,custom
40.087672,16.209379,ov_ristorante_al_giardinetto_40.0877_16.2094,Ristorante Al Giardinetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/ristorante_al_giardinetto_40.0877_16.2094.json,custom
40.081769,16.203246,osm_pizzeria_dal_frate_40.0818_16.2032,Pizzeria Dal Frate,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/basilicata/francavilla_in_sinni/pages/pizzeria_dal_frate_40.0818_16.2032.json,custom
