# lat,lng,id,name,building_type,type,url,page_type
# amaroni -- Tutti
38.789060,16.439172,ov_ristorante_pizzeria_san_luca_38.7891_16.4392,Ristorante Pizzeria San Luca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/ristorante_pizzeria_san_luca_38.7891_16.4392.json,custom
38.794481,16.444484,ov_la_vecchia_falegnameria_38.7945_16.4445,La Vecchia Falegnameria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/la_vecchia_falegnameria_38.7945_16.4445.json,custom
38.792431,16.447176,ov_a_casa_da_nanna_38.7924_16.4472,A Casa da Nanna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/a_casa_da_nanna_38.7924_16.4472.json,custom
38.793277,16.452459,ov_la_locanda_38.7933_16.4525,La locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/la_locanda_38.7933_16.4525.json,custom
38.795731,16.450867,ov_forum_38.7957_16.4509,Forum,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/forum_38.7957_16.4509.json,custom
38.794720,16.455810,ov_agriturismo_l_ulivo_38.7947_16.4558,Agriturismo l’ulivo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/agriturismo_lulivo_38.7947_16.4558.json,custom
38.794636,16.446169,ov_bar_anfiteatro_38.7946_16.4462,BAR Anfiteatro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/bar_anfiteatro_38.7946_16.4462.json,custom
38.792733,16.447621,ov_plaza_caf__38.7927_16.4476,Plaza Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/plaza_caf_38.7927_16.4476.json,custom
38.792750,16.449989,ov_mim__bar_38.7927_16.4500,Mimì Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/mim_bar_38.7927_16.4500.json,custom
38.793928,16.444800,ov_biblioteca_comunale_tiziano_terzani_38.7939_16.4448,Biblioteca Comunale Tiziano Terzani,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/amaroni/pages/biblioteca_comunale_tiziano_terzani_38.7939_16.4448.json,custom
