# lat,lng,id,name,building_type,type,url,page_type
# cerisano -- Tutti
39.284423,16.161961,ov_bar_pizzeria_da_vito_39.2844_16.1620,Bar pizzeria Da Vito,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/bar_pizzeria_da_vito_39.2844_16.1620.json,custom
39.276239,16.176615,ov_nel_cortile_pizzeria_39.2762_16.1766,Nel Cortile Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/nel_cortile_pizzeria_39.2762_16.1766.json,custom
39.276797,16.179468,ov_la_locanda_del_paese_39.2768_16.1795,La Locanda Del Paese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/la_locanda_del_paese_39.2768_16.1795.json,custom
39.276703,16.179289,ov_osteria_dei_pazzi_39.2767_16.1793,Osteria dei Pazzi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/osteria_dei_pazzi_39.2767_16.1793.json,custom
39.276393,16.178865,ov_ristopub_bar_pizzeria_risorgimento_39.2764_16.1789,Ristopub Bar Pizzeria Risorgimento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/ristopub_bar_pizzeria_risorgimento_39.2764_16.1789.json,custom
39.275458,16.178339,ov_sante_4_1_39.2755_16.1783,Sante 4.1,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/sante_41_39.2755_16.1783.json,custom
39.277940,16.181960,ov_ristorante___pizzeria_la_casareccia_39.2779_16.1820,Ristorante - Pizzeria La Casareccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/ristorante_-_pizzeria_la_casareccia_39.2779_16.1820.json,custom
39.285887,16.185592,ov_aurum_terrae_39.2859_16.1856,Aurum Terrae,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/aurum_terrae_39.2859_16.1856.json,custom
39.276179,16.179247,ov_music_caffe_risorgimento_di_greco_angelo_39.2762_16.1792,Music Caffe Risorgimento di Greco Angelo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/music_caffe_risorgimento_di_greco_angelo_39.2762_16.1792.json,custom
39.275394,16.178482,ov_max_discopubtabu__39.2754_16.1785,Max Discopubtabu',RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/max_discopubtabu_39.2754_16.1785.json,custom
39.274705,16.178032,ov_bar_las_vegas_39.2747_16.1780,Bar Las Vegas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cerisano/pages/bar_las_vegas_39.2747_16.1780.json,custom
