# lat,lng,id,name,building_type,type,url,page_type
# cosenza -- gyms.csv
39.211715,16.155312,ov_la_casetta_di_nonna_ida_39.2117_16.1553,La Casetta di Nonna Ida,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/la_casetta_di_nonna_ida_39.2117_16.1553.json,custom
39.295833,16.253778,ov_movimento_statico_39.2958_16.2538,Movimento Statico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/movimento_statico_39.2958_16.2538.json,custom
39.297760,16.257040,ov_stadio_a_c_morrone_39.2978_16.2570,Stadio A C Morrone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/stadio_a_c_morrone_39.2978_16.2570.json,custom
39.293044,16.254927,ov_kratos_fitness_center_39.2930_16.2549,Kratos Fitness Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/kratos_fitness_center_39.2930_16.2549.json,custom
39.293218,16.252597,ov_centro_personal_training_pilates_cosenza_39.2932_16.2526,Centro Personal Training Pilates Cosenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/centro_personal_training_pilates_cosenza_39.2932_16.2526.json,custom
39.292115,16.254778,ov_wargame_arena_softair_39.2921_16.2548,WarGame Arena SoftAir,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/wargame_arena_softair_39.2921_16.2548.json,custom
39.286919,16.263748,ov_atletika_pilates_fitness_istitute_39.2869_16.2637,Atletika Pilates Fitness Istitute,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/atletika_pilates_fitness_istitute_39.2869_16.2637.json,custom
39.289228,16.258974,ov_shiva_s_garden_39.2892_16.2590,Shiva's Garden,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/shivas_garden_39.2892_16.2590.json,custom
39.300366,16.259056,ov_x_pression_health_club_39.3004_16.2591,X-Pression Health Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/x-pression_health_club_39.3004_16.2591.json,custom
39.310245,16.259995,ov_futsalpadelclub_cosenza_39.3102_16.2600,FutsalPadelclub Cosenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/futsalpadelclub_cosenza_39.3102_16.2600.json,custom
39.323779,16.251956,ov_scuola_calcio_pro_cosenza_39.3238_16.2520,Scuola Calcio Pro Cosenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/scuola_calcio_pro_cosenza_39.3238_16.2520.json,custom
39.323230,16.250610,ov_pilates_school_susanna_39.3232_16.2506,Pilates School Susanna,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/pilates_school_susanna_39.3232_16.2506.json,custom
39.321812,16.245771,ov_kodokansport_di_via_marconi_39.3218_16.2458,Kodokansport di via marconi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/kodokansport_di_via_marconi_39.3218_16.2458.json,custom
39.314783,16.249498,ov_dancing_club_39.3148_16.2495,Dancing Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/dancing_club_39.3148_16.2495.json,custom
39.321454,16.247545,ov_jackals_club_39.3215_16.2475,Jackals Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/jackals_club_39.3215_16.2475.json,custom
39.320390,16.247690,ov_space_16___dance_academy_39.3204_16.2477,Space 16 - Dance Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/space_16_-_dance_academy_39.3204_16.2477.json,custom
39.320074,16.247070,ov_theone_ssd___your_fitness_place_39.3201_16.2471,TheOne SSD - Your Fitness Place,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/theone_ssd_-_your_fitness_place_39.3201_16.2471.json,custom
39.318291,16.253261,ov_carattere_fisico_39.3183_16.2533,Carattere Fisico,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/carattere_fisico_39.3183_16.2533.json,custom
39.321369,16.252775,ov_libero_tennis_cosenza_39.3214_16.2528,Libero Tennis Cosenza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/libero_tennis_cosenza_39.3214_16.2528.json,custom
39.316060,16.255870,ov_the_champions_replatz_39.3161_16.2559,The Champions Replatz,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/cosenza/pages/the_champions_replatz_39.3161_16.2559.json,custom
