# lat,lng,id,name,building_type,type,url,page_type
# dipignano -- restaurants.csv
39.242176,16.230596,ov_agriturismo_ferrari_39.2422_16.2306,Agriturismo Ferrari,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/agriturismo_ferrari_39.2422_16.2306.json,custom
39.239194,16.231664,ov_chianu__e_piru_39.2392_16.2317,Chianu 'e Piru,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/chianu_e_piru_39.2392_16.2317.json,custom
39.238045,16.240257,ov_donato_grandi_impianti_srls_39.2380_16.2403,Donato Grandi Impianti Srls,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/donato_grandi_impianti_srls_39.2380_16.2403.json,custom
39.237940,16.247560,ov_cesare_barone_39.2379_16.2476,Cesare Barone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/cesare_barone_39.2379_16.2476.json,custom
39.237457,16.251065,ov_white_horse_3_0_39.2375_16.2511,White Horse 3.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/white_horse_30_39.2375_16.2511.json,custom
39.236767,16.250712,ov_osteria_dal_cugino_39.2368_16.2507,Osteria dal Cugino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/osteria_dal_cugino_39.2368_16.2507.json,custom
39.237779,16.254119,ov_sun_day_bar_pizzeria_39.2378_16.2541,Sun Day Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/sun_day_bar_pizzeria_39.2378_16.2541.json,custom
39.261713,16.240461,ov_ristorante_pizzeria_da_livio_39.2617_16.2405,Ristorante Pizzeria da Livio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/ristorante_pizzeria_da_livio_39.2617_16.2405.json,custom
39.274520,16.240450,ov_casale_reginella_39.2745_16.2404,Casale Reginella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/casale_reginella_39.2745_16.2404.json,custom
39.277877,16.241095,ov_ristorante_pizzeria_catena_1960_39.2779_16.2411,Ristorante-Pizzeria Catena 1960,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/calabria/dipignano/pages/ristorante-pizzeria_catena_1960_39.2779_16.2411.json,custom
