# lat,lng,id,name,building_type,type,url,page_type
# Benevento -- Tutti
41.119323,14.794528,ov_azienda_ospedaliera_g__rummo_41.1193_14.7945,Azienda Ospedaliera G. Rummo,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/azienda_ospedaliera_g_rummo_41.1193_14.7945.json,custom
41.120104,14.797884,ov_ospedale_rummo_benevento_41.1201_14.7979,Ospedale Rummo benevento,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/ospedale_rummo_benevento_41.1201_14.7979.json,custom
41.129760,14.783011,ov_asl_direzione_distrettuale_benevento_41.1298_14.7830,ASL Direzione Distrettuale Benevento,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/asl_direzione_distrettuale_benevento_41.1298_14.7830.json,custom
41.129350,14.793920,ov_centro_medico_dr__lauro___riabilitazione_41.1294_14.7939,Centro Medico Dr. Lauro - Riabilitazione tecnologica,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/centro_medico_dr_lauro_-_riabilitazione__41.1294_14.7939.json,custom
41.129300,14.789850,ov_dott__ugo_camilleri_41.1293_14.7898,Dott. Ugo Camilleri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/dott_ugo_camilleri_41.1293_14.7898.json,custom
41.129230,14.777500,ov_green_michele_siani___corso_di_otorinola_41.1292_14.7775,GREEN Michele Siani - Corso Di Otorinolaringoiatria Pediatri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/green_michele_siani_-_corso_di_otorinola_41.1292_14.7775.json,custom
41.128610,14.777650,ov_studio_medico_dott__p_pisano_41.1286_14.7776,Studio Medico dott. P.Pisano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/studio_medico_dott_ppisano_41.1286_14.7776.json,custom
41.126103,14.794787,ov_prof__ido_sarracco___medicina_estetica_b_41.1261_14.7948,Prof. Ido Sarracco - Medicina Estetica Benevento,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/prof_ido_sarracco_-_medicina_estetica_be_41.1261_14.7948.json,custom
41.123804,14.795653,ov_ordine_dei_medici_chirurghi_e_odontoiatr_41.1238_14.7957,Ordine Dei Medici Chirurghi E Odontoiatri Benevento,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/ordine_dei_medici_chirurghi_e_odontoiatr_41.1238_14.7957.json,custom
41.124733,14.794446,ov_clinica_santa_rita_benevento_41.1247_14.7944,Clinica Santa Rita Benevento,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/benevento/pages/clinica_santa_rita_benevento_41.1247_14.7944.json,custom
