# lat,lng,id,name,building_type,type,url,page_type
# Castel Morrone -- Tutti
41.121269,14.384325,osm_villa_delle_magnolie_41.1213_14.3843,Villa delle Magnolie,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/villa_delle_magnolie_41.1213_14.3843.json,custom
41.190280,14.287100,ov_la_cannolata_41.1903_14.2871,La Cannolata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/la_cannolata_41.1903_14.2871.json,custom
41.122234,14.353706,ov_l_americana_41.1222_14.3537,L'Americana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/lamericana_41.1222_14.3537.json,custom
41.121850,14.351092,ov_il_frantoio_ducale_41.1219_14.3511,Il Frantoio Ducale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/il_frantoio_ducale_41.1219_14.3511.json,custom
41.114033,14.356079,ov_ristorante_o_murrunese_41.1140_14.3561,Ristorante O Murrunese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/ristorante_o_murrunese_41.1140_14.3561.json,custom
41.119140,14.355830,ov_la_castelluccia_41.1191_14.3558,La Castelluccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/la_castelluccia_41.1191_14.3558.json,custom
41.117950,14.359943,ov_il_castello_41.1180_14.3599,Il Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/il_castello_41.1180_14.3599.json,custom
41.120692,14.357219,ov_pizzeria_la_castelluccia_41.1207_14.3572,Pizzeria La Castelluccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/pizzeria_la_castelluccia_41.1207_14.3572.json,custom
41.120889,14.365664,ov_ristorante_bronzetti_41.1209_14.3657,Ristorante Bronzetti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/ristorante_bronzetti_41.1209_14.3657.json,custom
41.121632,14.395394,ov_alla_sorgente_del_vecchio_mulino_41.1216_14.3954,Alla Sorgente Del Vecchio Mulino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/alla_sorgente_del_vecchio_mulino_41.1216_14.3954.json,custom
41.140262,14.322862,osm_botaniko_41.1403_14.3229,Botaniko,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/botaniko_41.1403_14.3229.json,custom
41.142177,14.362972,osm_zed_club_41.1422_14.3630,Zed Club,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/zed_club_41.1422_14.3630.json,custom
41.120896,14.352553,ov_barleycorn_pino_pub_41.1209_14.3526,Barleycorn Pino Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/barleycorn_pino_pub_41.1209_14.3526.json,custom
41.121596,14.351542,ov_bar_damiano_41.1216_14.3515,Bar Damiano,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/bar_damiano_41.1216_14.3515.json,custom
41.119140,14.355830,ov_bar_al_pozzo_41.1191_14.3558,Bar Al pozzo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/bar_al_pozzo_41.1191_14.3558.json,custom
41.117894,14.359993,ov_roxy_caf__41.1179_14.3600,Roxy Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_morrone/pages/roxy_caf_41.1179_14.3600.json,custom
