# lat,lng,id,name,building_type,type,url,page_type
# Castel Volturno -- Tutti
41.017895,13.952834,ov_casa_di_cura_pineta_grande_41.0179_13.9528,Casa di Cura Pineta Grande,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/casa_di_cura_pineta_grande_41.0179_13.9528.json,custom
41.017953,13.952780,ov_pineta_grande_hospital_41.0180_13.9528,Pineta Grande Hospital,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pineta_grande_hospital_41.0180_13.9528.json,custom
41.017887,13.953198,ov_clinica_pineta_grande_41.0179_13.9532,Clinica Pineta Grande,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/clinica_pineta_grande_41.0179_13.9532.json,custom
41.032022,13.945417,ov_ospedale_pinetagrande__41.0320_13.9454,Ospedale PinetaGrande.,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ospedale_pinetagrande_41.0320_13.9454.json,custom
40.950730,14.009640,ov_casa_di_cura_pineta_grande_40.9507_14.0096,Casa di Cura Pineta Grande,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/casa_di_cura_pineta_grande_40.9507_14.0096.json,custom
40.920670,14.024600,ov_shang_hai_40.9207_14.0246,Shang Hai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/shang_hai_40.9207_14.0246.json,custom
40.934894,14.012689,ov_lido_baracchino_rosso_40.9349_14.0127,Lido Baracchino Rosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/lido_baracchino_rosso_40.9349_14.0127.json,custom
40.927558,14.029287,ov_ristorante_la_caravella_40.9276_14.0293,Ristorante La Caravella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristorante_la_caravella_40.9276_14.0293.json,custom
40.927385,14.036720,ov_ristorante_sul_mare_40.9274_14.0367,Ristorante sul mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristorante_sul_mare_40.9274_14.0367.json,custom
41.006556,13.969012,ov_tenuta_pavoncelli_41.0066_13.9690,Tenuta Pavoncelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/tenuta_pavoncelli_41.0066_13.9690.json,custom
41.010030,13.960428,ov_thai_caff__41.0100_13.9604,Thai Caffè,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/thai_caff_41.0100_13.9604.json,custom
41.017520,13.964580,ov_ristorante_lagola_41.0175_13.9646,Ristorante LaGola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristorante_lagola_41.0175_13.9646.json,custom
41.023647,13.949627,ov_cantina_del_volturno_41.0236_13.9496,Cantina del Volturno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/cantina_del_volturno_41.0236_13.9496.json,custom
41.020770,13.948130,ov_la_cucina_della_nonna_41.0208_13.9481,La cucina della nonna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/la_cucina_della_nonna_41.0208_13.9481.json,custom
41.018305,13.954161,ov_mangia_e_fuggi_41.0183_13.9542,Mangia e Fuggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/mangia_e_fuggi_41.0183_13.9542.json,custom
41.013528,13.957748,ov_pizzeria_zagarella_41.0135_13.9577,Pizzeria Zagarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizzeria_zagarella_41.0135_13.9577.json,custom
41.014814,13.956624,ov_ristorante_cinese_hongkong_41.0148_13.9566,Ristorante Cinese HongKong,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristorante_cinese_hongkong_41.0148_13.9566.json,custom
41.014851,13.956591,ov_black___white_da_dario_41.0149_13.9566,Black & White da Dario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/black_white_da_dario_41.0149_13.9566.json,custom
41.031575,13.943122,ov_tonino_mago_del_panino_41.0316_13.9431,Tonino Mago Del Panino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/tonino_mago_del_panino_41.0316_13.9431.json,custom
41.027352,13.943830,ov_ristorante_il_trinchetto_41.0274_13.9438,Ristorante Il Trinchetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristorante_il_trinchetto_41.0274_13.9438.json,custom
41.027185,13.943400,ov_la_tortuga_41.0272_13.9434,La Tortuga,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/la_tortuga_41.0272_13.9434.json,custom
41.025530,13.946130,ov_il_languorino_pizzeria_rosticceria_41.0255_13.9461,Il Languorino Pizzeria Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/il_languorino_pizzeria_rosticceria_41.0255_13.9461.json,custom
41.031170,13.946540,ov_ecoparcodelmediterraneo_41.0312_13.9465,Ecoparcodelmediterraneo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ecoparcodelmediterraneo_41.0312_13.9465.json,custom
41.034839,13.942290,ov_al_taglio_41.0348_13.9423,Al Taglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/al_taglio_41.0348_13.9423.json,custom
41.034117,13.942694,ov_pizzeria_la_capricciosa_41.0341_13.9427,Pizzeria La Capricciosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizzeria_la_capricciosa_41.0341_13.9427.json,custom
41.034510,13.941520,ov_duepuntozero_2_0_cafe_41.0345_13.9415,Duepuntozero 2.0 cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/duepuntozero_20_cafe_41.0345_13.9415.json,custom
41.033102,13.941704,ov_savio_s_food_41.0331_13.9417,Savio's Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/savios_food_41.0331_13.9417.json,custom
41.035149,13.941307,ov_il_castello_41.0351_13.9413,Il Castello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/il_castello_41.0351_13.9413.json,custom
41.048431,13.929169,ov_restaurant_romanesc_la_galateanu_41.0484_13.9292,Restaurant Romanesc La Galateanu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/restaurant_romanesc_la_galateanu_41.0484_13.9292.json,custom
41.048570,13.922113,ov_pizzeria_my_friend_s_41.0486_13.9221,Pizzeria My Friend's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizzeria_my_friends_41.0486_13.9221.json,custom
41.059069,13.910780,ov_lido_franco_41.0591_13.9108,Lido Franco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/lido_franco_41.0591_13.9108.json,custom
41.006210,13.955615,ov_civico_331_pizzeria_hamburgheria_41.0062_13.9556,Civico 331 Pizzeria Hamburgheria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/civico_331_pizzeria_hamburgheria_41.0062_13.9556.json,custom
41.005670,13.964085,ov_mister_kebab_41.0057_13.9641,Mister Kebab,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/mister_kebab_41.0057_13.9641.json,custom
41.005002,13.965128,ov_il_girarrosto_da_mimmo_41.0050_13.9651,Il Girarrosto da Mimmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/il_girarrosto_da_mimmo_41.0050_13.9651.json,custom
40.996896,13.971516,ov_pizzeria_napul_e_40.9969_13.9715,Pizzeria Napul'e,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizzeria_napule_40.9969_13.9715.json,custom
40.995256,13.976561,ov_il_papiro_40.9953_13.9766,Il Papiro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/il_papiro_40.9953_13.9766.json,custom
40.975364,13.983731,ov_la_lanterna_del_porto_40.9754_13.9837,La Lanterna del Porto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/la_lanterna_del_porto_40.9754_13.9837.json,custom
40.975279,13.983954,ov_a_mare_osteria_40.9753_13.9840,A mare Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/a_mare_osteria_40.9753_13.9840.json,custom
40.974748,13.984441,ov_ristorante_pizzeria_la_darsena_40.9747_13.9844,Ristorante Pizzeria La Darsena,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristorante_pizzeria_la_darsena_40.9747_13.9844.json,custom
40.974195,13.984083,ov_pizza_village_2_0_40.9742_13.9841,Pizza Village 2 0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizza_village_2_0_40.9742_13.9841.json,custom
40.971406,13.983272,ov_i_delfini_complesso_turistico_balneare_40.9714_13.9833,I Delfini Complesso Turistico Balneare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/i_delfini_complesso_turistico_balneare_40.9714_13.9833.json,custom
40.939776,14.009169,ov_blanco___restaurante_club_40.9398_14.0092,Blanco - Restaurante Club,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/blanco_-_restaurante_club_40.9398_14.0092.json,custom
40.941809,14.008275,ov_lido_la_sirenetta_40.9418_14.0083,Lido La Sirenetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/lido_la_sirenetta_40.9418_14.0083.json,custom
40.946287,14.004225,ov_lido_azzurro_40.9463_14.0042,Lido Azzurro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/lido_azzurro_40.9463_14.0042.json,custom
40.947405,14.008507,ov_da_cristofaro_pizzeria_ristorante_40.9474_14.0085,Da Cristofaro pizzeria ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/da_cristofaro_pizzeria_ristorante_40.9474_14.0085.json,custom
40.952053,14.008178,ov_ristorante_lancillotto_40.9521_14.0082,Ristorante Lancillotto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristorante_lancillotto_40.9521_14.0082.json,custom
40.953040,14.006960,ov_lido_cristallo_40.9530_14.0070,Lido Cristallo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/lido_cristallo_40.9530_14.0070.json,custom
40.952151,14.000709,ov_la_bodeguita_taverna_di_mare_40.9522_14.0007,La Bodeguita taverna di mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/la_bodeguita_taverna_di_mare_40.9522_14.0007.json,custom
40.953087,14.000543,ov_lido_don_pablo_40.9531_14.0005,Lido Don Pablo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/lido_don_pablo_40.9531_14.0005.json,custom
40.958427,13.995968,ov_ristorante_pizzeria_langione_a_mare_40.9584_13.9960,Ristorante Pizzeria Langione a Mare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristorante_pizzeria_langione_a_mare_40.9584_13.9960.json,custom
40.962325,13.994081,ov_al_taglio_40.9623_13.9941,Al Taglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/al_taglio_40.9623_13.9941.json,custom
40.962994,13.991343,ov_pineta_pizza_40.9630_13.9913,Pineta Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pineta_pizza_40.9630_13.9913.json,custom
40.966025,13.988091,ov_gary_s_pub_food_and_drink_40.9660_13.9881,Gary’s Pub food and drink,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/garys_pub_food_and_drink_40.9660_13.9881.json,custom
40.967482,13.986556,ov_aura_beach_40.9675_13.9866,Aura Beach,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/aura_beach_40.9675_13.9866.json,custom
40.971278,13.986517,ov_gl_cksspiel__victory_chief__parco_giochi_40.9713_13.9865,Glücksspiel  Victory Chief  Parco Giochi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/glcksspiel_victory_chief_parco_giochi_40.9713_13.9865.json,custom
40.969113,13.988391,ov_pizza_village_40.9691_13.9884,Pizza Village,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizza_village_40.9691_13.9884.json,custom
40.968882,13.988490,ov_pizzeria_oliva_40.9689_13.9885,Pizzeria Oliva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizzeria_oliva_40.9689_13.9885.json,custom
40.971210,13.995740,ov_mordi_e_fuggi_40.9712_13.9957,Mordi E Fuggi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/mordi_e_fuggi_40.9712_13.9957.json,custom
40.967707,13.996085,ov_pizza_margherita_40.9677_13.9961,Pizza Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizza_margherita_40.9677_13.9961.json,custom
40.967502,13.996163,ov_la_piccola_pozzuoli_40.9675_13.9962,La Piccola Pozzuoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/la_piccola_pozzuoli_40.9675_13.9962.json,custom
40.965591,13.991526,ov_o__connor_s_by_liberty_bell_40.9656_13.9915,O' Connor's by Liberty Bell,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/o_connors_by_liberty_bell_40.9656_13.9915.json,custom
40.963792,13.992208,ov_gary_s_pub_40.9638_13.9922,Gary's Pub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/garys_pub_40.9638_13.9922.json,custom
40.963300,13.992060,ov_pepeamericanclub_40.9633_13.9921,Pepeamericanclub,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pepeamericanclub_40.9633_13.9921.json,custom
40.965168,13.998233,ov_moosi_40.9652_13.9982,Moosi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/moosi_40.9652_13.9982.json,custom
40.964984,13.998414,ov_pizza_nonna_stella___4_fratelli_40.9650_13.9984,Pizza Nonna Stella - 4 Fratelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizza_nonna_stella_-_4_fratelli_40.9650_13.9984.json,custom
40.963558,13.999477,ov_chicken_s_house_40.9636_13.9995,Chicken's House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/chickens_house_40.9636_13.9995.json,custom
40.960555,14.001776,ov_federico_s_food_40.9606_14.0018,Federico's food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/federicos_food_40.9606_14.0018.json,custom
40.946686,14.011205,ov_pizzeria_spaccanapoli_40.9467_14.0112,Pizzeria Spaccanapoli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/pizzeria_spaccanapoli_40.9467_14.0112.json,custom
40.941867,14.016534,ov_4_stagioni_40.9419_14.0165,4 Stagioni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/4_stagioni_40.9419_14.0165.json,custom
40.975146,13.995943,ov_ristorante_la_capricciosa_villa_de_robbi_40.9751_13.9959,Ristorante La Capricciosa Villa De Robbio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristorante_la_capricciosa_villa_de_robbi_40.9751_13.9959.json,custom
40.973177,13.991485,ov_la_bra_a_steak_house_40.9732_13.9915,La Braça Steak-House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/la_braa_steak-house_40.9732_13.9915.json,custom
40.973163,13.988056,ov_mundo_club_restaurant_40.9732_13.9881,Mundo Club Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/mundo_club_restaurant_40.9732_13.9881.json,custom
40.973010,13.987830,ov_big_burger_pinetamare_40.9730_13.9878,Big Burger Pinetamare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/big_burger_pinetamare_40.9730_13.9878.json,custom
40.972631,13.985626,ov_ristopescheria_la_prima_ancora_40.9726_13.9856,Ristopescheria La prima ancora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/ristopescheria_la_prima_ancora_40.9726_13.9856.json,custom
40.972686,13.986075,ov_dangy_s_40.9727_13.9861,Dangy's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/castel_volturno/pages/dangys_40.9727_13.9861.json,custom
