# lat,lng,id,name,building_type,type,url,page_type
# cercola -- bars_cafes.csv
40.858687,14.356934,ov_bar_tonya_40.8587_14.3569,Bar tonya,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/bar_tonya_40.8587_14.3569.json,custom
40.858463,14.356530,ov_bar_cafaro_40.8585_14.3565,Bar cafaro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/bar_cafaro_40.8585_14.3565.json,custom
40.856832,14.364012,ov_gulliver_inn_40.8568_14.3640,Gulliver inn,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/gulliver_inn_40.8568_14.3640.json,custom
40.856071,14.349813,ov_mos__lounge_bar_pasticceria_40.8561_14.3498,Mosè Lounge Bar-Pasticceria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/mos_lounge_bar-pasticceria_40.8561_14.3498.json,custom
40.855860,14.349870,ov_akai_lounge_bar_40.8559_14.3499,Akai Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/akai_lounge_bar_40.8559_14.3499.json,custom
40.859445,14.358097,ov_pasticceria_argentino_dal_1979_40.8594_14.3581,Pasticceria Argentino dal 1979,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/pasticceria_argentino_dal_1979_40.8594_14.3581.json,custom
40.861000,14.360700,ov_bar_moreno_cercola_40.8610_14.3607,Bar Moreno Cercola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/bar_moreno_cercola_40.8610_14.3607.json,custom
40.860952,14.355847,ov_otto___angel_cafe_40.8610_14.3558,Otto & Angel Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/otto_angel_cafe_40.8610_14.3558.json,custom
40.860668,14.355788,ov_baraonda_cafe_40.8607_14.3558,Baraonda Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/baraonda_cafe_40.8607_14.3558.json,custom
40.861662,14.354799,ov_chalet_pan_caff__40.8617_14.3548,Chalet Pan Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/chalet_pan_caff_40.8617_14.3548.json,custom
40.861805,14.354005,ov_chococafe_40.8618_14.3540,ChocoCafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/chococafe_40.8618_14.3540.json,custom
40.861685,14.355869,ov_g_g_caf__40.8617_14.3559,G&G Café,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/gg_caf_40.8617_14.3559.json,custom
40.862109,14.354245,ov_il_chioschetto_toto__e_peppino_40.8621_14.3542,Il chioschetto Toto' e Peppino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/il_chioschetto_toto_e_peppino_40.8621_14.3542.json,custom
40.861861,14.363091,ov_eden_bar_non_solo_caffe_40.8619_14.3631,EDEN BAR non solo caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/eden_bar_non_solo_caffe_40.8619_14.3631.json,custom
40.863134,14.366008,ov_gran_caff__piccolo_40.8631_14.3660,Gran Caffè Piccolo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/gran_caff_piccolo_40.8631_14.3660.json,custom
40.863921,14.355368,ov_lui___gio_40.8639_14.3554,Lui & Gio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/lui_gio_40.8639_14.3554.json,custom
40.863285,14.356310,ov_bar_pasticceria_grieco_s_cercola_40.8633_14.3563,Bar-Pasticceria Grieco's Cercola,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/bar-pasticceria_griecos_cercola_40.8633_14.3563.json,custom
40.863206,14.354872,ov_scamardella_s_bar_40.8632_14.3549,Scamardella's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/scamardellas_bar_40.8632_14.3549.json,custom
40.867635,14.352134,ov_cordial_bar_40.8676_14.3521,Cordial Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/cordial_bar_40.8676_14.3521.json,custom
40.869208,14.352957,ov_bouganville_lounge_bar_40.8692_14.3530,Bouganville Lounge Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/bouganville_lounge_bar_40.8692_14.3530.json,custom
40.869490,14.350980,ov_el_pacha_40.8695_14.3510,El pacha,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/el_pacha_40.8695_14.3510.json,custom
40.870579,14.354589,ov_bar_romano_sas_40.8706_14.3546,Bar Romano Sas,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/bar_romano_sas_40.8706_14.3546.json,custom
40.875338,14.356822,ov_kalangio_40.8753_14.3568,Kalangio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/cercola/pages/kalangio_40.8753_14.3568.json,custom
