# lat,lng,id,name,building_type,type,url,page_type
# Moiano -- Tutti
41.082956,14.547228,ov_da_liberato_41.0830_14.5472,Da Liberato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/da_liberato_41.0830_14.5472.json,custom
41.079829,14.542769,ov_bar_garden___cuoppo_41.0798_14.5428,Bar Garden - Cuoppo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/bar_garden_-_cuoppo_41.0798_14.5428.json,custom
41.078042,14.551082,ov_da_liberato_ristorante_41.0780_14.5511,Da Liberato Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/da_liberato_ristorante_41.0780_14.5511.json,custom
41.076868,14.552909,ov_marco_amoriello_guappo_pizzeria_41.0769_14.5529,Marco Amoriello Guappo Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/marco_amoriello_guappo_pizzeria_41.0769_14.5529.json,custom
41.077278,14.551417,ov_pizzeria_bar_antichi_sapori_del_taburno_41.0773_14.5514,Pizzeria Bar Antichi Sapori del Taburno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/pizzeria_bar_antichi_sapori_del_taburno_41.0773_14.5514.json,custom
41.068773,14.543735,ov_tenuta_koral_41.0688_14.5437,Tenuta Koral,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/tenuta_koral_41.0688_14.5437.json,custom
41.076432,14.538790,ov_la_lanternina_41.0764_14.5388,La Lanternina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/la_lanternina_41.0764_14.5388.json,custom
41.082743,14.518993,ov_trattoria_stella_majuri_41.0827_14.5190,Trattoria Stella Majuri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/trattoria_stella_majuri_41.0827_14.5190.json,custom
41.091286,14.556375,ov_agriturismo_le_tre_masserie_41.0913_14.5564,Agriturismo Le Tre Masserie,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/agriturismo_le_tre_masserie_41.0913_14.5564.json,custom
40.648497,14.467329,osm_pizzeria_cuore_di_pizza_40.6485_14.4673,Pizzeria Cuore Di Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/pizzeria_cuore_di_pizza_40.6485_14.4673.json,custom
41.086459,14.550208,osm_pollo_alla_diavola_41.0865_14.5502,Pollo alla Diavola,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/pollo_alla_diavola_41.0865_14.5502.json,custom
41.081211,14.542916,ov_new_heaven_bar_41.0812_14.5429,New Heaven Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/new_heaven_bar_41.0812_14.5429.json,custom
41.068274,14.533381,ov_almec_bar_41.0683_14.5334,AlMec bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/almec_bar_41.0683_14.5334.json,custom
41.080574,14.543518,ov_nothus_training_lab_41.0806_14.5435,Nothus Training Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/nothus_training_lab_41.0806_14.5435.json,custom
41.085222,14.556587,ov_spartan_training_and_calisthenics_41.0852_14.5566,Spartan Training and Calisthenics,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/spartan_training_and_calisthenics_41.0852_14.5566.json,custom
41.079804,14.542907,osm_ufficio_postale_di_moiano_41.0798_14.5429,Ufficio Postale di Moiano,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/moiano/pages/ufficio_postale_di_moiano_41.0798_14.5429.json,custom
