# lat,lng,id,name,building_type,type,url,page_type
# san_valentino_torio -- gyms
40.784030,14.604104,ov_team_boxe_ceglia_40.7840_14.6041,Team Boxe Ceglia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/team_boxe_ceglia_40.7840_14.6041.json,custom
40.789839,14.587302,ov_asd_vidanza_ballet_40.7898_14.5873,ASD Vidanza Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/asd_vidanza_ballet_40.7898_14.5873.json,custom
40.794015,14.601999,ov_harmony_dance_and_fitness_40.7940_14.6020,Harmony Dance And Fitness,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/harmony_dance_and_fitness_40.7940_14.6020.json,custom
40.794079,14.601579,ov_strong_gym_celentano_40.7941_14.6016,Strong Gym Celentano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/strong_gym_celentano_40.7941_14.6016.json,custom
40.795509,14.600016,ov_dr___movement_and_performance_40.7955_14.6000,DR - Movement and Performance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/dr_-_movement_and_performance_40.7955_14.6000.json,custom
40.796570,14.600330,ov_centro_minori_il_ciottolo_40.7966_14.6003,Centro Minori Il Ciottolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/centro_minori_il_ciottolo_40.7966_14.6003.json,custom
40.797190,14.600930,ov_dynamic_center_asd_40.7972_14.6009,Dynamic center asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/dynamic_center_asd_40.7972_14.6009.json,custom
40.798880,14.602321,ov_a_s_d__centro_danza_40.7989_14.6023,A.S.D. Centro Danza,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/asd_centro_danza_40.7989_14.6023.json,custom
40.802735,14.591826,ov_a_s_d_i_dance_ballet_40.8027_14.5918,A.S.D I Dance Ballet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/asd_i_dance_ballet_40.8027_14.5918.json,custom
40.799311,14.587183,ov_a_s_d__italdance_40.7993_14.5872,A.S.D. Italdance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/san_valentino_torio/pages/asd_italdance_40.7993_14.5872.json,custom
