# lat,lng,id,name,building_type,type,url,page_type
# telese_terme -- gyms.csv
41.216300,14.527454,ov_jump_the_functional_41.2163_14.5275,Jump The Functional,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/jump_the_functional_41.2163_14.5275.json,custom
41.216700,14.533300,ov_formazione_danza_di_luciana_cappella_41.2167_14.5333,Formazione Danza di Luciana Cappella,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/formazione_danza_di_luciana_cappella_41.2167_14.5333.json,custom
41.214326,14.524327,ov_nouvel_age_centre_41.2143_14.5243,Nouvel Age Centre,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/nouvel_age_centre_41.2143_14.5243.json,custom
41.214169,14.512177,ov_body_planet_41.2142_14.5122,Body Planet,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/body_planet_41.2142_14.5122.json,custom
41.213588,14.527990,ov_un_tempo_per_ballare_41.2136_14.5280,Un Tempo Per Ballare,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/un_tempo_per_ballare_41.2136_14.5280.json,custom
41.210223,14.528221,ov_asd_idro_jump_41.2102_14.5282,Asd Idro Jump,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/asd_idro_jump_41.2102_14.5282.json,custom
41.224971,14.521955,ov_centro_relax_41.2250_14.5220,Centro Relax,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/centro_relax_41.2250_14.5220.json,custom
41.221519,14.524331,ov_palestra_foschino_41.2215_14.5243,Palestra Foschino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/palestra_foschino_41.2215_14.5243.json,custom
41.220652,14.521672,ov_dott_ssa_santoro_maria_rosaria_41.2207_14.5217,Dott.ssa Santoro Maria Rosaria,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/dottssa_santoro_maria_rosaria_41.2207_14.5217.json,custom
41.217120,14.518800,ov_in___41.2171_14.5188,IN__,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/in_41.2171_14.5188.json,custom
41.216870,14.505850,ov_bodyplanet__di_giuseppe_nero_41.2169_14.5059,Bodyplanet  di Giuseppe nero,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/bodyplanet_di_giuseppe_nero_41.2169_14.5059.json,custom
41.207247,14.504749,osm_impulse_fitness_41.2072_14.5047,Impulse Fitness,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/telese_terme/pages/impulse_fitness_41.2072_14.5047.json,custom
