# lat,lng,id,name,building_type,type,url,page_type
# villaricca -- gyms.csv
40.914133,14.162114,ov_re_fit_40.9141_14.1621,Re-Fit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/re-fit_40.9141_14.1621.json,custom
40.912791,14.156168,ov_costruzione_piscine_c_p_40.9128_14.1562,Costruzione Piscine C&P,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/costruzione_piscine_cp_40.9128_14.1562.json,custom
40.909284,14.134936,ov_it_s_time_to_dance_40.9093_14.1349,It's time to dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/its_time_to_dance_40.9093_14.1349.json,custom
40.922123,14.183325,ov_tinker_bell_academy_40.9221_14.1833,Tinker Bell academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/tinker_bell_academy_40.9221_14.1833.json,custom
40.922298,14.184389,ov_movida_latina_40.9223_14.1844,Movida Latina,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/movida_latina_40.9223_14.1844.json,custom
40.921577,14.181100,ov_morgana_999_40.9216_14.1811,Morgana 999,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/morgana_999_40.9216_14.1811.json,custom
40.921359,14.175466,ov_malena_tango_club_40.9214_14.1755,Malena Tango Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/malena_tango_club_40.9214_14.1755.json,custom
40.922988,14.176621,ov_royal_gym_40.9230_14.1766,Royal Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/royal_gym_40.9230_14.1766.json,custom
40.923860,14.180360,ov_centro_yoga_drish_40.9239_14.1804,Centro Yoga-Drish,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/centro_yoga-drish_40.9239_14.1804.json,custom
40.921894,14.165943,ov_new_dance_school_amour_latino_40.9219_14.1659,New Dance school Amour Latino,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/new_dance_school_amour_latino_40.9219_14.1659.json,custom
40.916658,14.165905,ov_il_prato_verde_40.9167_14.1659,Il Prato Verde,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/il_prato_verde_40.9167_14.1659.json,custom
40.917428,14.161597,ov_piscina_asd_europa_nuoto_club_40.9174_14.1616,Piscina ASD Europa Nuoto Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/piscina_asd_europa_nuoto_club_40.9174_14.1616.json,custom
40.915645,14.163839,ov_scuola_calcio_f_c__napoli_nord_40.9156_14.1638,Scuola Calcio F.C. Napoli Nord,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/scuola_calcio_fc_napoli_nord_40.9156_14.1638.json,custom
40.915683,14.162655,ov_aerobic_body_club_40.9157_14.1627,Aerobic Body Club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/aerobic_body_club_40.9157_14.1627.json,custom
40.915741,14.161892,ov_atlantide_sport_fitness_e_benessere_40.9157_14.1619,Atlantide Sport Fitness e Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/atlantide_sport_fitness_e_benessere_40.9157_14.1619.json,custom
40.916966,14.176870,ov_palazzetto_dello_sport_di_villaricca_40.9170_14.1769,Palazzetto dello Sport di Villaricca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/palazzetto_dello_sport_di_villaricca_40.9170_14.1769.json,custom
40.919709,14.204371,ov_l_ecole_de_danse_40.9197_14.2044,L'Ecole de Danse,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/lecole_de_danse_40.9197_14.2044.json,custom
40.915735,14.197848,ov_up_level_40.9157_14.1978,UP Level,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/villaricca/pages/up_level_40.9157_14.1978.json,custom
