# lat,lng,id,name,building_type,type,url,page_type
# volla -- gyms
40.853803,14.381247,ov_campoestivo_happy_village_40.8538_14.3812,CampoEstivo HAPPY Village,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/campoestivo_happy_village_40.8538_14.3812.json,custom
40.871346,14.347842,ov_other_dances_40.8713_14.3478,Other Dances,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/other_dances_40.8713_14.3478.json,custom
40.875006,14.342423,ov_d____r__medical_systems_40.8750_14.3424,D. & R. Medical Systems,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/d_r_medical_systems_40.8750_14.3424.json,custom
40.874619,14.341496,ov_movement___performance_40.8746_14.3415,Movement & Performance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/movement_performance_40.8746_14.3415.json,custom
40.874560,14.346865,ov_palestra_nirvana_fitness_volla_40.8746_14.3469,Palestra Nirvana Fitness Volla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/palestra_nirvana_fitness_volla_40.8746_14.3469.json,custom
40.872390,14.338930,ov_palestra_east_side_40.8724_14.3389,Palestra East Side,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/palestra_east_side_40.8724_14.3389.json,custom
40.872120,14.339263,ov_new_athletic_center_volla_40.8721_14.3393,New Athletic Center Volla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/new_athletic_center_volla_40.8721_14.3393.json,custom
40.872124,14.339126,ov_bodyfast_volla_40.8721_14.3391,BodyFast Volla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/bodyfast_volla_40.8721_14.3391.json,custom
40.875910,14.336529,ov_lady_kingdom_40.8759_14.3365,Lady kingdom,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/lady_kingdom_40.8759_14.3365.json,custom
40.878624,14.337384,ov_asd_fantasy_dance_sport_benessere_40.8786_14.3374,Asd Fantasy Dance Sport&Benessere,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/asd_fantasy_dance_sportbenessere_40.8786_14.3374.json,custom
40.878515,14.338701,ov_danzart_40.8785_14.3387,Danzart,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/danzart_40.8785_14.3387.json,custom
40.879109,14.344585,ov_core_pilates_boutique_40.8791_14.3446,Core Pilates Boutique,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/core_pilates_boutique_40.8791_14.3446.json,custom
40.878660,14.329590,ov_centro_sportivo_madrigal_40.8787_14.3296,Centro Sportivo Madrigal,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/centro_sportivo_madrigal_40.8787_14.3296.json,custom
40.881949,14.342620,ov_refit_volla_40.8819_14.3426,Refit Volla,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/refit_volla_40.8819_14.3426.json,custom
40.882678,14.344007,ov_a_s_d_rosy_dance_40.8827_14.3440,A.S.D Rosy Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/asd_rosy_dance_40.8827_14.3440.json,custom
40.882613,14.344023,ov_palestra_perseverance_40.8826_14.3440,Palestra Perseverance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/palestra_perseverance_40.8826_14.3440.json,custom
40.885189,14.347130,ov_starlight_dance_lab_40.8852_14.3471,Starlight Dance Lab,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/volla/pages/starlight_dance_lab_40.8852_14.3471.json,custom
