# lat,lng,id,name,building_type,type,url,page_type
# bagnara_di_romagna -- Tutti
44.391075,11.857227,ov_il_molinello_44.3911_11.8572,Il Molinello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/il_molinello_44.3911_11.8572.json,custom
44.390463,11.826846,ov_magic_sweet_anti_sbornia_44.3905_11.8268,Magic Sweet Anti Sbornia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/magic_sweet_anti_sbornia_44.3905_11.8268.json,custom
44.389182,11.826133,ov_da_guido_44.3892_11.8261,Da Guido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/da_guido_44.3892_11.8261.json,custom
44.389049,11.827024,ov_la_locanda_di_bagnara_44.3890_11.8270,La Locanda di Bagnara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/la_locanda_di_bagnara_44.3890_11.8270.json,custom
44.390391,11.820859,ov_pasticceria_il_barettino_ristobar_44.3904_11.8209,PASTICCERIA IL BARETTINO ristobar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/pasticceria_il_barettino_ristobar_44.3904_11.8209.json,custom
44.387660,11.827550,ov_il_tennis_44.3877_11.8276,Il Tennis,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/il_tennis_44.3877_11.8276.json,custom
44.389006,11.826586,ov_bar_del_borgo_44.3890_11.8266,Bar Del Borgo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/bar_del_borgo_44.3890_11.8266.json,custom
44.389168,11.826648,ov_non_solo_caff__44.3892_11.8266,Non Solo CaffÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/non_solo_caff_44.3892_11.8266.json,custom
44.403181,11.846364,ov_emiliani_lorella_44.4032_11.8464,Emiliani Lorella,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/emiliani_lorella_44.4032_11.8464.json,custom
44.379785,11.813227,ov_circolo_ippico_corte_san_giorgio_44.3798_11.8132,Circolo Ippico Corte San Giorgio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/circolo_ippico_corte_san_giorgio_44.3798_11.8132.json,custom
44.388431,11.825858,ov_museo_pietro_mascagni_e_museo_storico_pa_44.3884_11.8259,Museo Pietro Mascagni e Museo Storico Parrocchiale di Arte S,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/museo_pietro_mascagni_e_museo_storico_pa_44.3884_11.8259.json,custom
44.390617,11.826227,ov_biblioteca_comunale_di_bagnara_di_romagn_44.3906_11.8262,Biblioteca Comunale di Bagnara di Romagna,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bagnara_di_romagna/pages/biblioteca_comunale_di_bagnara_di_romagn_44.3906_11.8262.json,custom
