# lat,lng,id,name,building_type,type,url,page_type
# Bazzano -- Tutti
44.500214,11.088385,ov_ospedale_civile_g__dossetti_44.5002_11.0884,Ospedale Civile G. Dossetti,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/ospedale_civile_g_dossetti_44.5002_11.0884.json,custom
44.508557,11.078097,ov_silla_carni_44.5086_11.0781,Silla Carni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/silla_carni_44.5086_11.0781.json,custom
44.505370,11.084098,ov_trattoria_carducci_44.5054_11.0841,Trattoria Carducci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/trattoria_carducci_44.5054_11.0841.json,custom
44.505171,11.095545,ov_bar_il_melograno_44.5052_11.0955,Bar Il Melograno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/bar_il_melograno_44.5052_11.0955.json,custom
44.527958,11.149014,ov_silver_italia_food_equipment_44.5280_11.1490,Silver Italia Food Equipment,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/silver_italia_food_equipment_44.5280_11.1490.json,custom
44.506251,11.072924,osm_piadineria_soleluna_44.5063_11.0729,Piadineria SoleLuna,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/piadineria_soleluna_44.5063_11.0729.json,custom
44.505153,11.083925,osm_ristorante_pizzeria_da_luigi_44.5052_11.0839,Ristorante Pizzeria da Luigi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/ristorante_pizzeria_da_luigi_44.5052_11.0839.json,custom
44.504501,11.084282,osm_il_piccolo_diavolo_asporto__44.5045_11.0843,Il Piccolo Diavolo(Asporto),ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/il_piccolo_diavoloasporto_44.5045_11.0843.json,custom
44.504714,11.084224,osm_bazzano_kebab___pizza_44.5047_11.0842,Bazzano Kebab & Pizza,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/bazzano_kebab_pizza_44.5047_11.0842.json,custom
44.500987,11.085056,osm_pronto_pizza__asporto__44.5010_11.0851,Pronto Pizza (Asporto),ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/pronto_pizza_asporto_44.5010_11.0851.json,custom
44.503049,11.084970,osm_la_bussola_asporto__44.5030_11.0850,La Bussola(Asporto),ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/la_bussolaasporto_44.5030_11.0850.json,custom
44.504767,11.083688,osm_caffe_ristorante_centrale_44.5048_11.0837,Caffe Ristorante Centrale,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/caffe_ristorante_centrale_44.5048_11.0837.json,custom
44.505131,11.083393,osm_moma_caffe_44.5051_11.0834,MOMA caffe,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/moma_caffe_44.5051_11.0834.json,custom
44.505294,11.083046,osm_bar_sofia_44.5053_11.0830,Bar Sofia,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/bar_sofia_44.5053_11.0830.json,custom
44.507354,11.067672,osm_dream_44.5074_11.0677,Dream,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/dream_44.5074_11.0677.json,custom
44.505638,11.085326,osm_bar_commercio_44.5056_11.0853,Bar Commercio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/bar_commercio_44.5056_11.0853.json,custom
44.504203,11.084852,osm_poste_italiane_44.5042_11.0849,Poste italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/bazzano/pages/poste_italiane_44.5042_11.0849.json,custom
