# lat,lng,id,name,building_type,type,url,page_type
# Lamporecchio -- Tutti
43.815101,10.894960,ov_casa_della_salute_lamporecchio_43.8151_10.8950,Casa della Salute Lamporecchio,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/casa_della_salute_lamporecchio_43.8151_10.8950.json,custom
43.795180,10.875235,ov_pizzeria_amici_miei_43.7952_10.8752,Pizzeria Amici Miei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/pizzeria_amici_miei_43.7952_10.8752.json,custom
43.811301,10.890450,ov_la_cicceria___da_jerry_osteria__antica_m_43.8113_10.8904,La Cicceria - Da Jerry Osteria -Antica Macelleria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/la_cicceria_-_da_jerry_osteria_-antica_m_43.8113_10.8904.json,custom
43.811917,10.891213,ov_penapoho_trattoria___pizzeria_43.8119_10.8912,Penapoho Trattoria - Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/penapoho_trattoria_-_pizzeria_43.8119_10.8912.json,custom
43.814051,10.895065,ov_in_vino_veritas_43.8141_10.8951,In Vino Veritas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/in_vino_veritas_43.8141_10.8951.json,custom
43.812847,10.895184,ov_ristorante_masetto_43.8128_10.8952,Ristorante Masetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/ristorante_masetto_43.8128_10.8952.json,custom
43.814986,10.894338,ov_ristorante_pizzeria_il_mestolo_lamporecc_43.8150_10.8943,Ristorante Pizzeria Il Mestolo Lamporecchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/ristorante_pizzeria_il_mestolo_lamporecc_43.8150_10.8943.json,custom
43.815166,10.895431,ov_antica_caffetteria_sandro_vero_43.8152_10.8954,Antica Caffetteria Sandro Vero,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/antica_caffetteria_sandro_vero_43.8152_10.8954.json,custom
43.815657,10.895842,ov_la_pergola_di_nesti_43.8157_10.8958,La Pergola Di Nesti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/la_pergola_di_nesti_43.8157_10.8958.json,custom
43.816444,10.895412,ov_il_mestolo_43.8164_10.8954,Il Mestolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/il_mestolo_43.8164_10.8954.json,custom
43.821757,10.903537,ov_agriturismo_coco_43.8218_10.9035,Agriturismo Coco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/agriturismo_coco_43.8218_10.9035.json,custom
43.829262,10.903656,ov_agriturismo_la_carraia_43.8293_10.9037,Agriturismo La Carraia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/agriturismo_la_carraia_43.8293_10.9037.json,custom
43.829762,10.907272,ov_la_dispensa_43.8298_10.9073,La dispensa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/la_dispensa_43.8298_10.9073.json,custom
43.829533,10.938194,ov_casa_di_monte_43.8295_10.9382,Casa di Monte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/casa_di_monte_43.8295_10.9382.json,custom
43.835371,10.922635,ov_micale_43.8354_10.9226,Micale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/micale_43.8354_10.9226.json,custom
43.835391,10.918865,ov_l_indicatore_43.8354_10.9189,L'indicatore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/lindicatore_43.8354_10.9189.json,custom
43.838572,10.912648,ov_borgo_la_casetta_43.8386_10.9126,Borgo La Casetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/borgo_la_casetta_43.8386_10.9126.json,custom
43.841802,10.911294,ov_ristorante__pizzeria__i_nardini_43.8418_10.9113,"Ristorante, Pizzeria  I Nardini",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/ristorante_pizzeria_i_nardini_43.8418_10.9113.json,custom
43.841308,10.910473,ov_barco_reale_vinoteca_43.8413_10.9105,Barco Reale Vinoteca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/barco_reale_vinoteca_43.8413_10.9105.json,custom
43.840219,10.908554,ov_ciccia_alla_griglia_43.8402_10.9086,Ciccia alla Griglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/ciccia_alla_griglia_43.8402_10.9086.json,custom
43.839991,10.918564,ov_da_marcellino_43.8400_10.9186,Da Marcellino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/da_marcellino_43.8400_10.9186.json,custom
43.839952,10.918553,ov_l_osteria_di_san_baronto_43.8400_10.9186,L'Osteria di San Baronto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/losteria_di_san_baronto_43.8400_10.9186.json,custom
43.838379,10.919188,ov_ristoro_montalbano_48_43.8384_10.9192,Ristoro Montalbano 48,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/ristoro_montalbano_48_43.8384_10.9192.json,custom
43.836580,10.919168,ov_pizzeria_ristorante_victoria_43.8366_10.9192,Pizzeria Ristorante Victoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/pizzeria_ristorante_victoria_43.8366_10.9192.json,custom
43.885560,10.917800,ov_pizzeria__ristorante___victoria_43.8856_10.9178,Pizzeria -Ristorante - Victoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/pizzeria_-ristorante_-_victoria_43.8856_10.9178.json,custom
43.796862,10.877106,ov_gli_schizzati_43.7969_10.8771,Gli Schizzati,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/gli_schizzati_43.7969_10.8771.json,custom
43.803401,10.883007,ov_bar_poggio_argentale_43.8034_10.8830,Bar Poggio Argentale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/bar_poggio_argentale_43.8034_10.8830.json,custom
43.803501,10.883168,ov_elisa_bar_43.8035_10.8832,Elisa Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/elisa_bar_43.8035_10.8832.json,custom
43.806680,10.867110,ov_bar_tamburini_43.8067_10.8671,Bar Tamburini,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/bar_tamburini_43.8067_10.8671.json,custom
43.811126,10.890393,ov_bar_pizzeria_la_perla_del_bosco_43.8111_10.8904,Bar pizzeria La Perla Del Bosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/bar_pizzeria_la_perla_del_bosco_43.8111_10.8904.json,custom
43.812761,10.895234,ov_bar_rinascita_43.8128_10.8952,Bar Rinascita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/bar_rinascita_43.8128_10.8952.json,custom
43.816140,10.896786,ov_la_cantina_pinta_43.8161_10.8968,La Cantina Pinta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/la_cantina_pinta_43.8161_10.8968.json,custom
43.816300,10.896050,ov_gelateria_caff__berni_43.8163_10.8961,Gelateria caffè Berni,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/gelateria_caff_berni_43.8163_10.8961.json,custom
43.822842,10.907925,ov_circolo_di_spicchio_43.8228_10.9079,Circolo di Spicchio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/circolo_di_spicchio_43.8228_10.9079.json,custom
43.811890,10.891213,osm_lanterna_fioca_43.8119_10.8912,Lanterna Fioca,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/lanterna_fioca_43.8119_10.8912.json,custom
43.796658,10.877254,ov_team_mastromarco_vincit_43.7967_10.8773,Team Mastromarco Vincit,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/team_mastromarco_vincit_43.7967_10.8773.json,custom
43.807103,10.863700,ov_serena_dance_studio_43.8071_10.8637,Serena Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/serena_dance_studio_43.8071_10.8637.json,custom
43.813576,10.892900,ov_assetto_ciclismo_ferrali_43.8136_10.8929,Assetto Ciclismo Ferrali,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/assetto_ciclismo_ferrali_43.8136_10.8929.json,custom
43.842193,10.909045,ov_spanish_horse_pistoia_43.8422_10.9090,Spanish Horse Pistoia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/spanish_horse_pistoia_43.8422_10.9090.json,custom
43.814781,10.904020,ov_sasso_del_diavolo__pietramarina_43.8148_10.9040,Sasso del diavolo- Pietramarina,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/sasso_del_diavolo-_pietramarina_43.8148_10.9040.json,custom
43.822889,10.896125,ov_castello_di_larciano_43.8229_10.8961,Castello Di Larciano,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lamporecchio/pages/castello_di_larciano_43.8229_10.8961.json,custom
