# lat,lng,id,name,building_type,type,url,page_type
# lugo -- landmarks.csv
44.414946,11.907442,ov_porta_san_bartolomeo_44.4149_11.9074,Porta San Bartolomeo,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/porta_san_bartolomeo_44.4149_11.9074.json,custom
44.417219,11.909299,ov_museo_francesco_baracca_44.4172_11.9093,Museo Francesco Baracca,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/museo_francesco_baracca_44.4172_11.9093.json,custom
44.415277,11.912156,ov_osservatorio_astronomico_giovanni_roccat_44.4153_11.9122,Osservatorio Astronomico Giovanni Roccati - Lugo,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/osservatorio_astronomico_giovanni_roccat_44.4153_11.9122.json,custom
44.420052,11.912117,ov_monumento_a_francesco_baracca_44.4201_11.9121,Monumento a Francesco Baracca,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/monumento_a_francesco_baracca_44.4201_11.9121.json,custom
44.420782,11.912140,ov_rocca_estense_44.4208_11.9121,Rocca estense,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/rocca_estense_44.4208_11.9121.json,custom
44.420555,11.911602,ov_monumento_andrea_costa_44.4206_11.9116,Monumento Andrea Costa,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/monumento_andrea_costa_44.4206_11.9116.json,custom
44.421042,11.912051,ov_pescherie_della_rocca_44.4210_11.9121,Pescherie della Rocca,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/pescherie_della_rocca_44.4210_11.9121.json,custom
44.421790,11.911590,ov_meridiana_dei_popoli_44.4218_11.9116,Meridiana dei Popoli,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/meridiana_dei_popoli_44.4218_11.9116.json,custom
44.422707,11.905211,ov_casa_rossini_44.4227_11.9052,Casa Rossini,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/casa_rossini_44.4227_11.9052.json,custom
44.534802,11.881535,ov_giovecca_44.5348_11.8815,Giovecca,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/giovecca_44.5348_11.8815.json,custom
44.489358,11.885415,ov_castello_del_ducato_di_fabriago_44.4894_11.8854,Castello del Ducato di Fabriago,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/lugo/pages/castello_del_ducato_di_fabriago_44.4894_11.8854.json,custom
