# lat,lng,id,name,building_type,type,url,page_type
# san_lazzaro_di_savena -- Tutti
44.477134,11.417190,ov_centro_medico_san_michele_44.4771_11.4172,Centro Medico San Michele,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/centro_medico_san_michele_44.4771_11.4172.json,custom
44.446460,11.398780,ov_dietista_giulia_roccatello_44.4465_11.3988,Dietista Giulia Roccatello,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/dietista_giulia_roccatello_44.4465_11.3988.json,custom
44.494160,11.344260,ov_sardina_la_botteghina___san_lazzaro_44.4942_11.3443,"Sardina la Botteghina , San Lazzaro",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/sardina_la_botteghina_san_lazzaro_44.4942_11.3443.json,custom
44.426084,11.432375,ov_ristorante_morara___antichi_sapori_bolog_44.4261_11.4324,Ristorante Morara - Antichi Sapori Bolognesi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/ristorante_morara_-_antichi_sapori_bolog_44.4261_11.4324.json,custom
44.427573,11.433639,ov_chiosco_bellavez_44.4276_11.4336,Chiosco BellaVez,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/chiosco_bellavez_44.4276_11.4336.json,custom
44.435559,11.405898,ov_la_taverna_del_farneto_44.4356_11.4059,La Taverna Del Farneto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/la_taverna_del_farneto_44.4356_11.4059.json,custom
44.453216,11.388423,ov_trattoria_croara_44.4532_11.3884,Trattoria Croara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/trattoria_croara_44.4532_11.3884.json,custom
44.454880,11.380480,ov_ristorante_tinti_alla_ponticella_44.4549_11.3805,Ristorante Tinti alla Ponticella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/ristorante_tinti_alla_ponticella_44.4549_11.3805.json,custom
44.457846,11.376467,ov_trattoriaguglielmo_44.4578_11.3765,Trattoriaguglielmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/trattoriaguglielmo_44.4578_11.3765.json,custom
44.462804,11.408690,ov_pizzeria___rosticceria_da_giorgio_44.4628_11.4087,Pizzeria & Rosticceria da Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/pizzeria_rosticceria_da_giorgio_44.4628_11.4087.json,custom
44.463560,11.405698,ov_uova_e_farina_44.4636_11.4057,Uova e Farina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/san_lazzaro_di_savena/pages/uova_e_farina_44.4636_11.4057.json,custom
