# lat,lng,id,name,building_type,type,url,page_type
# santagata_sul_santerno -- restaurants
44.442066,11.842372,ov_ca__della_lanterna_44.4421_11.8424,Ca' della Lanterna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/ca_della_lanterna_44.4421_11.8424.json,custom
44.444010,11.853328,ov_piadineria_1_44.4440_11.8533,Piadineria 1,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/piadineria_1_44.4440_11.8533.json,custom
44.444006,11.853320,ov_chiosco_la_rocca_44.4440_11.8533,Chiosco la Rocca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/chiosco_la_rocca_44.4440_11.8533.json,custom
44.442291,11.860862,ov_pizzeria_del_centro_di_mani_massimo_44.4423_11.8609,Pizzeria Del Centro di Mani Massimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/pizzeria_del_centro_di_mani_massimo_44.4423_11.8609.json,custom
44.437125,11.878435,ov_crazy_donut_44.4371_11.8784,Crazy Donut,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/crazy_donut_44.4371_11.8784.json,custom
44.435081,11.876754,ov_sushi_tequila_44.4351_11.8768,SUSHI Tequila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/sushi_tequila_44.4351_11.8768.json,custom
44.435920,11.873640,ov_la_dolce_vita_14_44.4359_11.8736,La_dolce_vita_14,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/ladolcevita14_44.4359_11.8736.json,custom
44.435932,11.873361,ov_osteria_del_boccaccio_44.4359_11.8734,Osteria del Boccaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/osteria_del_boccaccio_44.4359_11.8734.json,custom
44.435661,11.873119,ov_arcobaleno_44.4357_11.8731,Arcobaleno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/arcobaleno_44.4357_11.8731.json,custom
44.435701,11.873226,ov_taverna_dei_velai_locanda_44.4357_11.8732,Taverna dei Velai Locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/taverna_dei_velai_locanda_44.4357_11.8732.json,custom
44.277895,12.349823,ov_la_valletta_44.2779_12.3498,La Valletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/santagata_sul_santerno/pages/la_valletta_44.2779_12.3498.json,custom
