# lat,lng,id,name,building_type,type,url,page_type
# sassuolo -- gyms
44.227509,10.500250,ov_centro_fondo_boscoreale_44.2275_10.5002,centro fondo Boscoreale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/centro_fondo_boscoreale_44.2275_10.5002.json,custom
44.519668,10.751499,ov_circolo_alpini_san_michele_44.5197_10.7515,Circolo Alpini San Michele,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/circolo_alpini_san_michele_44.5197_10.7515.json,custom
44.530183,10.771567,ov_pilates_sassuolo_44.5302_10.7716,Pilates Sassuolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/pilates_sassuolo_44.5302_10.7716.json,custom
44.530088,10.771291,ov_paintball_sassuolo_44.5301_10.7713,PaintBall Sassuolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/paintball_sassuolo_44.5301_10.7713.json,custom
44.530083,10.771298,ov_narayana_sassuolo_44.5301_10.7713,Narayana Sassuolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/narayana_sassuolo_44.5301_10.7713.json,custom
44.531347,10.786079,ov_20__training_lab_sassuolo_44.5313_10.7861,20' Training Lab Sassuolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/20_training_lab_sassuolo_44.5313_10.7861.json,custom
44.536551,10.788920,ov_astanga_modena_44.5366_10.7889,Astanga Modena,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/astanga_modena_44.5366_10.7889.json,custom
44.534608,10.793722,ov_armonia_art_academy_44.5346_10.7937,Armonia Art Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/armonia_art_academy_44.5346_10.7937.json,custom
44.535082,10.792367,ov_dsc_sassuolo_44.5351_10.7924,DSC Sassuolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/dsc_sassuolo_44.5351_10.7924.json,custom
44.535155,10.791543,ov_bushido_academy_asd_44.5352_10.7915,Bushido Academy ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/bushido_academy_asd_44.5352_10.7915.json,custom
44.538910,10.770483,ov_a_s_d__dancin_perfect_44.5389_10.7705,A.S.D. Dancin Perfect,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/asd_dancin_perfect_44.5389_10.7705.json,custom
44.543629,10.782984,ov_reeduca_studio_44.5436_10.7830,Reeduca Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/reeduca_studio_44.5436_10.7830.json,custom
44.543231,10.782451,ov_sub_time_club_44.5432_10.7825,Sub time club,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/emilia-romagna/sassuolo/pages/sub_time_club_44.5432_10.7825.json,custom
