# lat,lng,id,name,building_type,type,url,page_type
# paluzza -- restaurants
46.581820,13.005890,ov_ristorante_da_otto_46.5818_13.0059,Ristorante da Otto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/ristorante_da_otto_46.5818_13.0059.json,custom
46.603070,12.944819,ov_al_valico_carnico_46.6031_12.9448,Al Valico Carnico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/al_valico_carnico_46.6031_12.9448.json,custom
46.584697,13.002250,ov_al_bunker_46.5847_13.0023,Al Bunker,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/al_bunker_46.5847_13.0023.json,custom
46.585425,12.996863,ov_pizzeria__mexico_46.5854_12.9969,Pizzeria  Mexico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/pizzeria_mexico_46.5854_12.9969.json,custom
46.512509,13.001628,ov_da_quei_tre_46.5125_13.0016,Da Quei Tre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/da_quei_tre_46.5125_13.0016.json,custom
46.512350,13.001940,ov_bar_moro_46.5123_13.0019,Bar Moro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/bar_moro_46.5123_13.0019.json,custom
46.523878,13.008182,ov_osteria_da_cleve_46.5239_13.0082,Osteria da Cleve,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/osteria_da_cleve_46.5239_13.0082.json,custom
46.534829,13.014842,ov_pizzeria_la_torate_46.5348_13.0148,Pizzeria La Torate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/pizzeria_la_torate_46.5348_13.0148.json,custom
46.535988,13.019553,ov_casa_ortis_46.5360_13.0196,Casa Ortis,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/casa_ortis_46.5360_13.0196.json,custom
46.528614,13.015412,ov_pinut_e_di_plui_46.5286_13.0154,Pinut e di Plui,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paluzza/pages/pinut_e_di_plui_46.5286_13.0154.json,custom
