# lat,lng,id,name,building_type,type,url,page_type
# Paularo -- Tutti
46.566081,13.171401,ov_malga_cason_di_lanza_46.5661_13.1714,Malga Cason di Lanza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/malga_cason_di_lanza_46.5661_13.1714.json,custom
46.526872,13.119811,ov_fotosegalla_46.5269_13.1198,Fotosegalla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/fotosegalla_46.5269_13.1198.json,custom
46.501713,13.109324,ov_alla_posta_46.5017_13.1093,Alla Posta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/alla_posta_46.5017_13.1093.json,custom
46.529275,13.117654,ov_pizzeria_al_fogolar_46.5293_13.1177,Pizzeria al Fogolar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/pizzeria_al_fogolar_46.5293_13.1177.json,custom
46.530829,13.116873,ov_slalom_bar_46.5308_13.1169,Slalom Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/slalom_bar_46.5308_13.1169.json,custom
46.531019,13.115851,ov_bar_italia_46.5310_13.1159,Bar Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/bar_italia_46.5310_13.1159.json,custom
46.531341,13.115681,ov_bar_al_cavallino_46.5313_13.1157,Bar Al Cavallino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/bar_al_cavallino_46.5313_13.1157.json,custom
46.515810,13.128570,ov_bar_alla_frasca_46.5158_13.1286,Bar alla Frasca,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/bar_alla_frasca_46.5158_13.1286.json,custom
46.515401,13.129000,ov_bar_osteria_al_tabacchino_46.5154_13.1290,Bar Osteria Al Tabacchino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/bar_osteria_al_tabacchino_46.5154_13.1290.json,custom
46.533164,13.115856,ov_newlook_paularo_46.5332_13.1159,NewLook Paularo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/newlook_paularo_46.5332_13.1159.json,custom
46.530867,13.116736,ov_bar_trattoria_in_dal_palac_46.5309_13.1167,Bar Trattoria In dal Palac,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/bar_trattoria_in_dal_palac_46.5309_13.1167.json,custom
46.530579,13.116745,ov_cafe_di_vino_46.5306_13.1167,Cafe di Vino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/cafe_di_vino_46.5306_13.1167.json,custom
46.530215,13.116878,ov_barone_rosso_46.5302_13.1169,Barone Rosso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/barone_rosso_46.5302_13.1169.json,custom
46.583528,13.099856,ov_rifugio__p__fabiani_46.5835_13.0999,Rifugio  P. Fabiani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/rifugio_p_fabiani_46.5835_13.0999.json,custom
46.566782,13.121353,ov_monte_zermula_46.5668_13.1214,Monte Zermula,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/monte_zermula_46.5668_13.1214.json,custom
46.530626,13.116717,osm_caff__divino_46.5306_13.1167,Caffè Divino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/caff_divino_46.5306_13.1167.json,custom
46.532821,13.115789,osm_new_look_46.5328_13.1158,New Look,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/new_look_46.5328_13.1158.json,custom
46.535087,13.115656,ov_la_mozartina_46.5351_13.1157,La Mozartina,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/la_mozartina_46.5351_13.1157.json,custom
46.527222,13.120466,ov_biblioteca_comunale_a__sartori_di_paular_46.5272_13.1205,Biblioteca Comunale A. Sartori di Paularo,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/friuli_vg/paularo/pages/biblioteca_comunale_a_sartori_di_paularo_46.5272_13.1205.json,custom
