# lat,lng,id,name,building_type,type,url,page_type
# Acuto -- Tutti
41.784648,13.171493,ov_ristorante___pizzeria_la_valle_degli_uli_41.7846_13.1715,Ristorante - Pizzeria La Valle degli Ulivi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/ristorante_-_pizzeria_la_valle_degli_uli_41.7846_13.1715.json,custom
41.790170,13.170767,ov_saporita_41.7902_13.1708,Saporita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/saporita_41.7902_13.1708.json,custom
41.792130,13.179347,ov_nu_trattoria_italiana_41.7921_13.1793,Nu Trattoria Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/nu_trattoria_italiana_41.7921_13.1793.json,custom
41.792156,13.179610,ov_le_colline_ciociare_41.7922_13.1796,Le Colline Ciociare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/le_colline_ciociare_41.7922_13.1796.json,custom
41.792003,13.176740,ov_sebastian_pub_acuto_41.7920_13.1767,Sebastian Pub Acuto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/sebastian_pub_acuto_41.7920_13.1767.json,custom
41.791223,13.172883,ov_ristorante_il_frantoio_41.7912_13.1729,Ristorante Il Frantoio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/ristorante_il_frantoio_41.7912_13.1729.json,custom
41.790846,13.171737,ov_trattoria_da_dario_41.7908_13.1717,Trattoria da Dario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/trattoria_da_dario_41.7908_13.1717.json,custom
41.791069,13.171490,ov_bordino_41.7911_13.1715,Bordino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/bordino_41.7911_13.1715.json,custom
41.790999,13.171413,ov_coffee_shop_bar_dei_bravi_41.7910_13.1714,Coffee Shop Bar dei Bravi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/coffee_shop_bar_dei_bravi_41.7910_13.1714.json,custom
41.776836,13.208361,ov_il_locandiere_41.7768_13.2084,Il Locandiere,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/il_locandiere_41.7768_13.2084.json,custom
41.792165,13.179621,osm_ristorante_colline_ciociare_41.7922_13.1796,Ristorante Colline Ciociare,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/ristorante_colline_ciociare_41.7922_13.1796.json,custom
41.792117,13.175542,ov_bar_roma_41.7921_13.1755,Bar Roma,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/bar_roma_41.7921_13.1755.json,custom
41.791141,13.172485,ov_caffetteria_del_corso_41.7911_13.1725,Caffetteria Del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/caffetteria_del_corso_41.7911_13.1725.json,custom
41.790853,13.171386,ov_wine_bar_tortuga_41.7909_13.1714,Wine bar Tortuga,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/wine_bar_tortuga_41.7909_13.1714.json,custom
41.757050,13.164070,ov_power_gym_acuto_41.7570_13.1641,Power-Gym Acuto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/acuto/pages/power-gym_acuto_41.7570_13.1641.json,custom
