# lat,lng,id,name,building_type,type,url,page_type
# alatri -- Tutti
41.737479,13.334599,ov_pronto_soccorso_alatri_41.7375_13.3346,Pronto Soccorso Alatri,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pronto_soccorso_alatri_41.7375_13.3346.json,custom
41.737398,13.334966,ov_hospital_san_benedetto_41.7374_13.3350,Hospital San Benedetto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/hospital_san_benedetto_41.7374_13.3350.json,custom
41.725277,13.341347,ov_ospedale_san_benedetto_41.7253_13.3413,Ospedale San Benedetto,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/ospedale_san_benedetto_41.7253_13.3413.json,custom
41.730820,13.340230,ov_comitato_san_benedetto_page_41.7308_13.3402,Comitato San Benedetto Page,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/comitato_san_benedetto_page_41.7308_13.3402.json,custom
41.737609,13.334406,osm_pronto_soccorso_ospedale_san_benedetto_41.7376_13.3344,Pronto Soccorso Ospedale San Benedetto,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pronto_soccorso_ospedale_san_benedetto_41.7376_13.3344.json,custom
41.752194,13.318616,ov_pizzeria_calicchia_41.7522_13.3186,Pizzeria Calicchia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pizzeria_calicchia_41.7522_13.3186.json,custom
41.756828,13.323836,ov_pasticceria_gelateria_aurora_41.7568_13.3238,Pasticceria Gelateria Aurora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pasticceria_gelateria_aurora_41.7568_13.3238.json,custom
41.745113,13.339149,ov_ristorante_fiorina_di_gatta_gianni_41.7451_13.3391,Ristorante Fiorina Di Gatta Gianni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/ristorante_fiorina_di_gatta_gianni_41.7451_13.3391.json,custom
41.745189,13.339172,ov_villa_fiorina_41.7452_13.3392,Villa Fiorina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/villa_fiorina_41.7452_13.3392.json,custom
41.738493,13.336712,ov_happy_pizza_41.7385_13.3367,Happy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/happy_pizza_41.7385_13.3367.json,custom
41.738805,13.339359,ov_pizzeria_sor_pizzitto_41.7388_13.3394,Pizzeria Sor Pizzitto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pizzeria_sor_pizzitto_41.7388_13.3394.json,custom
41.728380,13.325867,ov_ristorante_pizzeria_fuocolento_41.7284_13.3259,Ristorante Pizzeria Fuocolento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/ristorante_pizzeria_fuocolento_41.7284_13.3259.json,custom
41.725380,13.329450,ov_la_locanda_41.7254_13.3294,La locanda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/la_locanda_41.7254_13.3294.json,custom
41.726049,13.337894,ov_l_impero_food_41.7260_13.3379,L'impero Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/limpero_food_41.7260_13.3379.json,custom
41.726305,13.340343,ov_papapid__41.7263_13.3403,Papapidò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/papapid_41.7263_13.3403.json,custom
41.725938,13.341512,ov_a_piazza_regina_fraschetta_con_cucina_41.7259_13.3415,A Piazza Regina Fraschetta con Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/a_piazza_regina_fraschetta_con_cucina_41.7259_13.3415.json,custom
41.725502,13.341715,ov_ristorante_pizzeria_tre_grana_41.7255_13.3417,Ristorante pizzeria Tre Grana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/ristorante_pizzeria_tre_grana_41.7255_13.3417.json,custom
41.725618,13.343305,ov_bacco_e_ciacco_41.7256_13.3433,Bacco e Ciacco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/bacco_e_ciacco_41.7256_13.3433.json,custom
41.725726,13.343071,ov_ristorante_pizzeria_l__araldo_41.7257_13.3431,Ristorante Pizzeria L' Araldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/ristorante_pizzeria_l_araldo_41.7257_13.3431.json,custom
41.725540,13.343208,ov_ristorante_madreterra_alatri_41.7255_13.3432,Ristorante Madreterra Alatri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/ristorante_madreterra_alatri_41.7255_13.3432.json,custom
41.725307,13.343863,ov_la_rosetta_41.7253_13.3439,La Rosetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/la_rosetta_41.7253_13.3439.json,custom
41.726226,13.343574,ov_hot_shot___la_taperia_41.7262_13.3436,Hot Shot - La Taperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/hot_shot_-_la_taperia_41.7262_13.3436.json,custom
41.726998,13.342321,ov_ristorante_pizzeria_la_conca_41.7270_13.3423,Ristorante Pizzeria La Conca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/ristorante_pizzeria_la_conca_41.7270_13.3423.json,custom
41.726669,13.342042,ov_kloster_keller_41.7267_13.3420,Kloster Keller,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/kloster_keller_41.7267_13.3420.json,custom
41.726662,13.341494,ov_la_taverna_dei_principi_41.7267_13.3415,La Taverna dei Principi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/la_taverna_dei_principi_41.7267_13.3415.json,custom
41.727044,13.340918,ov_brio_pizza___cucina_41.7270_13.3409,Brio Pizza & Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/brio_pizza_cucina_41.7270_13.3409.json,custom
41.727796,13.341758,ov_pizzeria_rosticceria_da_marcello_annaril_41.7278_13.3418,Pizzeria Rosticceria Da Marcello Annarila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pizzeria_rosticceria_da_marcello_annaril_41.7278_13.3418.json,custom
41.727803,13.341558,ov_osteria_sapori_antichi_di_zena_massimili_41.7278_13.3416,Osteria Sapori Antichi di Zena Massimiliano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/osteria_sapori_antichi_di_zena_massimili_41.7278_13.3416.json,custom
41.730260,13.343878,ov_arte_pizza_41.7303_13.3439,Arte Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/arte_pizza_41.7303_13.3439.json,custom
41.730117,13.351372,ov_non_solo_pizza_41.7301_13.3514,Non Solo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/non_solo_pizza_41.7301_13.3514.json,custom
41.728576,13.346128,ov_la_pergola_alatri_41.7286_13.3461,La Pergola Alatri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/la_pergola_alatri_41.7286_13.3461.json,custom
41.720940,13.350933,ov_la_pezza_alatri_41.7209_13.3509,La Pezza Alatri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/la_pezza_alatri_41.7209_13.3509.json,custom
41.723240,13.334940,ov_galante_srl___italian_eating_art_41.7232_13.3349,Galante srl - Italian Eating Art,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/galante_srl_-_italian_eating_art_41.7232_13.3349.json,custom
41.719985,13.348485,ov_la_capannina_ristorante_alatri_41.7200_13.3485,La Capannina Ristorante Alatri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/la_capannina_ristorante_alatri_41.7200_13.3485.json,custom
41.719752,13.351014,ov_saga_braceria_ristorante_41.7198_13.3510,Saga Braceria Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/saga_braceria_ristorante_41.7198_13.3510.json,custom
41.723424,13.329812,ov_ristorante_la_fonte_del_cosciano_41.7234_13.3298,Ristorante La Fonte Del Cosciano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/ristorante_la_fonte_del_cosciano_41.7234_13.3298.json,custom
41.710939,13.306156,ov_l_ernico_41.7109_13.3062,L'Ernico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/lernico_41.7109_13.3062.json,custom
41.693320,13.315780,ov_agriturismo_il_giardino_dei_mandorli_41.6933_13.3158,Agriturismo Il Giardino dei Mandorli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/agriturismo_il_giardino_dei_mandorli_41.6933_13.3158.json,custom
41.706680,13.323480,ov_il_gusto_alimentare_41.7067_13.3235,Il gusto Alimentare,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/il_gusto_alimentare_41.7067_13.3235.json,custom
41.690970,13.338876,ov_la_riffa_di_gatta_fabrizio_41.6910_13.3389,La Riffa di Gatta Fabrizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/la_riffa_di_gatta_fabrizio_41.6910_13.3389.json,custom
41.691469,13.351934,ov_pinsaro___l_arancina_d_autore_41.6915_13.3519,Pinsaro - L'Arancina d'autore,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pinsaro_-_larancina_dautore_41.6915_13.3519.json,custom
41.691002,13.353364,ov_la_piazzetta_osteria_pizzeria_41.6910_13.3534,La Piazzetta Osteria Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/la_piazzetta_osteria_pizzeria_41.6910_13.3534.json,custom
41.689730,13.350773,ov_pizza_express_di_de_santis_pio_41.6897_13.3508,Pizza Express Di De Santis Pio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pizza_express_di_de_santis_pio_41.6897_13.3508.json,custom
41.685055,13.350470,ov_dolce_e_pi__due_41.6851_13.3505,Dolce E Più Due,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/dolce_e_pi_due_41.6851_13.3505.json,custom
41.682996,13.351244,ov_pizzeria_da_zeb_41.6830_13.3512,Pizzeria da ZEB,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pizzeria_da_zeb_41.6830_13.3512.json,custom
41.688610,13.337140,ov_s1m0ne_41.6886_13.3371,S1m0ne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/s1m0ne_41.6886_13.3371.json,custom
41.679862,13.349374,ov_antico_orcio_41.6799_13.3494,Antico Orcio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/antico_orcio_41.6799_13.3494.json,custom
41.679159,13.354769,ov_pizzeria_civico29___ex_villa_verde__41.6792_13.3548,Pizzeria Civico29 ( ex Villa Verde),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pizzeria_civico29_ex_villa_verde_41.6792_13.3548.json,custom
41.675510,13.349790,ov_pizzeria_da_zeb_41.6755_13.3498,Pizzeria da Zeb,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/pizzeria_da_zeb_41.6755_13.3498.json,custom
41.672070,13.347620,ov_uno55_pizzeria_verace_pizza_napoletana_41.6721_13.3476,UNO55 Pizzeria Verace pizza Napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/alatri/pages/uno55_pizzeria_verace_pizza_napoletana_41.6721_13.3476.json,custom
