# lat,lng,id,name,building_type,type,url,page_type
# Castignano -- Tutti
42.916945,13.611870,ov_osteria_del_pelo_42.9169_13.6119,Osteria Del Pelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/osteria_del_pelo_42.9169_13.6119.json,custom
42.939096,13.624133,ov_pizza_sound_42.9391_13.6241,Pizza Sound,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/pizza_sound_42.9391_13.6241.json,custom
42.940901,13.629084,ov_hotel_teta_42.9409_13.6291,Hotel Teta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/hotel_teta_42.9409_13.6291.json,custom
42.938889,13.653992,ov_agriturismo_fiorenire_42.9389_13.6540,Agriturismo Fiorenire,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/agriturismo_fiorenire_42.9389_13.6540.json,custom
42.910181,13.624864,ov_smile_caffe_42.9102_13.6249,Smile Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/smile_caffe_42.9102_13.6249.json,custom
42.918323,13.606758,ov_kris_cafe_42.9183_13.6068,Kris Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/kris_cafe_42.9183_13.6068.json,custom
42.938030,13.622860,ov_bar_di_s__42.9380_13.6229,Bar di sù,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/bar_di_s_42.9380_13.6229.json,custom
42.938893,13.623557,ov_caffe_del_borgo_42.9389_13.6236,Caffe Del Borgo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/caffe_del_borgo_42.9389_13.6236.json,custom
42.939273,13.624526,ov_bar_bacco_tabacco_42.9393_13.6245,Bar Bacco Tabacco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/bar_bacco_tabacco_42.9393_13.6245.json,custom
42.938206,13.622462,ov_birreria_arsura_42.9382_13.6225,Birreria Arsura,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/birreria_arsura_42.9382_13.6225.json,custom
42.941001,13.629250,ov_al_nostro_bar_42.9410_13.6293,Al Nostro Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/al_nostro_bar_42.9410_13.6293.json,custom
42.956410,13.647090,ov_bar_canguro_42.9564_13.6471,Bar Canguro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/bar_canguro_42.9564_13.6471.json,custom
42.923093,13.601087,ov_villa_dei_calanchi_42.9231_13.6011,Villa dei Calanchi,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/villa_dei_calanchi_42.9231_13.6011.json,custom
42.937807,13.622416,ov_polo_museale_di_castignano_42.9378_13.6224,Polo Museale di Castignano,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/castignano/pages/polo_museale_di_castignano_42.9378_13.6224.json,custom
