# lat,lng,id,name,building_type,type,url,page_type
# Ciampino -- Tutti
41.807302,12.598289,ov_assuntapapapsichiatra_41.8073_12.5983,Assuntapapapsichiatra,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/assuntapapapsichiatra_41.8073_12.5983.json,custom
41.806621,12.595075,ov_bobby_bun___smash_burger_41.8066_12.5951,Bobby Bun - Smash Burger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/bobby_bun_-_smash_burger_41.8066_12.5951.json,custom
41.806680,12.595054,ov_pizzeria_midica_41.8067_12.5951,Pizzeria MiDica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pizzeria_midica_41.8067_12.5951.json,custom
41.809063,12.593814,ov_pizza_al_volo_2_0_41.8091_12.5938,Pizza Al Volo 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pizza_al_volo_20_41.8091_12.5938.json,custom
41.809109,12.593809,ov_us_shopping_daily_41.8091_12.5938,US Shopping Daily,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/us_shopping_daily_41.8091_12.5938.json,custom
41.809108,12.593801,ov_piccolo_abruzzo___cucina_romana_di_valer_41.8091_12.5938,Piccolo Abruzzo - Cucina Romana di Valeriano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/piccolo_abruzzo_-_cucina_romana_di_valer_41.8091_12.5938.json,custom
41.809717,12.593083,ov_ristorante_da_mimmo_41.8097_12.5931,Ristorante da Mimmo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ristorante_da_mimmo_41.8097_12.5931.json,custom
41.809678,12.593074,ov_king_arthur_41.8097_12.5931,King Arthur,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/king_arthur_41.8097_12.5931.json,custom
41.811765,12.593470,ov_ishin_ciampino_41.8118_12.5935,Ishin Ciampino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/ishin_ciampino_41.8118_12.5935.json,custom
41.808069,12.597611,ov_pizzeria_il_boccale_41.8081_12.5976,Pizzeria Il Boccale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/pizzeria_il_boccale_41.8081_12.5976.json,custom
41.803258,12.597760,ov_zen_garden_41.8033_12.5978,Zen Garden,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/zen_garden_41.8033_12.5978.json,custom
41.801440,12.597986,ov_malibu_41.8014_12.5980,Malibu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/malibu_41.8014_12.5980.json,custom
41.801302,12.598386,ov_cesaretti_pietro_41.8013_12.5984,Cesaretti Pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/cesaretti_pietro_41.8013_12.5984.json,custom
41.801319,12.598417,ov_rosmarino_ristorante_pizzeria_41.8013_12.5984,Rosmarino Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/rosmarino_ristorante_pizzeria_41.8013_12.5984.json,custom
41.804795,12.595769,ov_rist__il_marchese_del_grill_41.8048_12.5958,Rist. Il Marchese del grill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/rist_il_marchese_del_grill_41.8048_12.5958.json,custom
41.799701,12.600452,ov_fat_max_2_0_41.7997_12.6005,Fat Max 2.0,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/ciampino/pages/fat_max_20_41.7997_12.6005.json,custom
