# lat,lng,id,name,building_type,type,url,page_type
# cori -- Tutti
41.504980,13.238300,ov_centro_estivo_l_arcobaleno_41.5050_13.2383,Centro Estivo l'Arcobaleno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/centro_estivo_larcobaleno_41.5050_13.2383.json,custom
41.649728,12.921236,ov_cori_santuario_madonna_del_soccorso_41.6497_12.9212,Cori Santuario Madonna Del soccorso,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/cori_santuario_madonna_del_soccorso_41.6497_12.9212.json,custom
41.641227,12.916944,ov_ospedale_di_comunita_di_cori_41.6412_12.9169,Ospedale di Comunita di Cori,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/ospedale_di_comunita_di_cori_41.6412_12.9169.json,custom
41.641344,12.915723,ov_azienda_usl_latina_41.6413_12.9157,Azienda Usl Latina,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/azienda_usl_latina_41.6413_12.9157.json,custom
41.612225,12.874698,ov_ristorante_agriturismo_colle_reale_41.6122_12.8747,Ristorante Agriturismo Colle Reale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/ristorante_agriturismo_colle_reale_41.6122_12.8747.json,custom
41.605470,12.908660,ov_pizzeria_la_bella_ninfa_di_colasante_cla_41.6055_12.9087,Pizzeria la bella ninfa di Colasante Claudia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/pizzeria_la_bella_ninfa_di_colasante_cla_41.6055_12.9087.json,custom
41.628424,12.940852,ov_fontana_del_prato_41.6284_12.9409,Fontana Del Prato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/fontana_del_prato_41.6284_12.9409.json,custom
41.635976,12.919593,ov_sette_camini_41.6360_12.9196,Sette Camini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/sette_camini_41.6360_12.9196.json,custom
41.644705,12.918379,ov_albergo_ristorante_del_colle_41.6447_12.9184,Albergo Ristorante del Colle,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/albergo_ristorante_del_colle_41.6447_12.9184.json,custom
41.644537,12.918553,ov_ristorante_jobotto_41.6445_12.9186,Ristorante JOBOTTO,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/ristorante_jobotto_41.6445_12.9186.json,custom
41.644410,12.918460,ov_villa_anna_41.6444_12.9185,Villa Anna,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/villa_anna_41.6444_12.9185.json,custom
41.644087,12.918821,ov_ristorante_zampi_41.6441_12.9188,Ristorante Zampi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/ristorante_zampi_41.6441_12.9188.json,custom
41.644119,12.917435,ov_er_panino_de__pino_41.6441_12.9174,Er Panino de' Pino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/er_panino_de_pino_41.6441_12.9174.json,custom
41.644870,12.917430,ov_mangiosano_41.6449_12.9174,Mangiosano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/mangiosano_41.6449_12.9174.json,custom
41.639069,12.886901,ov_il_casale_delle_vigne_41.6391_12.8869,Il Casale delle Vigne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/il_casale_delle_vigne_41.6391_12.8869.json,custom
41.643855,12.905279,ov_il_re_impasto_41.6439_12.9053,Il Re-impasto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/il_re-impasto_41.6439_12.9053.json,custom
41.642260,12.906840,ov_maciste_pasticceria_41.6423_12.9068,Maciste Pasticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/maciste_pasticceria_41.6423_12.9068.json,custom
41.643262,12.909841,ov_la_perla_41.6433_12.9098,La Perla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/la_perla_41.6433_12.9098.json,custom
41.641962,12.911036,ov_trattoria_da_metardo_41.6420_12.9110,Trattoria da Metardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/trattoria_da_metardo_41.6420_12.9110.json,custom
41.642783,12.915484,ov_ristoro_di_ercole_41.6428_12.9155,Ristoro di Ercole,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/ristoro_di_ercole_41.6428_12.9155.json,custom
41.644022,12.918072,ov_la_taverna_dei_golosi_41.6440_12.9181,La Taverna dei Golosi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/la_taverna_dei_golosi_41.6440_12.9181.json,custom
41.644034,12.918102,ov_nardi_sala_degustazione_41.6440_12.9181,Nardi Sala degustazione,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/nardi_sala_degustazione_41.6440_12.9181.json,custom
41.643153,12.917774,ov_trattoria_da_checco_41.6432_12.9178,Trattoria da Checco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/trattoria_da_checco_41.6432_12.9178.json,custom
41.639409,12.913999,ov_de_novo_e_d_antico_41.6394_12.9140,De Novo e d'Antico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/de_novo_e_dantico_41.6394_12.9140.json,custom
41.655401,12.866641,ov_agriturismo_raponi_41.6554_12.8666,Agriturismo Raponi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/agriturismo_raponi_41.6554_12.8666.json,custom
41.687435,12.873366,ov_da_massimo_al_ponte_41.6874_12.8734,Da Massimo al Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/da_massimo_al_ponte_41.6874_12.8734.json,custom
41.684650,12.876066,ov_osteria_del_contadino_41.6847_12.8761,Osteria Del Contadino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/osteria_del_contadino_41.6847_12.8761.json,custom
41.686256,12.879107,ov_da_luciano_alla_baracca_41.6863_12.8791,Da Luciano alla Baracca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/da_luciano_alla_baracca_41.6863_12.8791.json,custom
41.686759,12.875725,ov_le_pizze_di_peppe_41.6868_12.8757,Le Pizze Di Peppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/le_pizze_di_peppe_41.6868_12.8757.json,custom
41.639814,12.907562,osm_cincinnato_wine_resort_41.6398_12.9076,Cincinnato Wine Resort,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/cincinnato_wine_resort_41.6398_12.9076.json,custom
41.643982,12.919450,ov_il_grottino_41.6440_12.9195,Il Grottino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/il_grottino_41.6440_12.9195.json,custom
41.645259,12.916864,ov_parco_giochi_bar_chiquita_41.6453_12.9169,Parco giochi bar Chiquita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/parco_giochi_bar_chiquita_41.6453_12.9169.json,custom
41.644688,12.917656,ov_il_gatto___la_volpe_41.6447_12.9177,Il Gatto & la Volpe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/il_gatto_la_volpe_41.6447_12.9177.json,custom
41.642872,12.910481,ov_profumo_di_caffe_41.6429_12.9105,Profumo di Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/profumo_di_caffe_41.6429_12.9105.json,custom
41.643311,12.909413,ov_zi_ciuffo_41.6433_12.9094,Zi Ciuffo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/zi_ciuffo_41.6433_12.9094.json,custom
41.643333,12.913273,ov_bar_del_museo_41.6433_12.9133,Bar del Museo,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/bar_del_museo_41.6433_12.9133.json,custom
41.643868,12.917710,ov_the_upper_pub_41.6439_12.9177,The Upper Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/the_upper_pub_41.6439_12.9177.json,custom
41.644051,12.917855,ov_c_c_caffe_41.6441_12.9179,C&C Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/cc_caffe_41.6441_12.9179.json,custom
41.686378,12.874949,ov_bar_deny_41.6864_12.8749,Bar Deny,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/bar_deny_41.6864_12.8749.json,custom
41.684990,12.874559,ov_caffe_del_corso_41.6850_12.8746,Caffe del Corso,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/caffe_del_corso_41.6850_12.8746.json,custom
41.684743,12.876567,ov_la_fontanaccia_41.6847_12.8766,La Fontanaccia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/la_fontanaccia_41.6847_12.8766.json,custom
41.686975,12.877538,ov_l_accampamento___il_coyote_41.6870_12.8775,L'accampamento - Il Coyote,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/laccampamento_-_il_coyote_41.6870_12.8775.json,custom
41.645287,12.919104,ov_fight_club_frasca_academy_41.6453_12.9191,Fight Club Frasca Academy,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/fight_club_frasca_academy_41.6453_12.9191.json,custom
41.646166,12.917307,ov_body_center_41.6462_12.9173,Body Center,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/body_center_41.6462_12.9173.json,custom
41.644500,12.906200,ov_overflow_dance_fitness_studio_41.6445_12.9062,OverFlow Dance&Fitness Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/cori/pages/overflow_dancefitness_studio_41.6445_12.9062.json,custom
