# lat,lng,id,name,building_type,type,url,page_type
# Nepi -- Tutti
42.237517,12.330868,ov_ludo_pizza_42.2375_12.3309,Ludo Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/ludo_pizza_42.2375_12.3309.json,custom
42.242143,12.341100,ov_pasta_preziosa_nepi_42.2421_12.3411,Pasta Preziosa Nepi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/pasta_preziosa_nepi_42.2421_12.3411.json,custom
42.242537,12.345940,ov_ristorante_la_corte_di_gabriele_zampalet_42.2425_12.3459,Ristorante La Corte di Gabriele Zampaletta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/ristorante_la_corte_di_gabriele_zampalet_42.2425_12.3459.json,custom
42.241916,12.346190,ov_dieci_ristorante_42.2419_12.3462,Dieci Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/dieci_ristorante_42.2419_12.3462.json,custom
42.241830,12.346265,ov_pizzeria_le_mura_42.2418_12.3463,Pizzeria Le Mura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/pizzeria_le_mura_42.2418_12.3463.json,custom
42.241788,12.343376,ov_il_pesce_fuor_d_acqua_42.2418_12.3434,Il Pesce Fuor d'Acqua,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/il_pesce_fuor_dacqua_42.2418_12.3434.json,custom
42.241556,12.344948,ov_ex_mattatoio_42.2416_12.3449,Ex Mattatoio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/ex_mattatoio_42.2416_12.3449.json,custom
42.241443,12.345117,ov_ristorante_casa_tuscia_42.2414_12.3451,Ristorante Casa Tuscia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/ristorante_casa_tuscia_42.2414_12.3451.json,custom
42.242014,12.347122,ov_osteria_del_seminario_42.2420_12.3471,Osteria del Seminario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/osteria_del_seminario_42.2420_12.3471.json,custom
42.242019,12.348186,ov_la_pizzicheria_brunetti_42.2420_12.3482,La Pizzicheria Brunetti,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/nepi/pages/la_pizzicheria_brunetti_42.2420_12.3482.json,custom
