# lat,lng,id,name,building_type,type,url,page_type
# poggio_mirteto -- Tutti
42.238565,12.636085,ov_ecofattorie_sabine_42.2386_12.6361,Ecofattorie Sabine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/ecofattorie_sabine_42.2386_12.6361.json,custom
42.239685,12.633744,ov_88_ristorante_42.2397_12.6337,88 Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/88_ristorante_42.2397_12.6337.json,custom
42.260669,12.644481,ov_terre_sabine_42.2607_12.6445,Terre Sabine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/terre_sabine_42.2607_12.6445.json,custom
42.264947,12.684436,ov_ristorante_la_tavernetta_42.2649_12.6844,Ristorante La Tavernetta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/ristorante_la_tavernetta_42.2649_12.6844.json,custom
42.264881,12.684677,ov_osteria_emporio_48_42.2649_12.6847,Osteria Emporio 48,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/osteria_emporio_48_42.2649_12.6847.json,custom
42.264783,12.685008,ov_bushido_sushi_experience_42.2648_12.6850,Bushido sushi experience,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/bushido_sushi_experience_42.2648_12.6850.json,custom
42.264618,12.685519,ov_ristorante_la_vecchia_tipografia_42.2646_12.6855,Ristorante La Vecchia Tipografia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/ristorante_la_vecchia_tipografia_42.2646_12.6855.json,custom
42.264605,12.685579,ov_vicolo_21_42.2646_12.6856,Vicolo 21,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/vicolo_21_42.2646_12.6856.json,custom
42.265283,12.686430,ov_l_antica_pizza_42.2653_12.6864,L'Antica Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/lantica_pizza_42.2653_12.6864.json,custom
42.265723,12.688791,ov_la_mimosa_42.2657_12.6888,La Mimosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/la_mimosa_42.2657_12.6888.json,custom
42.265760,12.687510,ov_ristorante_88_42.2658_12.6875,Ristorante 88,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/ristorante_88_42.2658_12.6875.json,custom
42.265927,12.685753,ov_nuova_enoteca_de_silvestri_42.2659_12.6858,Nuova Enoteca De Silvestri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/nuova_enoteca_de_silvestri_42.2659_12.6858.json,custom
42.266115,12.685399,ov_osteria_la_chianina_42.2661_12.6854,Osteria La Chianina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/osteria_la_chianina_42.2661_12.6854.json,custom
42.265946,12.685527,ov_questo_e_quello_sas_di_settimi_francesco_42.2659_12.6855,Questo e Quello sas di Settimi Francesco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/questo_e_quello_sas_di_settimi_francesco_42.2659_12.6855.json,custom
42.265349,12.684761,ov_peter_pan_2_ristorante_pizzeria_42.2653_12.6848,Peter Pan 2 Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/peter_pan_2_ristorante_pizzeria_42.2653_12.6848.json,custom
42.273060,12.697343,ov_casa_rinaldi_italia_42.2731_12.6973,Casa Rinaldi Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/casa_rinaldi_italia_42.2731_12.6973.json,custom
42.271408,12.678395,ov_agriturismo_ortobio_42.2714_12.6784,Agriturismo Ortobio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/agriturismo_ortobio_42.2714_12.6784.json,custom
42.260017,12.640758,osm_terra_sabina_42.2600_12.6408,Terra Sabina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/terra_sabina_42.2600_12.6408.json,custom
42.265696,12.688799,osm_pizzeria_tavola_calda_la_mimosa_42.2657_12.6888,Pizzeria tavola calda la mimosa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/pizzeria_tavola_calda_la_mimosa_42.2657_12.6888.json,custom
42.265922,12.685507,osm_osteria_la_chianina_42.2659_12.6855,Osteria La Chianina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/osteria_la_chianina_42.2659_12.6855.json,custom
42.255855,12.683023,osm_ristorante_zi__filippo_42.2559_12.6830,Ristorante Zi' Filippo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/ristorante_zi_filippo_42.2559_12.6830.json,custom
42.240321,12.633976,ov_caff__dello_sport_42.2403_12.6340,Caffè Dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/caff_dello_sport_42.2403_12.6340.json,custom
42.260820,12.638600,ov_bar_dello_sport_42.2608_12.6386,Bar dello Sport,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/bar_dello_sport_42.2608_12.6386.json,custom
42.249693,12.636949,ov_allegory_food___bar_42.2497_12.6369,Allegory Food & Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/allegory_food_bar_42.2497_12.6369.json,custom
42.262130,12.677910,ov_sabino_beer_garden_42.2621_12.6779,Sabino Beer Garden,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/sabino_beer_garden_42.2621_12.6779.json,custom
42.257921,12.674357,ov_birrificio_sabino_42.2579_12.6744,Birrificio Sabino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/birrificio_sabino_42.2579_12.6744.json,custom
42.263887,12.686897,ov_football_and_beer_42.2639_12.6869,Football and Beer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/football_and_beer_42.2639_12.6869.json,custom
42.264667,12.684003,ov_caff__gentili_di_ferrari_giannetta_42.2647_12.6840,Caffè Gentili di Ferrari Giannetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/caff_gentili_di_ferrari_giannetta_42.2647_12.6840.json,custom
42.264890,12.684438,ov_lamas_bar_42.2649_12.6844,Lamas Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/lamas_bar_42.2649_12.6844.json,custom
42.265128,12.685435,ov_tony_s_bar_42.2651_12.6854,Tony's Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/tonys_bar_42.2651_12.6854.json,custom
42.265143,12.686300,ov_il_chiosco_42.2651_12.6863,Il chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/il_chiosco_42.2651_12.6863.json,custom
42.265403,12.687226,ov_bar_pasticceria_jolly_42.2654_12.6872,Bar Pasticceria Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/bar_pasticceria_jolly_42.2654_12.6872.json,custom
42.266045,12.685518,ov_caffe_matteotti_42.2660_12.6855,Caffe Matteotti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/caffe_matteotti_42.2660_12.6855.json,custom
42.265645,12.685224,ov_new_castle_bar_42.2656_12.6852,New Castle Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/new_castle_bar_42.2656_12.6852.json,custom
42.268070,12.687725,ov_bar_play_game_42.2681_12.6877,Bar Play Game,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/bar_play_game_42.2681_12.6877.json,custom
42.266340,12.685613,ov_numa_dulces_42.2663_12.6856,Numa Dulces,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/numa_dulces_42.2663_12.6856.json,custom
42.265519,12.689426,ov_bar_enoteca_l_arcobaleno_42.2655_12.6894,Bar enoteca l'arcobaleno,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/bar_enoteca_larcobaleno_42.2655_12.6894.json,custom
42.269400,12.640540,ov_body_bar_42.2694_12.6405,Body Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/body_bar_42.2694_12.6405.json,custom
42.256162,12.638272,ov_flex_zone_42.2562_12.6383,Flex Zone,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/flex_zone_42.2562_12.6383.json,custom
42.258335,12.655913,ov_c_a_o_s__asd_42.2583_12.6559,C.A.O.S. asd,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/caos_asd_42.2583_12.6559.json,custom
42.255580,12.682700,ov_scuderia_ferrari_club_poggio_mirteto_42.2556_12.6827,Scuderia Ferrari Club Poggio Mirteto,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/scuderia_ferrari_club_poggio_mirteto_42.2556_12.6827.json,custom
42.256412,12.717288,ov_castello_bonaccorsi_in_sabina_42.2564_12.7173,Castello Bonaccorsi in Sabina,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/poggio_mirteto/pages/castello_bonaccorsi_in_sabina_42.2564_12.7173.json,custom
