# lat,lng,id,name,building_type,type,url,page_type
# pontecorvo -- bars_cafes.csv
41.463691,13.670009,ov_g_ice_41.4637_13.6700,G.ice,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/gice_41.4637_13.6700.json,custom
41.459931,13.669469,ov_bar_principe_41.4599_13.6695,Bar Principe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/bar_principe_41.4599_13.6695.json,custom
41.458964,13.667943,ov_bar_prata_prata_di_vittorio_41.4590_13.6679,Bar Prata Prata Di Vittorio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/bar_prata_prata_di_vittorio_41.4590_13.6679.json,custom
41.459454,13.667459,ov_bar_fly_41.4595_13.6675,Bar Fly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/bar_fly_41.4595_13.6675.json,custom
41.458718,13.666433,ov_bar_il_chiosco_41.4587_13.6664,Bar Il Chiosco,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/bar_il_chiosco_41.4587_13.6664.json,custom
41.458590,13.666722,ov_agor__caff__41.4586_13.6667,Agorà Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/agor_caff_41.4586_13.6667.json,custom
41.457486,13.666202,ov_tiffany_s_coffee_lounge_41.4575_13.6662,Tiffany's Coffee Lounge,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/tiffanys_coffee_lounge_41.4575_13.6662.json,custom
41.457048,13.666662,ov_bistrot_caff__41.4570_13.6667,Bistrot caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/bistrot_caff_41.4570_13.6667.json,custom
41.454326,13.664699,ov_bar_loredana_41.4543_13.6647,Bar Loredana,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/bar_loredana_41.4543_13.6647.json,custom
41.454739,13.666682,ov_bar_liri_41.4547_13.6667,Bar Liri,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/bar_liri_41.4547_13.6667.json,custom
41.454246,13.661049,ov_favoccia_bar_caffetteria_41.4542_13.6610,Favoccia Bar Caffetteria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/favoccia_bar_caffetteria_41.4542_13.6610.json,custom
41.452063,13.661622,ov_royal_bar_41.4521_13.6616,Royal Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/royal_bar_41.4521_13.6616.json,custom
41.431170,13.665123,ov_1970_country_house_cafe_41.4312_13.6651,1970 Country House Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/1970_country_house_cafe_41.4312_13.6651.json,custom
41.442655,13.680723,ov_kave_lab_41.4427_13.6807,Kave Lab,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/kave_lab_41.4427_13.6807.json,custom
41.455122,13.673868,ov_bar_melis_di_melis_sara_41.4551_13.6739,Bar Melis Di Melis Sara,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/bar_melis_di_melis_sara_41.4551_13.6739.json,custom
41.720417,13.614819,ov_caffe_fiammetta_41.7204_13.6148,Caffe Fiammetta,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/caffe_fiammetta_41.7204_13.6148.json,custom
41.458339,13.666230,osm_civico_39_41.4583_13.6662,Civico 39,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/pontecorvo/pages/civico_39_41.4583_13.6662.json,custom
