# lat,lng,id,name,building_type,type,url,page_type
# rome -- restaurants.csv
41.892491,12.364428,ov_brigadoon_41.8925_12.3644,Brigadoon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/brigadoon_41.8925_12.3644.json,custom
41.791614,12.255625,ov_artists_bar_41.7916_12.2556,Artists Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/artists_bar_41.7916_12.2556.json,custom
42.162810,12.211015,ov_fuori_porta_42.1628_12.2110,Fuori Porta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/fuori_porta_42.1628_12.2110.json,custom
42.048626,12.359284,ov_casale_della_margherita_42.0486_12.3593,Casale Della Margherita,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/casale_della_margherita_42.0486_12.3593.json,custom
42.020893,12.376551,ov_mcdonald_s_42.0209_12.3766,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/mcdonalds_42.0209_12.3766.json,custom
41.902013,12.412915,ov_love_4_pizza_di_alossi_giuseppe_41.9020_12.4129,Love 4 Pizza di Alossi Giuseppe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/love_4_pizza_di_alossi_giuseppe_41.9020_12.4129.json,custom
41.877117,12.425963,ov_schiavi_d_abruzzo_41.8771_12.4260,Schiavi d'Abruzzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/schiavi_dabruzzo_41.8771_12.4260.json,custom
41.858544,12.442559,ov_white_bakery_41.8585_12.4426,White Bakery,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/white_bakery_41.8585_12.4426.json,custom
41.846586,12.456671,ov_zi_ciro_via_della_magliana_41.8466_12.4567,Zi Ciro Via Della Magliana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/zi_ciro_via_della_magliana_41.8466_12.4567.json,custom
41.859263,12.457903,ov_mary_pizza_41.8593_12.4579,Mary Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/mary_pizza_41.8593_12.4579.json,custom
41.899959,12.452839,ov_kohinoor_indian_restaurant_41.9000_12.4528,Kohinoor Indian Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/kohinoor_indian_restaurant_41.9000_12.4528.json,custom
41.898884,12.452958,ov_senzafiamma_raw_food_41.8989_12.4530,Senzafiamma Raw Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/senzafiamma_raw_food_41.8989_12.4530.json,custom
41.897882,12.456800,ov_l_osteria_delle_fornaci_41.8979_12.4568,L'Osteria delle Fornaci,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/losteria_delle_fornaci_41.8979_12.4568.json,custom
41.900550,12.465371,ov_pizza_kebab__omar_senjelawi__41.9005_12.4654,Pizza Kebab «Omar Senjelawi»,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/pizza_kebab_omar_senjelawi_41.9005_12.4654.json,custom
41.900200,12.465325,ov_the_meat_market_rome_41.9002_12.4653,The Meat Market Rome,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/the_meat_market_rome_41.9002_12.4653.json,custom
41.899996,12.468238,ov_ristochicco_41.9000_12.4682,Ristochicco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/ristochicco_41.9000_12.4682.json,custom
41.897158,12.470141,ov_percento_41.8972_12.4701,Percento,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/percento_41.8972_12.4701.json,custom
41.891206,12.469744,ov_ristorante_da_tony_41.8912_12.4697,Ristorante Da Tony,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/ristorante_da_tony_41.8912_12.4697.json,custom
41.886891,12.469099,ov_i_gio_41.8869_12.4691,I Gio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/rome/pages/i_gio_41.8869_12.4691.json,custom
