# lat,lng,id,name,building_type,type,url,page_type
# sezze -- restaurants
41.474785,13.019279,ov_agriturismo_il_capannaccio_41.4748_13.0193,Agriturismo Il Capannaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/agriturismo_il_capannaccio_41.4748_13.0193.json,custom
41.496767,13.008715,ov_l_ora_del_caffe_bar_41.4968_13.0087,L'Ora del Caffe Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/lora_del_caffe_bar_41.4968_13.0087.json,custom
41.500997,13.033771,ov_le_terrazze_ristorante_pizzeria_41.5010_13.0338,Le Terrazze Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/le_terrazze_ristorante_pizzeria_41.5010_13.0338.json,custom
41.505191,13.047320,ov_ristorante_il_faraone_41.5052_13.0473,Ristorante Il Faraone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/ristorante_il_faraone_41.5052_13.0473.json,custom
41.496188,13.041469,ov_la_meridiana_pizzeria____braceria_41.4962_13.0415,La Meridiana Pizzeria -  Braceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/la_meridiana_pizzeria_-_braceria_41.4962_13.0415.json,custom
41.498005,13.045484,ov_neruda_41.4980_13.0455,Neruda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/neruda_41.4980_13.0455.json,custom
41.499804,13.059378,ov_antico_frantoio_la_femminuccia_41.4998_13.0594,Antico Frantoio La Femminuccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/antico_frantoio_la_femminuccia_41.4998_13.0594.json,custom
41.498398,13.058524,ov_osteria_piazza_delle_erbe_41.4984_13.0585,Osteria Piazza delle Erbe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/osteria_piazza_delle_erbe_41.4984_13.0585.json,custom
41.498695,13.057573,ov_pizzeria_i_due_leoni_41.4987_13.0576,Pizzeria I Due Leoni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/pizzeria_i_due_leoni_41.4987_13.0576.json,custom
41.506346,13.059025,ov_l_oasi_del_gusto_41.5063_13.0590,L'Oasi Del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/loasi_del_gusto_41.5063_13.0590.json,custom
41.506490,13.069830,ov_il_solitario_41.5065_13.0698,Il Solitario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/il_solitario_41.5065_13.0698.json,custom
41.507618,13.068129,ov_ristorante_da_vittorio_41.5076_13.0681,ristorante da vittorio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/ristorante_da_vittorio_41.5076_13.0681.json,custom
41.526112,13.061113,ov_pizzeria_nape_41.5261_13.0611,Pizzeria NaPe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/pizzeria_nape_41.5261_13.0611.json,custom
41.508520,13.063190,ov_altrove_ristorante_41.5085_13.0632,Altrove Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/altrove_ristorante_41.5085_13.0632.json,custom
41.501529,13.062000,ov_pizzeria_asporto_la_coccinella_41.5015_13.0620,Pizzeria asporto La Coccinella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/pizzeria_asporto_la_coccinella_41.5015_13.0620.json,custom
41.506265,13.063806,ov_bruno_s_pizzeria_41.5063_13.0638,Bruno's Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/brunos_pizzeria_41.5063_13.0638.json,custom
41.500489,13.063762,ov_dolcezze_di_sezze_sas_di_alessia_battagl_41.5005_13.0638,Dolcezze di Sezze SAS di Alessia Battaglini & c.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/dolcezze_di_sezze_sas_di_alessia_battagl_41.5005_13.0638.json,custom
41.498471,13.061976,ov_pizzeria_maria_teresa_41.4985_13.0620,Pizzeria Maria Teresa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/pizzeria_maria_teresa_41.4985_13.0620.json,custom
41.499687,13.061880,ov_lafavia_41.4997_13.0619,Lafavia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/lafavia_41.4997_13.0619.json,custom
41.501096,13.061610,ov_underground_sezze_41.5011_13.0616,Underground Sezze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/underground_sezze_41.5011_13.0616.json,custom
41.500146,13.061412,ov_i_stanbul_kebab_63_41.5001_13.0614,İStanbul Kebab 63,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/istanbul_kebab_63_41.5001_13.0614.json,custom
41.499700,13.061004,ov_all_in_41.4997_13.0610,ALL in,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/all_in_41.4997_13.0610.json,custom
41.499722,13.061084,ov_bite_chill_41.4997_13.0611,Bite&Chill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/bitechill_41.4997_13.0611.json,custom
41.495382,13.068417,ov_il_leone_d_oro_41.4954_13.0684,Il Leone d'oro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/il_leone_doro_41.4954_13.0684.json,custom
41.499873,13.070890,ov_torre_pani_41.4999_13.0709,Torre Pani,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/torre_pani_41.4999_13.0709.json,custom
41.495742,13.072655,ov_hosteria_del_gobbo_41.4957_13.0727,Hosteria del Gobbo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/hosteria_del_gobbo_41.4957_13.0727.json,custom
41.498821,13.082740,ov_barbitto_41.4988_13.0827,Barbitto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/barbitto_41.4988_13.0827.json,custom
41.525928,13.076430,ov_big_apple_41.5259_13.0764,BIG APPLE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/big_apple_41.5259_13.0764.json,custom
41.528240,13.077570,ov_a_s_d_quaddando_41.5282_13.0776,A.S.D Quaddando,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/asd_quaddando_41.5282_13.0776.json,custom
41.500746,13.093635,ov_da_santuccio_ai_colli_41.5007_13.0936,Da Santuccio ai Colli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/da_santuccio_ai_colli_41.5007_13.0936.json,custom
41.467472,13.103792,ov_agriturismo__res_rustica_41.4675_13.1038,Agriturismo  Res Rustica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/agriturismo_res_rustica_41.4675_13.1038.json,custom
41.463372,13.098949,ov_ristorante_da_angeluccio_41.4634_13.0989,Ristorante da Angeluccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/ristorante_da_angeluccio_41.4634_13.0989.json,custom
41.499824,13.094961,ov_pizzeria_la_livella_41.4998_13.0950,Pizzeria La Livella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/pizzeria_la_livella_41.4998_13.0950.json,custom
41.515809,13.097411,ov_pizzeria_la_bottega_del_gusto_41.5158_13.0974,Pizzeria La Bottega Del Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/pizzeria_la_bottega_del_gusto_41.5158_13.0974.json,custom
41.520455,13.093881,ov_come_una_volta_pizzeria_41.5205_13.0939,Come Una Volta Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/come_una_volta_pizzeria_41.5205_13.0939.json,custom
41.510826,13.113721,ov_il_seminario_41.5108_13.1137,Il Seminario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/il_seminario_41.5108_13.1137.json,custom
41.513708,13.106236,ov_la_vecchia_osteria_41.5137_13.1062,La Vecchia Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/la_vecchia_osteria_41.5137_13.1062.json,custom
41.475267,13.108625,ov_bar_panici_41.4753_13.1086,Bar Panici,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/sezze/pages/bar_panici_41.4753_13.1086.json,custom
