# lat,lng,id,name,building_type,type,url,page_type
# monterosso_al_mare -- restaurants.csv
44.144717,9.645278,ov_ristorante_barabba_44.1447_9.6453,Ristorante Barabba,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/ristorante_barabba_44.1447_9.6453.json,custom
44.147122,9.638936,ov_agriturismo_l_uliveto_nel_parco_44.1471_9.6389,Agriturismo L'Uliveto nel Parco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/agriturismo_luliveto_nel_parco_44.1471_9.6389.json,custom
44.154152,9.658866,ov_il_ciliegio_44.1542_9.6589,Il Ciliegio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/il_ciliegio_44.1542_9.6589.json,custom
44.147468,9.654721,ov_il_piccolo_diavolo_44.1475_9.6547,Il Piccolo Diavolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/il_piccolo_diavolo_44.1475_9.6547.json,custom
44.147657,9.654731,ov_pizzeria_la_smorfia_44.1477_9.6547,Pizzeria La Smorfia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/pizzeria_la_smorfia_44.1477_9.6547.json,custom
44.147691,9.654762,ov_ventottoposti_ristorante_44.1477_9.6548,Ventottoposti Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/ventottoposti_ristorante_44.1477_9.6548.json,custom
44.147720,9.655070,ov_a_butega_de_munterussu_44.1477_9.6551,A Butega de Munterussu,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/a_butega_de_munterussu_44.1477_9.6551.json,custom
44.147758,9.655056,ov_arzena__ristorante_by_maravela_44.1478_9.6551,ARZENA' Ristorante by MARAVELA,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/arzena_ristorante_by_maravela_44.1478_9.6551.json,custom
44.147724,9.654884,ov_trattoria_da_oscar_44.1477_9.6549,Trattoria Da Oscar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/trattoria_da_oscar_44.1477_9.6549.json,custom
44.147828,9.655001,ov_pesciu_bistrot_44.1478_9.6550,Pesciu Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/pesciu_bistrot_44.1478_9.6550.json,custom
44.147976,9.655128,ov_il_frantoio_44.1480_9.6551,Il Frantoio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/il_frantoio_44.1480_9.6551.json,custom
44.146593,9.646331,ov_la_taverna_di_monterosso_44.1466_9.6463,La Taverna di Monterosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/la_taverna_di_monterosso_44.1466_9.6463.json,custom
44.146442,9.646699,ov_ristorante_mistral_44.1464_9.6467,Ristorante MISTRAL,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/ristorante_mistral_44.1464_9.6467.json,custom
44.145762,9.646588,ov_il_brigantino_di_contardi_44.1458_9.6466,Il Brigantino di Contardi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/il_brigantino_di_contardi_44.1458_9.6466.json,custom
44.145681,9.646601,ov_la_barcaccia_44.1457_9.6466,La Barcaccia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/la_barcaccia_44.1457_9.6466.json,custom
44.145277,9.647020,ov_da_eraldo_monterosso_44.1453_9.6470,Da Eraldo Monterosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/da_eraldo_monterosso_44.1453_9.6470.json,custom
44.145275,9.646549,ov_ristorante_miky_44.1453_9.6465,Ristorante Miky,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/ristorante_miky_44.1453_9.6465.json,custom
44.145224,9.646349,ov_fornaio_di_monterosso_44.1452_9.6463,Fornaio Di Monterosso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/fornaio_di_monterosso_44.1452_9.6463.json,custom
44.145245,9.647234,ov_cinque_terre___italian_riviera_coast_44.1452_9.6472,Cinque Terre - Italian Riviera Coast,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/cinque_terre_-_italian_riviera_coast_44.1452_9.6472.json,custom
44.145286,9.647083,ov_enoteca_5_terre_44.1453_9.6471,Enoteca 5 Terre,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/liguria/monterosso_al_mare/pages/enoteca_5_terre_44.1453_9.6471.json,custom
