# lat,lng,id,name,building_type,type,url,page_type
# Alzate Brianza -- Tutti
45.761540,9.179786,ov_trattoria_pizzeria_da_guido_45.7615_9.1798,Trattoria Pizzeria da Guido,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/trattoria_pizzeria_da_guido_45.7615_9.1798.json,custom
45.771922,9.179163,ov_la_papperia_45.7719_9.1792,La Papperia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/la_papperia_45.7719_9.1792.json,custom
45.763957,9.181233,ov_le_arcate_45.7640_9.1812,Le Arcate,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/le_arcate_45.7640_9.1812.json,custom
45.766133,9.184284,ov_pizzeria_le_piramidi_45.7661_9.1843,Pizzeria Le Piramidi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/pizzeria_le_piramidi_45.7661_9.1843.json,custom
45.769743,9.182532,ov_la_forchetta_ristorante___pizzeria_45.7697_9.1825,La Forchetta Ristorante & Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/la_forchetta_ristorante_pizzeria_45.7697_9.1825.json,custom
45.768769,9.185608,ov_tredici___pizzeria_friggitoria_napoletan_45.7688_9.1856,Tredici | Pizzeria Friggitoria Napoletana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/tredici_pizzeria_friggitoria_napoletana_45.7688_9.1856.json,custom
45.745602,9.195895,ov_ristorante_trattoria_il_fungo_45.7456_9.1959,Ristorante Trattoria Il Fungo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/ristorante_trattoria_il_fungo_45.7456_9.1959.json,custom
45.760675,9.196860,ov_bistrot_durini_45.7607_9.1969,Bistrot Durini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/bistrot_durini_45.7607_9.1969.json,custom
45.769817,9.182472,osm_la_forchetta_45.7698_9.1825,La Forchetta,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/la_forchetta_45.7698_9.1825.json,custom
45.761412,9.179846,osm_ristorante_da_guido_45.7614_9.1798,Ristorante Da Guido,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/ristorante_da_guido_45.7614_9.1798.json,custom
45.763951,9.181302,osm_ristorante_pizzeria_le_arcate_45.7640_9.1813,Ristorante pizzeria Le Arcate,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/ristorante_pizzeria_le_arcate_45.7640_9.1813.json,custom
45.771908,9.168269,ov_499_altius_brauerei_45.7719_9.1683,499 Altius Brauerei,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/499_altius_brauerei_45.7719_9.1683.json,custom
45.770726,9.181104,ov_bar_galetti_45.7707_9.1811,Bar Galetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/bar_galetti_45.7707_9.1811.json,custom
45.769786,9.182381,ov_bar_naif_45.7698_9.1824,Bar Naif,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/bar_naif_45.7698_9.1824.json,custom
45.768247,9.185470,ov_living_caff__45.7682_9.1855,Living Caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/living_caff_45.7682_9.1855.json,custom
45.767210,9.187070,ov_il_chiosco_alzate_brianza_45.7672_9.1871,Il Chiosco Alzate Brianza,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/il_chiosco_alzate_brianza_45.7672_9.1871.json,custom
45.746323,9.195800,ov_miro_foodbeverages_and_dreams_45.7463_9.1958,Miro Foodbeverages and Dreams,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/miro_foodbeverages_and_dreams_45.7463_9.1958.json,custom
45.757144,9.197124,ov_il_gatto_e_la_volpe_45.7571_9.1971,Il Gatto E La Volpe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/il_gatto_e_la_volpe_45.7571_9.1971.json,custom
45.761149,9.206779,ov_genesi_45.7611_9.2068,Genesi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/genesi_45.7611_9.2068.json,custom
45.769781,9.182541,osm_na_f_caff__45.7698_9.1825,Naïf Caffè,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/naf_caff_45.7698_9.1825.json,custom
45.742752,9.197386,osm_la_sosta_45.7428_9.1974,La sosta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/la_sosta_45.7428_9.1974.json,custom
45.746327,9.195770,osm_mir__45.7463_9.1958,Miró,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/mir_45.7463_9.1958.json,custom
45.763117,9.183154,ov_centro_sportivo_alzate_brianza__via_giro_45.7631_9.1832,"Centro Sportivo Alzate Brianza, Via Girola 187",GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/alzate_brianza/pages/centro_sportivo_alzate_brianza_via_girol_45.7631_9.1832.json,custom
