# lat,lng,id,name,building_type,type,url,page_type
# brescia -- restaurants.csv
45.410790,11.233100,ov_autogrill_45.4108_11.2331,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/autogrill_45.4108_11.2331.json,custom
45.694133,10.092418,ov_pane_salame_monte_isola_brescia_45.6941_10.0924,Pane&Salame Monte Isola Brescia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/panesalame_monte_isola_brescia_45.6941_10.0924.json,custom
45.488030,10.298310,ov_autogrill_san_giacomo_45.4880_10.2983,Autogrill San Giacomo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/autogrill_san_giacomo_45.4880_10.2983.json,custom
45.493980,10.216508,ov_piada_e_pizza_da_rudy_45.4940_10.2165,Piada e pizza da Rudy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/piada_e_pizza_da_rudy_45.4940_10.2165.json,custom
45.495861,10.211364,ov_la_casita_comfort_food_45.4959_10.2114,La Casita Comfort Food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/la_casita_comfort_food_45.4959_10.2114.json,custom
45.496900,10.207483,ov_osteria_cominelli_45.4969_10.2075,Osteria Cominelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/osteria_cominelli_45.4969_10.2075.json,custom
45.497051,10.207126,ov_trattoria_di_via_palla_45.4971_10.2071,Trattoria di Via Palla,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/trattoria_di_via_palla_45.4971_10.2071.json,custom
45.505380,10.174080,ov_bijoux_de_reine_45.5054_10.1741,Bijoux de Reine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/bijoux_de_reine_45.5054_10.1741.json,custom
45.505057,10.174268,ov_ristorante_maiolica_45.5051_10.1743,Ristorante Maiolica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/ristorante_maiolica_45.5051_10.1743.json,custom
45.500850,10.168730,ov_pizzeria_formula_1_45.5008_10.1687,Pizzeria Formula 1,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/pizzeria_formula_1_45.5008_10.1687.json,custom
45.504154,10.157960,ov_punto_fermo_45.5042_10.1580,Punto Fermo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/punto_fermo_45.5042_10.1580.json,custom
45.510125,10.161976,ov_tucano_food_house_45.5101_10.1620,Tucano Food House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/tucano_food_house_45.5101_10.1620.json,custom
45.508121,10.162215,ov_g_r_a__di_bertazzoni_paolo___c__45.5081_10.1622,G.R.A. Di Bertazzoni Paolo & C.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/gra_di_bertazzoni_paolo_c_45.5081_10.1622.json,custom
45.510131,10.187119,ov_lo_sfizio_45.5101_10.1871,Lo Sfizio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brescia/pages/lo_sfizio_45.5101_10.1871.json,custom
