# lat,lng,id,name,building_type,type,url,page_type
# Brivio -- Tutti
46.025663,9.290822,ov_semi_di_grano_home_restaurant_46.0257_9.2908,Semi di grano Home Restaurant,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/semi_di_grano_home_restaurant_46.0257_9.2908.json,custom
45.737602,9.428827,ov_grano_86_45.7376_9.4288,Grano 86,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/grano_86_45.7376_9.4288.json,custom
45.752711,9.437279,ov_carpenteria_e_opere_da_fabbro_45.7527_9.4373,Carpenteria E Opere Da Fabbro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/carpenteria_e_opere_da_fabbro_45.7527_9.4373.json,custom
45.741369,9.448194,ov_petit_cafe_45.7414_9.4482,Petit Cafe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/petit_cafe_45.7414_9.4482.json,custom
45.741254,9.447866,ov_la_taverna_di_leonardo_45.7413_9.4479,La Taverna di Leonardo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/la_taverna_di_leonardo_45.7413_9.4479.json,custom
45.742401,9.446246,ov_ristorante_pizzeria_luna_rossa_45.7424_9.4462,Ristorante Pizzeria Luna Rossa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/ristorante_pizzeria_luna_rossa_45.7424_9.4462.json,custom
45.718460,9.456524,ov_locanda_mandelli_45.7185_9.4565,Locanda Mandelli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/locanda_mandelli_45.7185_9.4565.json,custom
45.734777,9.424387,ov_legend_s_pub_45.7348_9.4244,Legend's Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/legends_pub_45.7348_9.4244.json,custom
45.739865,9.421924,ov_fabbrica_in_pedavena_45.7399_9.4219,Fabbrica in Pedavena,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/fabbrica_in_pedavena_45.7399_9.4219.json,custom
45.738339,9.436561,ov_bar_quattroassi_di_salvatore_scalzi_45.7383_9.4366,Bar Quattroassi di Salvatore Scalzi,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/bar_quattroassi_di_salvatore_scalzi_45.7383_9.4366.json,custom
45.740920,9.445670,ov_baby_bar_45.7409_9.4457,Baby bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/baby_bar_45.7409_9.4457.json,custom
45.740901,9.448793,ov_caff__del_fiume_45.7409_9.4488,Caffè del Fiume,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/caff_del_fiume_45.7409_9.4488.json,custom
45.741454,9.448946,ov_tofe_cafe_45.7415_9.4489,Tofe Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/tofe_cafe_45.7415_9.4489.json,custom
45.742099,9.448495,ov_serendipity_cocktails_and_food_45.7421_9.4485,Serendipity Cocktails and Food,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/serendipity_cocktails_and_food_45.7421_9.4485.json,custom
45.739994,9.421788,osm_fabbrica_in_pedavena_brivio_45.7400_9.4218,Fabbrica in Pedavena Brivio,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/fabbrica_in_pedavena_brivio_45.7400_9.4218.json,custom
45.729920,9.440990,ov_asd_palestra_adda_arlate_45.7299_9.4410,ASD Palestra Adda Arlate,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/asd_palestra_adda_arlate_45.7299_9.4410.json,custom
45.749505,9.439675,ov_fitactive_brivio_45.7495_9.4397,FitActive Brivio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/fitactive_brivio_45.7495_9.4397.json,custom
45.744001,9.448991,ov_bar_polisportiva_oratorio_2b_45.7440_9.4490,Bar Polisportiva Oratorio 2B,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/bar_polisportiva_oratorio_2b_45.7440_9.4490.json,custom
45.741956,9.448895,ov_castello_di_brivio_45.7420_9.4489,Castello di Brivio,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/castello_di_brivio_45.7420_9.4489.json,custom
45.742115,9.446289,ov_biblioteca_di_brivio_45.7421_9.4463,Biblioteca di Brivio,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/biblioteca_di_brivio_45.7421_9.4463.json,custom
45.742247,9.447091,osm_biblioteca_comunale_pietro_frigerio_45.7422_9.4471,Biblioteca Comunale Pietro Frigerio,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/brivio/pages/biblioteca_comunale_pietro_frigerio_45.7422_9.4471.json,custom
