# lat,lng,id,name,building_type,type,url,page_type
# Caino -- Tutti
45.607052,10.310610,ov_quel_che_c____c_____home_restaurant_45.6071_10.3106,"Quel che c'è, c'è - Home Restaurant",RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/quel_che_c_c_-_home_restaurant_45.6071_10.3106.json,custom
45.613270,10.322011,ov_trattoria_pizzeria_leone_45.6133_10.3220,Trattoria Pizzeria Leone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/trattoria_pizzeria_leone_45.6133_10.3220.json,custom
45.613109,10.316697,osm_non_solo_bar_45.6131_10.3167,Non Solo Bar,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/non_solo_bar_45.6131_10.3167.json,custom
45.605906,10.310543,ov_bar_on_the_road_45.6059_10.3105,BAR on the ROAD,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/bar_on_the_road_45.6059_10.3105.json,custom
45.613050,10.316874,ov_non_solo_bar_45.6131_10.3169,Non Solo Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/non_solo_bar_45.6131_10.3169.json,custom
45.612891,10.317678,osm_bar_mina_caffetteria_45.6129_10.3177,Bar Mina Caffetteria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/bar_mina_caffetteria_45.6129_10.3177.json,custom
45.611780,10.316153,osm_snack_bar_tabacchi_edicola_cartoleria_45.6118_10.3162,Snack Bar Tabacchi Edicola Cartoleria,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/snack_bar_tabacchi_edicola_cartoleria_45.6118_10.3162.json,custom
45.614145,10.319788,ov_polisportiva_caino_45.6141_10.3198,Polisportiva CAINO,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/polisportiva_caino_45.6141_10.3198.json,custom
45.613630,10.318960,ov_gamba_buna_trail_45.6136_10.3190,Gamba Buna Trail,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/gamba_buna_trail_45.6136_10.3190.json,custom
45.613622,10.316080,osm_biblioteca_flavio_emer_45.6136_10.3161,Biblioteca Flavio Emer,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/caino/pages/biblioteca_flavio_emer_45.6136_10.3161.json,custom
