# lat,lng,id,name,building_type,type,url,page_type
# castiglione_delle_stiviere -- bars_cafes
45.361063,10.498883,ov_angelo_s_caf__45.3611_10.4989,Angelo's cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/angelos_caf_45.3611_10.4989.json,custom
45.360990,10.495579,ov_caffetteria_i_portici___gozzolina_45.3610_10.4956,Caffetteria I Portici - Gozzolina,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/caffetteria_i_portici_-_gozzolina_45.3610_10.4956.json,custom
45.389538,10.479554,ov_bar_derby_45.3895_10.4796,Bar Derby,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/bar_derby_45.3895_10.4796.json,custom
45.389487,10.479854,ov_infinity_caffe_45.3895_10.4799,Infinity Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/infinity_caffe_45.3895_10.4799.json,custom
45.388417,10.480914,ov_bar_liberty_45.3884_10.4809,Bar LIBERTY,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/bar_liberty_45.3884_10.4809.json,custom
45.388544,10.481122,ov_caffetteria_illy_45.3885_10.4811,Caffetteria Illy,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/caffetteria_illy_45.3885_10.4811.json,custom
45.387717,10.482478,ov_pasticceria_la_rosa_45.3877_10.4825,Pasticceria La Rosa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/pasticceria_la_rosa_45.3877_10.4825.json,custom
45.387864,10.482062,ov_____________45.3879_10.4821,เทย์เลอร์妙音,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/_45.3879_10.4821.json,custom
45.387379,10.484490,ov_k_des_kiosco_desenzani_45.3874_10.4845,K.DES Kiosco Desenzani,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/kdes_kiosco_desenzani_45.3874_10.4845.json,custom
45.387230,10.493156,ov_piccadilly_castiglione_45.3872_10.4932,Piccadilly castiglione,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/piccadilly_castiglione_45.3872_10.4932.json,custom
45.387312,10.493313,ov_american_bar_manhattan_45.3873_10.4933,American Bar Manhattan,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/american_bar_manhattan_45.3873_10.4933.json,custom
45.383834,10.492140,ov_ibar___touch___taste_45.3838_10.4921,IBar - touch & taste,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/ibar_-_touch_taste_45.3838_10.4921.json,custom
45.384276,10.496924,ov_open_bar_caf__45.3843_10.4969,Open Bar Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/castiglione_delle_stiviere/pages/open_bar_caf_45.3843_10.4969.json,custom
