# lat,lng,id,name,building_type,type,url,page_type
# chiuduno -- restaurants.csv
45.662000,9.850739,ov_ristorante_rossera_45.6620_9.8507,Ristorante Rossera,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/ristorante_rossera_45.6620_9.8507.json,custom
45.661954,9.850639,ov________________________45.6620_9.8506,𝐁𝐋𝐀𝐂𝐊 𝐀𝐍𝐃 𝐖𝐇𝐈𝐓𝐄 𝘌𝘷𝘦𝘯𝘵𝘪,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/__45.6620_9.8506.json,custom
45.652983,9.842063,ov_ristorante_anteprima_45.6530_9.8421,Ristorante Anteprima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/ristorante_anteprima_45.6530_9.8421.json,custom
45.651475,9.852678,ov_ristorante_pizzeria_sabi_45.6515_9.8527,Ristorante Pizzeria Sabi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/ristorante_pizzeria_sabi_45.6515_9.8527.json,custom
45.651028,9.849437,ov_pizza_express_45.6510_9.8494,Pizza Express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/pizza_express_45.6510_9.8494.json,custom
45.650959,9.849101,ov_pastimbaldo_45.6510_9.8491,Pastimbaldo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/pastimbaldo_45.6510_9.8491.json,custom
45.651815,9.846297,ov_pizz_art___chiuduno_45.6518_9.8463,Pizz'Art - Chiuduno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/pizzart_-_chiuduno_45.6518_9.8463.json,custom
45.651672,9.846606,ov_il_kebabbaro_45.6517_9.8466,Il Kebabbaro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/il_kebabbaro_45.6517_9.8466.json,custom
45.652907,9.842050,ov_a__anteprima_45.6529_9.8421,A' Anteprima,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/a_anteprima_45.6529_9.8421.json,custom
45.649752,9.850659,ov_teresa_chiuduno_45.6498_9.8507,Teresa Chiuduno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/teresa_chiuduno_45.6498_9.8507.json,custom
45.646020,9.855121,ov_mi_gioco_la_pizza_45.6460_9.8551,Mi gioco la pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/mi_gioco_la_pizza_45.6460_9.8551.json,custom
45.636812,9.841231,ov_la_fattoria_45.6368_9.8412,La Fattoria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/chiuduno/pages/la_fattoria_45.6368_9.8412.json,custom
