# lat,lng,id,name,building_type,type,url,page_type
# codogno -- Tutti
45.158829,9.710897,ov_cup_ospedale_di_codogno_45.1588_9.7109,CUP Ospedale di Codogno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/cup_ospedale_di_codogno_45.1588_9.7109.json,custom
45.159092,9.712717,ov_pronto_soccorso_codogno_45.1591_9.7127,Pronto Soccorso Codogno,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/pronto_soccorso_codogno_45.1591_9.7127.json,custom
45.158980,9.712778,osm_ospedale_civico_di_codogno_45.1590_9.7128,Ospedale Civico di Codogno,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/ospedale_civico_di_codogno_45.1590_9.7128.json,custom
45.165396,9.691195,ov_yumi_codogno_45.1654_9.6912,Yumi Codogno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/yumi_codogno_45.1654_9.6912.json,custom
45.165970,9.693848,ov_la_brasa_45.1660_9.6938,La Brasa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/la_brasa_45.1660_9.6938.json,custom
45.166036,9.700975,ov_pizzeria_azzurra_45.1660_9.7010,Pizzeria Azzurra,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/pizzeria_azzurra_45.1660_9.7010.json,custom
45.158086,9.706184,ov_ristorante_il_leoncino_45.1581_9.7062,Ristorante Il Leoncino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/ristorante_il_leoncino_45.1581_9.7062.json,custom
45.157582,9.704906,ov_il_nuovo_el_cantinon_45.1576_9.7049,Il Nuovo el Cantinon,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/il_nuovo_el_cantinon_45.1576_9.7049.json,custom
45.157269,9.707930,ov_l_osteria_45.1573_9.7079,L'Osteria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/losteria_45.1573_9.7079.json,custom
45.155700,9.676457,ov_clique_italia_45.1557_9.6765,Clique Italia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/codogno/pages/clique_italia_45.1557_9.6765.json,custom
