# lat,lng,id,name,building_type,type,url,page_type
# Cusano Milanino -- Tutti
45.551097,9.174997,ov_istituto_auxologico_italiano_45.5511_9.1750,Istituto Auxologico Italiano,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/istituto_auxologico_italiano_45.5511_9.1750.json,custom
45.553182,9.186677,osm_asst_nord_milano___casa_di_comunit__di_c_45.5532_9.1867,ASST Nord Milano - Casa di Comunità di Cusano Milanino,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/asst_nord_milano_-_casa_di_comunit_di_cu_45.5532_9.1867.json,custom
45.545549,9.174245,ov_ranzani_bistrot_45.5455_9.1742,Ranzani Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ranzani_bistrot_45.5455_9.1742.json,custom
45.546905,9.178286,ov_ristorante_zhenwei_45.5469_9.1783,Ristorante Zhenwei,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ristorante_zhenwei_45.5469_9.1783.json,custom
45.548664,9.176653,ov_ohana_45.5487_9.1767,Ohana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ohana_45.5487_9.1767.json,custom
45.549004,9.178176,ov_ciambottaria_gastronomia___catering_45.5490_9.1782,Ciambottaria Gastronomia & Catering,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ciambottaria_gastronomia_catering_45.5490_9.1782.json,custom
45.549270,9.175347,ov_meraki_ristorante_bistrot_45.5493_9.1753,Meraki Ristorante Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/meraki_ristorante_bistrot_45.5493_9.1753.json,custom
45.549588,9.175795,ov_ghyreria_filoxenia_45.5496_9.1758,Ghyreria Filoxenia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ghyreria_filoxenia_45.5496_9.1758.json,custom
45.549543,9.175494,ov_ristorante_yih_sushi_diner_45.5495_9.1755,Ristorante YIH sushi diner,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ristorante_yih_sushi_diner_45.5495_9.1755.json,custom
45.549990,9.179345,ov_pour_parler_aper__pizza_45.5500_9.1793,Pour Parler Aperó&Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/pour_parler_aperpizza_45.5500_9.1793.json,custom
45.548708,9.185726,ov_ristorante_extasy_45.5487_9.1857,Ristorante Extasy,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ristorante_extasy_45.5487_9.1857.json,custom
45.549810,9.183288,ov_i_arg__45.5498_9.1833,I Argò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/i_arg_45.5498_9.1833.json,custom
45.548371,9.186000,ov_il_pollo_pazzo_rosticceria_45.5484_9.1860,Il Pollo Pazzo Rosticceria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/il_pollo_pazzo_rosticceria_45.5484_9.1860.json,custom
45.547766,9.185933,ov_kyoto_ristorante_giapponese_45.5478_9.1859,Kyoto Ristorante Giapponese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/kyoto_ristorante_giapponese_45.5478_9.1859.json,custom
45.545179,9.186434,ov_pour_parler_milano_45.5452_9.1864,Pour Parler Milano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/pour_parler_milano_45.5452_9.1864.json,custom
45.545395,9.176201,ov_ristorante_da_ash_45.5454_9.1762,Ristorante DA ASH,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ristorante_da_ash_45.5454_9.1762.json,custom
45.545500,9.191890,ov_compro_vendo_bar_restaurant_milano_45.5455_9.1919,Compro Vendo Bar Restaurant Milano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/compro_vendo_bar_restaurant_milano_45.5455_9.1919.json,custom
45.550075,9.195099,ov_pizzeria_milanino_con_cucina_45.5501_9.1951,Pizzeria Milanino con cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/pizzeria_milanino_con_cucina_45.5501_9.1951.json,custom
45.554731,9.173703,ov_dal_brontolone_45.5547_9.1737,Dal Brontolone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/dal_brontolone_45.5547_9.1737.json,custom
45.551282,9.178718,ov_la_bottega_del_vino___cusano_milanino_45.5513_9.1787,La Bottega Del Vino - Cusano Milanino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/la_bottega_del_vino_-_cusano_milanino_45.5513_9.1787.json,custom
45.550297,9.181333,ov_ristorante_da_agata_45.5503_9.1813,Ristorante Da Agata,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ristorante_da_agata_45.5503_9.1813.json,custom
45.550706,9.181007,ov_il_gabbiano_45.5507_9.1810,Il Gabbiano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/il_gabbiano_45.5507_9.1810.json,custom
45.550470,9.181836,ov_pokerami_45.5505_9.1818,Pokerami,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/pokerami_45.5505_9.1818.json,custom
45.550638,9.183652,ov_ristorante_schiacciatella_italiana_45.5506_9.1837,Ristorante Schiacciatella Italiana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ristorante_schiacciatella_italiana_45.5506_9.1837.json,custom
45.550496,9.183580,ov_armonie_di_gusto_45.5505_9.1836,Armonie di Gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/armonie_di_gusto_45.5505_9.1836.json,custom
45.552125,9.183994,ov_retro_osteria_cusano_45.5521_9.1840,Retro Osteria Cusano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/retro_osteria_cusano_45.5521_9.1840.json,custom
45.552014,9.185771,ov_pizzeria_san_pietro_45.5520_9.1858,Pizzeria San Pietro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/pizzeria_san_pietro_45.5520_9.1858.json,custom
45.551368,9.186029,ov_ristorante_i_tre_gradini_45.5514_9.1860,Ristorante I Tre Gradini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ristorante_i_tre_gradini_45.5514_9.1860.json,custom
45.550767,9.184614,ov_retro_osteria__45.5508_9.1846,Retro Osteria!,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/retro_osteria_45.5508_9.1846.json,custom
45.550586,9.186031,ov_pizzamania_45.5506_9.1860,Pizzamania,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/pizzamania_45.5506_9.1860.json,custom
45.552094,9.189714,ov_bube1981_45.5521_9.1897,Bube1981,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/bube1981_45.5521_9.1897.json,custom
45.552232,9.189065,ov_difforme___ristoro_con_cantina_e_whisky__45.5522_9.1891,Difforme - Ristoro con cantina e whisky house,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/difforme_-_ristoro_con_cantina_e_whisky__45.5522_9.1891.json,custom
45.551706,9.187563,ov_piadineria_la_caveja_cusano_milanino_45.5517_9.1876,Piadineria La Caveja Cusano Milanino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/piadineria_la_caveja_cusano_milanino_45.5517_9.1876.json,custom
45.551390,9.187140,ov_il_cerchio_di_melek_45.5514_9.1871,Il Cerchio di Melek,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/il_cerchio_di_melek_45.5514_9.1871.json,custom
45.551814,9.187551,ov_mami_polpetteria_artigianale_45.5518_9.1876,MAMI Polpetteria Artigianale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/mami_polpetteria_artigianale_45.5518_9.1876.json,custom
45.551597,9.186913,ov_hortus_ristorante_45.5516_9.1869,HORTUS Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/hortus_ristorante_45.5516_9.1869.json,custom
45.551536,9.187036,ov_osteria_del_mar_45.5515_9.1870,Osteria del Mar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/osteria_del_mar_45.5515_9.1870.json,custom
45.552800,9.186255,ov_pizzeria_anacapri_45.5528_9.1863,Pizzeria Anacapri,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/pizzeria_anacapri_45.5528_9.1863.json,custom
45.552443,9.184045,ov_las_amazonas_45.5524_9.1840,Las Amazonas,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/las_amazonas_45.5524_9.1840.json,custom
45.555983,9.185911,ov_ristorante_mandalin_45.5560_9.1859,Ristorante Mandalin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/ristorante_mandalin_45.5560_9.1859.json,custom
45.556026,9.186009,ov_mandalin_45.5560_9.1860,Mandalin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/mandalin_45.5560_9.1860.json,custom
45.559025,9.185653,ov_colos_giropizza_milano_45.5590_9.1857,Colos Giropizza Milano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/cusano_milanino/pages/colos_giropizza_milano_45.5590_9.1857.json,custom
