# lat,lng,id,name,building_type,type,url,page_type
# fenegr -- Tutti
45.702750,8.995047,ov_ristorante_in_45.7028_8.9950,Ristorante IN,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/ristorante_in_45.7028_8.9950.json,custom
45.702252,9.000258,ov_camelot_pizza_and_more___fenegr__45.7023_9.0003,Camelot pizza and more - Fenegrò,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/camelot_pizza_and_more_-_fenegr_45.7023_9.0003.json,custom
45.700043,8.998191,ov_bar_ristorante_valentino_45.7000_8.9982,Bar Ristorante Valentino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/bar_ristorante_valentino_45.7000_8.9982.json,custom
45.699550,8.998319,ov_rose_noir_45.6996_8.9983,Rose Noir,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/rose_noir_45.6996_8.9983.json,custom
45.702277,9.000073,osm_camelot_45.7023_9.0001,Camelot,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/camelot_45.7023_9.0001.json,custom
45.699592,8.998280,osm_pizzeria_rose_noir_45.6996_8.9983,Pizzeria Rose Noir,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/pizzeria_rose_noir_45.6996_8.9983.json,custom
45.700145,8.998240,osm_pizzeria_nesma_45.7001_8.9982,Pizzeria Nesma,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/pizzeria_nesma_45.7001_8.9982.json,custom
45.692837,8.993623,ov_i_colori_del_gusto_45.6928_8.9936,I Colori Del Gusto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/i_colori_del_gusto_45.6928_8.9936.json,custom
45.700413,8.992950,osm_bar_nemi_45.7004_8.9930,Bar Nemi,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/bar_nemi_45.7004_8.9930.json,custom
45.700026,8.998190,osm_bar_ristorante_valentino_45.7000_8.9982,Bar Ristorante Valentino,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/bar_ristorante_valentino_45.7000_8.9982.json,custom
45.695261,8.993809,ov_studio_privato_pilates_con_deborah_45.6953_8.9938,Studio privato Pilates con Deborah,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/studio_privato_pilates_con_deborah_45.6953_8.9938.json,custom
45.694934,8.996513,ov_leek_ranch_45.6949_8.9965,Leek Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/leek_ranch_45.6949_8.9965.json,custom
45.753947,9.031707,ov_olympus_avant_cr_45.7539_9.0317,Olympus Avant CR,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/olympus_avant_cr_45.7539_9.0317.json,custom
45.700492,8.998352,osm_ufficio_postale_fenegr__45.7005_8.9984,Ufficio postale Fenegrò,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/ufficio_postale_fenegr_45.7005_8.9984.json,custom
45.700457,8.998104,osm_biblioteca_comunale_di_fenegr__45.7005_8.9981,Biblioteca Comunale di Fenegrò,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/fenegr/pages/biblioteca_comunale_di_fenegr_45.7005_8.9981.json,custom
