# lat,lng,id,name,building_type,type,url,page_type
# lonato_del_garda -- Tutti
45.430278,10.513831,ov_giovanni_rana_45.4303_10.5138,Giovanni Rana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/giovanni_rana_45.4303_10.5138.json,custom
45.431089,10.514077,ov_rom_antica_lonato_45.4311_10.5141,Rom'antica Lonato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/romantica_lonato_45.4311_10.5141.json,custom
45.487713,10.565200,ov_trattoria_al_folzone_45.4877_10.5652,Trattoria Al Folzone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/trattoria_al_folzone_45.4877_10.5652.json,custom
45.487792,10.501823,osm_la_scalera_45.4878_10.5018,La Scalera,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/la_scalera_45.4878_10.5018.json,custom
45.440723,10.518188,ov_la_veranda_45.4407_10.5182,La Veranda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/la_veranda_45.4407_10.5182.json,custom
45.422142,10.512640,ov_ospedale_psichiatrico_giudiziario_45.4221_10.5126,Ospedale Psichiatrico Giudiziario,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/ospedale_psichiatrico_giudiziario_45.4221_10.5126.json,custom
45.395791,10.554092,ov_ristorante_pizzeria_passo_dei_corvi_45.3958_10.5541,Ristorante pizzeria Passo dei corvi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/ristorante_pizzeria_passo_dei_corvi_45.3958_10.5541.json,custom
45.421127,10.553374,ov_agriturismo_le_panizze_45.4211_10.5534,Agriturismo Le Panizze,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/agriturismo_le_panizze_45.4211_10.5534.json,custom
45.422146,10.532270,ov_residence_la_lucciola_45.4221_10.5323,Residence La Lucciola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/residence_la_lucciola_45.4221_10.5323.json,custom
45.427569,10.513861,ov_trattoria_ristorante_pizzeria_al_caminet_45.4276_10.5139,Trattoria Ristorante Pizzeria AL Caminetto Lonato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/lonato_del_garda/pages/trattoria_ristorante_pizzeria_al_caminet_45.4276_10.5139.json,custom
