# lat,lng,id,name,building_type,type,url,page_type
# Maslianico -- Tutti
45.840281,9.054491,ov_izumi_45.8403_9.0545,Izumi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/izumi_45.8403_9.0545.json,custom
45.843017,9.046782,ov_l_asinaccio_45.8430_9.0468,L'Asinaccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/lasinaccio_45.8430_9.0468.json,custom
45.840350,9.054503,osm_izumi_sushi_45.8403_9.0545,Izumi Sushi,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/izumi_sushi_45.8403_9.0545.json,custom
45.841505,9.052339,ov_bar_33_45.8415_9.0523,Bar 33,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/bar_33_45.8415_9.0523.json,custom
45.842788,9.046751,ov_inpiazzettamaslianico_45.8428_9.0468,Inpiazzettamaslianico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/inpiazzettamaslianico_45.8428_9.0468.json,custom
45.843035,9.046763,osm_crazy_donkey_45.8430_9.0468,Crazy Donkey,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/crazy_donkey_45.8430_9.0468.json,custom
45.842714,9.046692,osm_in_piazzetta_45.8427_9.0467,In Piazzetta,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/in_piazzetta_45.8427_9.0467.json,custom
45.841340,9.049220,ov_gdm_cernobbio_45.8413_9.0492,GDM Cernobbio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/gdm_cernobbio_45.8413_9.0492.json,custom
45.841254,9.049097,ov_etude_accademia_di_danza_e_spettacolo_45.8413_9.0491,Etude Accademia Di Danza E Spettacolo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/etude_accademia_di_danza_e_spettacolo_45.8413_9.0491.json,custom
45.841995,9.047959,ov_valbreggia_volley_45.8420_9.0480,Valbreggia Volley,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/valbreggia_volley_45.8420_9.0480.json,custom
45.842737,9.040826,ov_h2o_snc_45.8427_9.0408,H2o snc,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/h2o_snc_45.8427_9.0408.json,custom
45.841201,9.049297,osm_kinesis_studio_45.8412_9.0493,Kinesis Studio,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/maslianico/pages/kinesis_studio_45.8412_9.0493.json,custom
