# lat,lng,id,name,building_type,type,url,page_type
# Minusio -- Tutti
46.175811,8.811980,ov_ristorante_centrale_minusio_46.1758_8.8120,Ristorante Centrale Minusio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/ristorante_centrale_minusio_46.1758_8.8120.json,custom
46.176126,8.810887,ov_osteria_costantini_46.1761_8.8109,Osteria Costantini,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/osteria_costantini_46.1761_8.8109.json,custom
46.176280,8.811240,ov_ristorante_after_them_by_polo_nord_46.1763_8.8112,Ristorante After Them By Polo Nord,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/ristorante_after_them_by_polo_nord_46.1763_8.8112.json,custom
46.175478,8.811273,ov_ristorante_pizzeria_borenco_46.1755_8.8113,Ristorante Pizzeria Borenco,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/ristorante_pizzeria_borenco_46.1755_8.8113.json,custom
46.176571,8.813099,ov_gelateria_dolce_idea_46.1766_8.8131,Gelateria Dolce Idea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/gelateria_dolce_idea_46.1766_8.8131.json,custom
46.176768,8.813743,ov_ristorante_micio_46.1768_8.8137,Ristorante Micio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/ristorante_micio_46.1768_8.8137.json,custom
46.177848,8.815244,ov_ristorante_pizzeria_del_ponte_46.1778_8.8152,Ristorante Pizzeria Del Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/ristorante_pizzeria_del_ponte_46.1778_8.8152.json,custom
46.175794,8.819397,ov_pizzeria_vesuvio_da_antonio_46.1758_8.8194,Pizzeria Vesuvio da Antonio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/pizzeria_vesuvio_da_antonio_46.1758_8.8194.json,custom
46.173377,8.819246,ov_osteria_la_riva_46.1734_8.8192,Osteria La Riva,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/osteria_la_riva_46.1734_8.8192.json,custom
46.178273,8.841158,ov_l_approdo_46.1783_8.8412,L'Approdo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/lapprodo_46.1783_8.8412.json,custom
46.176600,8.842328,ov_ristorante_lido_mappo_46.1766_8.8423,Ristorante Lido Mappo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/ristorante_lido_mappo_46.1766_8.8423.json,custom
46.179692,8.842744,ov_antico_pozzo_46.1797_8.8427,Antico Pozzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/antico_pozzo_46.1797_8.8427.json,custom
46.179340,8.843691,ov_dialago_46.1793_8.8437,DiaLago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/dialago_46.1793_8.8437.json,custom
46.179349,8.843685,ov_ristorante_cinese_lungolago_46.1793_8.8437,Ristorante Cinese Lungolago,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/ristorante_cinese_lungolago_46.1793_8.8437.json,custom
46.177823,8.815490,osm_ristorante_del_ponte_46.1778_8.8155,Ristorante del Ponte,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/ristorante_del_ponte_46.1778_8.8155.json,custom
46.175809,8.819322,osm_vesuvio_46.1758_8.8193,Vesuvio,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/vesuvio_46.1758_8.8193.json,custom
46.175678,8.812009,osm_ristorante_pizzeria_centrale_46.1757_8.8120,Ristorante Pizzeria Centrale,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/ristorante_pizzeria_centrale_46.1757_8.8120.json,custom
46.175715,8.826431,osm_giardino_lago_46.1757_8.8264,Giardino Lago,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/giardino_lago_46.1757_8.8264.json,custom
46.176233,8.810422,ov_l_angolo_divino_46.1762_8.8104,L'Angolo Divino,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/langolo_divino_46.1762_8.8104.json,custom
46.176662,8.813225,ov_bar_micio_46.1767_8.8132,Bar Micio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/bar_micio_46.1767_8.8132.json,custom
46.178580,8.822080,ov_bar_micio_minusio_46.1786_8.8221,Bar micio Minusio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/bar_micio_minusio_46.1786_8.8221.json,custom
46.179037,8.824891,ov_caff__bar_jolly_46.1790_8.8249,Caffè-Bar Jolly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/caff-bar_jolly_46.1790_8.8249.json,custom
46.179639,8.827721,ov_canetti_vini_sa___enoteca_tivinum_46.1796_8.8277,Canetti Vini SA - Enoteca Tivinum,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/canetti_vini_sa_-_enoteca_tivinum_46.1796_8.8277.json,custom
46.175166,8.809707,ov_csm_centro_sportivo_minusio_46.1752_8.8097,CSM Centro Sportivo Minusio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/csm_centro_sportivo_minusio_46.1752_8.8097.json,custom
46.175479,8.818344,ov_tishot___indoor_golf_46.1755_8.8183,TISHOT - Indoor Golf,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/tishot_-_indoor_golf_46.1755_8.8183.json,custom
46.179225,8.837637,ov_vela_giovane_minusio_46.1792_8.8376,Vela Giovane Minusio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/vela_giovane_minusio_46.1792_8.8376.json,custom
46.173748,8.810508,ov_centro_elisarion_46.1737_8.8105,Centro Elisarion,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/centro_elisarion_46.1737_8.8105.json,custom
46.181920,8.842893,ov_fondazione_mecri_46.1819_8.8429,Fondazione Mecri,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/fondazione_mecri_46.1819_8.8429.json,custom
46.176680,8.824566,osm_biblioteca_della_scuola_media_di_minusio_46.1767_8.8246,Biblioteca della Scuola Media di Minusio,biblioteca,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/minusio/pages/biblioteca_della_scuola_media_di_minusio_46.1767_8.8246.json,custom
