# lat,lng,id,name,building_type,type,url,page_type
# mozzo -- gyms
45.704149,9.596605,ov_tiro_a_segno_nazionale_45.7041_9.5966,Tiro a Segno Nazionale,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/tiro_a_segno_nazionale_45.7041_9.5966.json,custom
45.701899,9.601574,ov_centro_sportivo_colombera_45.7019_9.6016,Centro Sportivo Colombera,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/centro_sportivo_colombera_45.7019_9.6016.json,custom
45.699386,9.603514,ov_sportindoor_45.6994_9.6035,Sportindoor,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/sportindoor_45.6994_9.6035.json,custom
45.706299,9.605079,ov_bowling_mozzo_45.7063_9.6051,Bowling Mozzo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/bowling_mozzo_45.7063_9.6051.json,custom
45.706570,9.604660,ov_kilimangiaro_bergamo_italia_45.7066_9.6047,Kilimangiaro Bergamo Italia,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/kilimangiaro_bergamo_italia_45.7066_9.6047.json,custom
45.708235,9.606754,ov_open_dance_studio_45.7082_9.6068,Open Dance Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/open_dance_studio_45.7082_9.6068.json,custom
45.708291,9.606720,ov_americana_exotica_45.7083_9.6067,Americana Exotica,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/americana_exotica_45.7083_9.6067.json,custom
45.705387,9.609252,ov_attiva_mente_45.7054_9.6093,Attiva Mente,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/attiva_mente_45.7054_9.6093.json,custom
45.700895,9.610329,ov_energy_studio_45.7009_9.6103,Energy Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/energy_studio_45.7009_9.6103.json,custom
45.700606,9.607604,ov_fitness_boutique_45.7006_9.6076,Fitness Boutique,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/mozzo/pages/fitness_boutique_45.7006_9.6076.json,custom
