# lat,lng,id,name,building_type,type,url,page_type
# Pezzaze -- Tutti
45.781668,10.188402,ov_rifugio_piardi_al_colle_san_zeno_45.7817_10.1884,Rifugio Piardi al Colle San Zeno,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/rifugio_piardi_al_colle_san_zeno_45.7817_10.1884.json,custom
45.774804,10.233210,ov_trattoria_orchidea_45.7748_10.2332,Trattoria Orchidea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/trattoria_orchidea_45.7748_10.2332.json,custom
45.765975,10.244695,ov_agriturismo_ai_cep_45.7660_10.2447,Agriturismo ai Cep,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/agriturismo_ai_cep_45.7660_10.2447.json,custom
45.762921,10.249679,ov_antica_osteria_da_gabry_45.7629_10.2497,Antica Osteria da Gabry,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/antica_osteria_da_gabry_45.7629_10.2497.json,custom
45.777419,10.235047,ov_bar_trattoria_al_ponte_45.7774_10.2350,Bar Trattoria Al Ponte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/bar_trattoria_al_ponte_45.7774_10.2350.json,custom
45.774772,10.233280,osm_ristorante_pizzeria_orchidea_45.7748_10.2333,Ristorante Pizzeria Orchidea,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/ristorante_pizzeria_orchidea_45.7748_10.2333.json,custom
45.765968,10.244711,osm_agriturismo_ai_c_p_45.7660_10.2447,Agriturismo Ai Cèp,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/agriturismo_ai_cp_45.7660_10.2447.json,custom
45.785732,10.206810,ov_ai_baitei_da_alessia_45.7857_10.2068,Ai Baitei da Alessia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/ai_baitei_da_alessia_45.7857_10.2068.json,custom
45.777593,10.228378,ov_cascina_costa___passeggiata_con_alpaca_45.7776_10.2284,Cascina Costa - Passeggiata con alpaca,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/cascina_costa_-_passeggiata_con_alpaca_45.7776_10.2284.json,custom
45.954941,10.302077,ov_tiro_a_segno_nazionale_breno_45.9549_10.3021,Tiro a Segno Nazionale Breno,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/tiro_a_segno_nazionale_breno_45.9549_10.3021.json,custom
45.776181,10.240639,ov_museo_le_miniere_di_pezzaze_45.7762_10.2406,Museo Le Miniere di Pezzaze,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pezzaze/pages/museo_le_miniere_di_pezzaze_45.7762_10.2406.json,custom
