# lat,lng,id,name,building_type,type,url,page_type
# pioltello -- restaurants
45.470520,9.314800,ov_ristorante_carne_milano_45.4705_9.3148,Ristorante Carne Milano,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/ristorante_carne_milano_45.4705_9.3148.json,custom
45.476250,9.313783,ov_ristorante_lago_malaspina_45.4763_9.3138,Ristorante Lago Malaspina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/ristorante_lago_malaspina_45.4763_9.3138.json,custom
45.474819,9.318682,ov_la_tribu_del_parco_ristobar___centro_cin_45.4748_9.3187,La Tribu del Parco RistoBar & Centro cinofilo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/la_tribu_del_parco_ristobar_centro_cinof_45.4748_9.3187.json,custom
45.481268,9.319616,ov_villa_moroni_45.4813_9.3196,Villa Moroni,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/villa_moroni_45.4813_9.3196.json,custom
45.481675,9.328325,ov_toro_seduto_45.4817_9.3283,Toro Seduto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/toro_seduto_45.4817_9.3283.json,custom
45.481749,9.327295,ov_miami___punto_pizza_45.4817_9.3273,Miami - Punto Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/miami_-_punto_pizza_45.4817_9.3273.json,custom
45.481839,9.328370,ov_la_cadrega_45.4818_9.3284,La Cadrega,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/la_cadrega_45.4818_9.3284.json,custom
45.484342,9.327324,ov_pizzeria_express_45.4843_9.3273,Pizzeria express,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/pizzeria_express_45.4843_9.3273.json,custom
45.486470,9.326904,ov_cimino_45.4865_9.3269,Cimino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/cimino_45.4865_9.3269.json,custom
45.495864,9.325793,ov_da_lin_45.4959_9.3258,Da Lin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/da_lin_45.4959_9.3258.json,custom
45.495850,9.325744,ov_pizzeria_santa_maria_45.4958_9.3257,Pizzeria Santa Maria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/pizzeria_santa_maria_45.4958_9.3257.json,custom
45.489379,9.320663,ov_erika_pizza_e_cucina_45.4894_9.3207,Erika Pizza e Cucina,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/erika_pizza_e_cucina_45.4894_9.3207.json,custom
45.489930,9.323980,ov_pizzeria_oscar_45.4899_9.3240,Pizzeria Oscar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/pizzeria_oscar_45.4899_9.3240.json,custom
45.491322,9.338219,ov_asadero_el_gato_45.4913_9.3382,asadero el gato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/asadero_el_gato_45.4913_9.3382.json,custom
45.492704,9.330741,ov_ristorante_le_piscine_45.4927_9.3307,Ristorante Le Piscine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/ristorante_le_piscine_45.4927_9.3307.json,custom
45.487088,9.329574,ov_tajmahal_pioltello_45.4871_9.3296,TajMahal Pioltello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/tajmahal_pioltello_45.4871_9.3296.json,custom
45.486444,9.330007,ov_non_solo_pizza_di_barrano_angelo_45.4864_9.3300,Non Solo Pizza di Barrano Angelo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/non_solo_pizza_di_barrano_angelo_45.4864_9.3300.json,custom
45.485610,9.330670,ov_bar_tacchio_45.4856_9.3307,Bar Tacchio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/bar_tacchio_45.4856_9.3307.json,custom
45.482134,9.329803,ov_ristorante_antico_albergo_45.4821_9.3298,Ristorante Antico Albergo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/ristorante_antico_albergo_45.4821_9.3298.json,custom
45.482068,9.330133,ov_la_cadrega_7_45.4821_9.3301,La Cadrega 7,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/la_cadrega_7_45.4821_9.3301.json,custom
45.514924,9.331835,ov_donna_carmela_45.5149_9.3318,Donna Carmela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/donna_carmela_45.5149_9.3318.json,custom
45.514647,9.330641,ov_padella_pazza___pioltello_45.5146_9.3306,Padella Pazza - Pioltello,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/padella_pazza_-_pioltello_45.5146_9.3306.json,custom
45.511526,9.330373,ov_favolosa_45.5115_9.3304,Favolosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/favolosa_45.5115_9.3304.json,custom
45.511587,9.330380,ov_gusta_mondo_45.5116_9.3304,gusta mondo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/gusta_mondo_45.5116_9.3304.json,custom
45.511767,9.331400,ov_san_giorgio_45.5118_9.3314,San Giorgio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/san_giorgio_45.5118_9.3314.json,custom
45.510009,9.330426,ov_bar_trattoria_davide_45.5100_9.3304,Bar Trattoria Davide,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/bar_trattoria_davide_45.5100_9.3304.json,custom
45.509831,9.330062,ov_speedy_pizza_45.5098_9.3301,Speedy Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/speedy_pizza_45.5098_9.3301.json,custom
45.509207,9.327025,ov_pizzeria_caffetteria_del_mercato_45.5092_9.3270,Pizzeria Caffetteria Del Mercato,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pioltello/pages/pizzeria_caffetteria_del_mercato_45.5092_9.3270.json,custom
