# lat,lng,id,name,building_type,type,url,page_type
# Pozzuolo Martesana -- Tutti
45.513590,9.463200,ov_centro_medico_cmp_45.5136_9.4632,Centro Medico CMP,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/centro_medico_cmp_45.5136_9.4632.json,custom
45.258042,9.028001,ov_la_baracca_bereguardo_2_45.2580_9.0280,La Baracca Bereguardo 2,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/la_baracca_bereguardo_2_45.2580_9.0280.json,custom
45.330317,9.971321,ov_10_3_bistrot_45.3303_9.9713,10.3 Bistrot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/103_bistrot_45.3303_9.9713.json,custom
45.515661,9.464479,ov_pizzeria_aladdin_45.5157_9.4645,Pizzeria Aladdin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/pizzeria_aladdin_45.5157_9.4645.json,custom
45.514891,9.464215,ov_trattoria_pizzeria_flora_45.5149_9.4642,Trattoria Pizzeria Flora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/trattoria_pizzeria_flora_45.5149_9.4642.json,custom
45.514935,9.464143,ov_bar_flora_45.5149_9.4641,Bar Flora,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/bar_flora_45.5149_9.4641.json,custom
45.513388,9.450972,ov_blues_bar_pizzeria_45.5134_9.4510,Blues Bar Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/blues_bar_pizzeria_45.5134_9.4510.json,custom
45.513390,9.451800,ov_bar_trattoria_degli_amici_45.5134_9.4518,BAR Trattoria DEGLI AMICI,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/bar_trattoria_degli_amici_45.5134_9.4518.json,custom
45.511607,9.454502,ov_sun_45.5116_9.4545,Sun,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/sun_45.5116_9.4545.json,custom
45.481017,9.439236,ov_brasserie_111_45.4810_9.4392,Brasserie 111,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/brasserie_111_45.4810_9.4392.json,custom
45.516079,9.464620,ov_bar_60_45.5161_9.4646,Bar 60,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/bar_60_45.5161_9.4646.json,custom
45.513741,9.456016,ov_l_acquario_bar_45.5137_9.4560,L'Acquario Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/lacquario_bar_45.5137_9.4560.json,custom
45.513401,9.451800,ov_fruit_bar_45.5134_9.4518,Fruit Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/fruit_bar_45.5134_9.4518.json,custom
45.513418,9.451939,ov_bar_centrale_45.5134_9.4519,Bar Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/bar_centrale_45.5134_9.4519.json,custom
45.513614,9.451660,ov_pesa_bar_45.5136_9.4517,Pesa Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/pozzuolo_martesana/pages/pesa_bar_45.5136_9.4517.json,custom
