# lat,lng,id,name,building_type,type,url,page_type
# Roveredo -- Tutti
46.239603,9.134138,ov_takeaway_da_lauro_46.2396_9.1341,Takeaway da Lauro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/takeaway_da_lauro_46.2396_9.1341.json,custom
46.238428,9.130566,ov_croce_bianca_46.2384_9.1306,Croce Bianca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/croce_bianca_46.2384_9.1306.json,custom
46.237829,9.128891,ov_ristorante_bar_al_pont_vecc_46.2378_9.1289,Ristorante bar Al Pont Vecc,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/ristorante_bar_al_pont_vecc_46.2378_9.1289.json,custom
46.237682,9.128898,ov_centrale_46.2377_9.1289,Centrale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/centrale_46.2377_9.1289.json,custom
46.232823,9.119924,ov_ristorante_cairo_46.2328_9.1199,Ristorante Cairo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/ristorante_cairo_46.2328_9.1199.json,custom
46.229467,9.125319,ov_grotto_san_fedele_46.2295_9.1253,Grotto San Fedele,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/grotto_san_fedele_46.2295_9.1253.json,custom
46.230509,9.126945,ov_grotto_laura_46.2305_9.1269,Grotto Laura,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/grotto_laura_46.2305_9.1269.json,custom
46.237690,9.129760,ov_bar_sonia___da_giacinto_46.2377_9.1298,Bar Sonia - da Giacinto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/bar_sonia_-_da_giacinto_46.2377_9.1298.json,custom
46.237650,9.129624,ov_old_bridge_pub_46.2376_9.1296,Old Bridge Pub,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/old_bridge_pub_46.2376_9.1296.json,custom
46.237802,9.127780,ov_bube_s_pub_osteria_wine_bar_46.2378_9.1278,Bube's Pub Osteria Wine Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/bubes_pub_osteria_wine_bar_46.2378_9.1278.json,custom
46.233960,9.121221,ov_grotto_laura___roveredo_gr_46.2340_9.1212,Grotto LAURA - Roveredo GR,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/grotto_laura_-_roveredo_gr_46.2340_9.1212.json,custom
46.237467,9.121982,ov_fit_gym_46.2375_9.1220,Fit Gym,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/roveredo/pages/fit_gym_46.2375_9.1220.json,custom
