# lat,lng,id,name,building_type,type,url,page_type
# Settimo Milanese -- Tutti
45.486370,9.065450,ov_sanitas_s_r_l_45.4864_9.0655,SanitaS S.r.l,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/sanitas_srl_45.4864_9.0655.json,custom
45.487771,9.065270,ov_istituto_sacra_famiglia_45.4878_9.0653,Istituto Sacra Famiglia,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/istituto_sacra_famiglia_45.4878_9.0653.json,custom
45.496652,9.043044,ov_ristorante_la_corte_45.4967_9.0430,Ristorante La Corte,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/ristorante_la_corte_45.4967_9.0430.json,custom
45.496778,9.043326,ov_l_angolo_di_vighignolo_45.4968_9.0433,L'Angolo di Vighignolo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/langolo_di_vighignolo_45.4968_9.0433.json,custom
45.493389,9.046089,ov_dop___pizzeria_contemporanea_45.4934_9.0461,DOP - Pizzeria Contemporanea,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/dop_-_pizzeria_contemporanea_45.4934_9.0461.json,custom
45.489771,9.049900,ov_oasi_rosa_45.4898_9.0499,Oasi Rosa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/oasi_rosa_45.4898_9.0499.json,custom
45.489123,9.048551,ov_osteria_delle_rane_rosse_45.4891_9.0486,Osteria delle Rane Rosse,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/osteria_delle_rane_rosse_45.4891_9.0486.json,custom
45.489027,9.053366,ov_osteria_del_vii_miglio_45.4890_9.0534,Osteria del VII miglio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/osteria_del_vii_miglio_45.4890_9.0534.json,custom
45.489002,9.052897,ov_ristorante_blue_marlin_45.4890_9.0529,Ristorante Blue Marlin,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/ristorante_blue_marlin_45.4890_9.0529.json,custom
45.489350,9.053729,ov_pizza_al_trancio___trancissimo_45.4894_9.0537,Pizza al trancio - Trancissimo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/pizza_al_trancio_-_trancissimo_45.4894_9.0537.json,custom
45.489344,9.064238,ov_oji_sushi_bar_45.4893_9.0642,Oji Sushi Bar,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/oji_sushi_bar_45.4893_9.0642.json,custom
45.488336,9.056214,ov_damatrak_45.4883_9.0562,Damatrak,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/damatrak_45.4883_9.0562.json,custom
45.488610,9.056733,ov_la_comida_45.4886_9.0567,La Comida,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/la_comida_45.4886_9.0567.json,custom
45.488843,9.057264,ov_autogrill_45.4888_9.0573,Autogrill,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/autogrill_45.4888_9.0573.json,custom
45.488768,9.057238,ov_burger_king_45.4888_9.0572,Burger King,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/burger_king_45.4888_9.0572.json,custom
45.488753,9.054593,ov_settimo_istanbul_kebap_45.4888_9.0546,settimo Istanbul Kebap,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/settimo_istanbul_kebap_45.4888_9.0546.json,custom
45.488807,9.055131,ov_dinky_settimo_milanese_45.4888_9.0551,Dinky Settimo Milanese,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/dinky_settimo_milanese_45.4888_9.0551.json,custom
45.488600,9.055569,ov_ciao_sushi_45.4886_9.0556,Ciao Sushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/ciao_sushi_45.4886_9.0556.json,custom
45.488349,9.051351,ov_il_circolo_ristorante_45.4883_9.0514,Il Circolo Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/il_circolo_ristorante_45.4883_9.0514.json,custom
45.487489,9.055332,ov_ferradeli_45.4875_9.0553,FerraDeli,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/ferradeli_45.4875_9.0553.json,custom
45.472939,9.060501,ov_ristorante_la_griglia_45.4729_9.0605,Ristorante La Griglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/ristorante_la_griglia_45.4729_9.0605.json,custom
45.473071,9.062029,ov_arka_drink___food_45.4731_9.0620,ARKa drink & food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/arka_drink_food_45.4731_9.0620.json,custom
45.472975,9.062713,ov_pizza_e_mozzarella_45.4730_9.0627,Pizza e Mozzarella,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/pizza_e_mozzarella_45.4730_9.0627.json,custom
45.472708,9.062615,ov_pizzeria_del_maestro_settimo_milanese_no_45.4727_9.0626,Pizzeria del maestro Settimo Milanese NO CONSEGNE A VITTUONE,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/pizzeria_del_maestro_settimo_milanese_no_45.4727_9.0626.json,custom
45.472683,9.062725,ov_hosteria_de_la_busecca_45.4727_9.0627,Hosteria De La Busecca,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/hosteria_de_la_busecca_45.4727_9.0627.json,custom
45.471230,9.061874,ov_aut_food_45.4712_9.0619,Aut&food,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/settimo_milanese/pages/autfood_45.4712_9.0619.json,custom
