# lat,lng,id,name,building_type,type,url,page_type
# trezzo_sulladda -- Tutti
45.608840,9.520466,ov_adiassistenza_societ__cooperativa_social_45.6088_9.5205,Adiassistenza società cooperativa sociale onlus,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/adiassistenza_societ_cooperativa_sociale_45.6088_9.5205.json,custom
45.607985,9.488251,ov_agriturismo__da_antonio__45.6080_9.4883,Agriturismo 'da Antonio',RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/agriturismo_da_antonio_45.6080_9.4883.json,custom
45.607649,9.488938,ov_agriturismo_da_antonio_le_sortine_45.6076_9.4889,Agriturismo da Antonio_le sortine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/agriturismo_da_antoniole_sortine_45.6076_9.4889.json,custom
45.600123,9.518679,ov_sushi_daily_trezzo_sull_adda_45.6001_9.5187,Sushi daily Trezzo sull'Adda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/sushi_daily_trezzo_sulladda_45.6001_9.5187.json,custom
45.599054,9.535395,ov_al_dopolavoro_45.5991_9.5354,Al Dopolavoro,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/al_dopolavoro_45.5991_9.5354.json,custom
45.601684,9.523706,ov_pizzeria_la_via_della_pizza_45.6017_9.5237,Pizzeria La Via Della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/pizzeria_la_via_della_pizza_45.6017_9.5237.json,custom
45.602865,9.517687,ov_fuori_orario_45.6029_9.5177,Fuori Orario,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/fuori_orario_45.6029_9.5177.json,custom
45.605400,9.520840,ov_l_angolo_ristorante_45.6054_9.5208,L'angolo Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/langolo_ristorante_45.6054_9.5208.json,custom
45.604785,9.521433,ov_osteria_romana_45.6048_9.5214,Osteria Romana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/osteria_romana_45.6048_9.5214.json,custom
45.604161,9.509587,ov_trezzo_sull_adda_cavour_45.6042_9.5096,TREZZO SULL'ADDA CAVOUR,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/trezzo_sulladda_cavour_45.6042_9.5096.json,custom
45.603240,9.511026,ov_mcdonald_s_45.6032_9.5110,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/mcdonalds_45.6032_9.5110.json,custom
45.609605,9.515269,ov_la_bottega_del_bernab__45.6096_9.5153,La Bottega del Bernabó,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/la_bottega_del_bernab_45.6096_9.5153.json,custom
45.609520,9.517510,ov_amici_pizza_45.6095_9.5175,Amici Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/amici_pizza_45.6095_9.5175.json,custom
45.609863,9.521733,ov_pizzeria_malgot_45.6099_9.5217,Pizzeria Malgot,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/pizzeria_malgot_45.6099_9.5217.json,custom
45.609702,9.522126,ov_la_cantina_di_trezzo_45.6097_9.5221,La Cantina di Trezzo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/la_cantina_di_trezzo_45.6097_9.5221.json,custom
45.612041,9.519553,ov_al_molo_sull_adda_45.6120_9.5196,Al Molo sull'Adda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/al_molo_sulladda_45.6120_9.5196.json,custom
45.608784,9.520937,ov_il_buongustaio__macelleria_con_ristorant_45.6088_9.5209,Il Buongustaio “Macelleria con Ristorante “,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/il_buongustaio_macelleria_con_ristorante_45.6088_9.5209.json,custom
45.609303,9.520640,ov_pizzeria_ristorante_daniela_45.6093_9.5206,Pizzeria Ristorante Daniela,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/pizzeria_ristorante_daniela_45.6093_9.5206.json,custom
45.609213,9.515443,ov_locanda_famiglia_stucchi_45.6092_9.5154,Locanda Famiglia Stucchi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/locanda_famiglia_stucchi_45.6092_9.5154.json,custom
45.608677,9.517003,ov_ristorante_cinese_la_grande_muraglia_45.6087_9.5170,Ristorante Cinese La Grande Muraglia,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/ristorante_cinese_la_grande_muraglia_45.6087_9.5170.json,custom
45.607842,9.519414,ov_pizzeria_da_nico_45.6078_9.5194,Pizzeria Da Nico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/pizzeria_da_nico_45.6078_9.5194.json,custom
45.608491,9.520830,ov_il_vecchio_borgo_45.6085_9.5208,Il vecchio Borgo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/il_vecchio_borgo_45.6085_9.5208.json,custom
45.608471,9.521861,ov_la_gemma_45.6085_9.5219,La Gemma,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/la_gemma_45.6085_9.5219.json,custom
45.608269,9.522439,ov_p_cube_45.6083_9.5224,P Cube,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/p_cube_45.6083_9.5224.json,custom
45.597680,9.508850,ov_mcdonald_s_45.5977_9.5089,McDonald's,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/mcdonalds_45.5977_9.5089.json,custom
45.624892,9.507750,ov_le_cave_del_ceppo_45.6249_9.5077,Le Cave del Ceppo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/le_cave_del_ceppo_45.6249_9.5077.json,custom
45.621673,9.517518,ov_al_corbara_45.6217_9.5175,Al Corbara,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/al_corbara_45.6217_9.5175.json,custom
45.621562,9.517437,ov_al_molo_13_45.6216_9.5174,Al Molo 13,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/al_molo_13_45.6216_9.5174.json,custom
45.619466,9.517070,ov_epoca_grill___pizza_45.6195_9.5171,Epoca Grill & Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/epoca_grill_pizza_45.6195_9.5171.json,custom
45.619424,9.517105,ov_terrazza_sull_adda_45.6194_9.5171,Terrazza Sull'adda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/terrazza_sulladda_45.6194_9.5171.json,custom
45.605284,9.520817,osm_l_angolo_45.6053_9.5208,L'Angolo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/langolo_45.6053_9.5208.json,custom
45.608693,9.516918,osm_la_grande_muraglia_45.6087_9.5169,La Grande Muraglia,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/la_grande_muraglia_45.6087_9.5169.json,custom
45.619509,9.517155,osm_terrazza_sull_adda_45.6195_9.5172,Terrazza sull'Adda,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/terrazza_sulladda_45.6195_9.5172.json,custom
45.609254,9.520682,osm_ristorante_pizzeria_daniela_45.6093_9.5207,Ristorante pizzeria Daniela,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/ristorante_pizzeria_daniela_45.6093_9.5207.json,custom
45.601511,9.523521,osm_trattoria_le_quattro_stagioni_45.6015_9.5235,Trattoria Le quattro stagioni,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/trattoria_le_quattro_stagioni_45.6015_9.5235.json,custom
45.609621,9.522388,osm_la_cantina_45.6096_9.5224,La Cantina,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/la_cantina_45.6096_9.5224.json,custom
45.601810,9.523714,ov_potenziale_alcolico_45.6018_9.5237,Potenziale alcolico,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/potenziale_alcolico_45.6018_9.5237.json,custom
45.603610,9.526880,ov_tritium_bocciofila_45.6036_9.5269,Tritium Bocciofila,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/tritium_bocciofila_45.6036_9.5269.json,custom
45.604877,9.521506,ov_piccolo_bar_trezzo_sull_adda_45.6049_9.5215,Piccolo Bar Trezzo sull'Adda,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/piccolo_bar_trezzo_sulladda_45.6049_9.5215.json,custom
45.605459,9.519544,ov_bar_ristretto_45.6055_9.5195,Bar Ristretto,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/bar_ristretto_45.6055_9.5195.json,custom
45.610501,9.513147,ov_royal_coffee_45.6105_9.5131,Royal Coffee,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/royal_coffee_45.6105_9.5131.json,custom
45.610906,9.518055,ov_bar_chiosco_la_villa_45.6109_9.5181,Bar Chiosco La Villa,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/bar_chiosco_la_villa_45.6109_9.5181.json,custom
45.612244,9.518583,ov_flow_cocktail_bar_aboard_45.6122_9.5186,FLOW cocktail Bar aboard,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/flow_cocktail_bar_aboard_45.6122_9.5186.json,custom
45.612058,9.519736,ov_al_lavatoio_45.6121_9.5197,Al Lavatoio,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/al_lavatoio_45.6121_9.5197.json,custom
45.612028,9.519820,ov_nero_pepe_caff__45.6120_9.5198,Nero Pepe caffè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/nero_pepe_caff_45.6120_9.5198.json,custom
45.609034,9.521407,ov_piadineria_caffetteria_centrale_45.6090_9.5214,Piadineria Caffetteria Centrale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/piadineria_caffetteria_centrale_45.6090_9.5214.json,custom
45.608998,9.520402,ov_giorgio_9_snc_di_manenti_alessia_45.6090_9.5204,Giorgio 9 SNC di Manenti Alessia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/giorgio_9_snc_di_manenti_alessia_45.6090_9.5204.json,custom
45.609103,9.520208,ov_bar_tre_re_45.6091_9.5202,Bar Tre Re,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/bar_tre_re_45.6091_9.5202.json,custom
45.609130,9.521380,ov_brew_tower___italian_craft_beer_45.6091_9.5214,Brew Tower • Italian Craft Beer,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/brew_tower_italian_craft_beer_45.6091_9.5214.json,custom
45.609341,9.520312,ov_bar_ruel_45.6093_9.5203,Bar Ruel,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/bar_ruel_45.6093_9.5203.json,custom
45.609333,9.519767,ov_break_cafe_45.6093_9.5198,Break Cafe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/break_cafe_45.6093_9.5198.json,custom
45.609457,9.514998,ov_la_svizzera_45.6095_9.5150,La Svizzera,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/la_svizzera_45.6095_9.5150.json,custom
45.608038,9.521507,ov_vintage_caffe_45.6080_9.5215,Vintage Caffe,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/vintage_caffe_45.6080_9.5215.json,custom
45.607529,9.519062,ov_caff__nazionale_45.6075_9.5191,Caffè Nazionale,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/caff_nazionale_45.6075_9.5191.json,custom
45.598128,9.518152,ov_sweet_caf__45.5981_9.5182,Sweet Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/sweet_caf_45.5981_9.5182.json,custom
45.595492,9.513543,ov_chiosco_bar_45.5955_9.5135,Chiosco Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/chiosco_bar_45.5955_9.5135.json,custom
45.595205,9.512406,ov_la_birreria_45.5952_9.5124,La Birreria,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/la_birreria_45.5952_9.5124.json,custom
45.616609,9.487366,ov_sorsi___morsi_bar___more_45.6166_9.4874,Sorsi & Morsi Bar & More,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/sorsi_morsi_bar_more_45.6166_9.4874.json,custom
45.613250,9.510840,ov_pausa_caff__45.6133_9.5108,Pausa CaffÈ,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/pausa_caff_45.6133_9.5108.json,custom
45.602279,9.526619,osm_art_e_caf__45.6023_9.5266,Art e café,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/art_e_caf_45.6023_9.5266.json,custom
45.609543,9.520404,osm_bar_ruel_45.6095_9.5204,Bar Ruel,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/bar_ruel_45.6095_9.5204.json,custom
45.608156,9.522505,osm_p_cube3_45.6082_9.5225,P Cube3,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/p_cube3_45.6082_9.5225.json,custom
45.603481,9.517454,ov_fitactive_trezzo_sull_adda_45.6035_9.5175,Fitactive Trezzo sull'Adda,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/fitactive_trezzo_sulladda_45.6035_9.5175.json,custom
45.604894,9.519627,ov_20_fitness_studio_45.6049_9.5196,20 Fitness Studio,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/trezzo_sulladda/pages/20_fitness_studio_45.6049_9.5196.json,custom
