# lat,lng,id,name,building_type,type,url,page_type
# viadana -- restaurants
44.948334,10.552597,ov_cantina_sociale_di_viadana_44.9483_10.5526,Cantina Sociale Di Viadana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/cantina_sociale_di_viadana_44.9483_10.5526.json,custom
44.939109,10.489499,ov_stil_casa_snc_44.9391_10.4895,Stil Casa SNC,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/stil_casa_snc_44.9391_10.4895.json,custom
44.938228,10.488586,ov_myshibuya_sushi_point_44.9382_10.4886,MyShibuya Sushi Point,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/myshibuya_sushi_point_44.9382_10.4886.json,custom
44.943836,10.474708,ov_al_nuovo_faraone_44.9438_10.4747,Al Nuovo Faraone,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/al_nuovo_faraone_44.9438_10.4747.json,custom
44.934260,10.507930,ov_da_ma__caf__ristorante_44.9343_10.5079,DA.MA. Cafè Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/dama_caf_ristorante_44.9343_10.5079.json,custom
44.931659,10.533615,ov_pizz___via_44.9317_10.5336,Pizz & Via,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/pizz_via_44.9317_10.5336.json,custom
44.939687,10.538534,ov_ristorante_hasushi_44.9397_10.5385,Ristorante Hasushi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/ristorante_hasushi_44.9397_10.5385.json,custom
44.934940,10.557661,ov_pizzeria_il_giogo_44.9349_10.5577,Pizzeria Il Giogo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/pizzeria_il_giogo_44.9349_10.5577.json,custom
44.929894,10.525878,ov_osteria_dal_toso_44.9299_10.5259,Osteria dal Toso,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/osteria_dal_toso_44.9299_10.5259.json,custom
44.930281,10.520454,ov_l_antico_seme___pizza_romana_sottile_cro_44.9303_10.5205,L’Antico Seme ( Pizza Romana sottile croccante e leggera ),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/lantico_seme_pizza_romana_sottile_crocca_44.9303_10.5205.json,custom
44.930192,10.519276,ov_l_altro_gusto_pizzeria_e_tavola_calda_44.9302_10.5193,L'Altro Gusto Pizzeria e Tavola Calda,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/laltro_gusto_pizzeria_e_tavola_calda_44.9302_10.5193.json,custom
44.931278,10.511388,ov_tigellamente_44.9313_10.5114,Tigellamente,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/tigellamente_44.9313_10.5114.json,custom
44.928453,10.521728,ov_bottega_della_pizza_44.9285_10.5217,Bottega della Pizza,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/bottega_della_pizza_44.9285_10.5217.json,custom
44.927608,10.520121,ov_ricanda_l_orto_del_gusto_44.9276_10.5201,Ricanda l'orto del gusto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/ricanda_lorto_del_gusto_44.9276_10.5201.json,custom
44.927319,10.522516,ov_pizzeria_il_principe_44.9273_10.5225,Pizzeria Il Principe,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/pizzeria_il_principe_44.9273_10.5225.json,custom
44.927154,10.519417,ov_al_primo_posto_pizzeria_hamburger_44.9272_10.5194,Al primo posto pizzeria hamburger,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/al_primo_posto_pizzeria_hamburger_44.9272_10.5194.json,custom
44.926017,10.519777,ov_locanda_del_ginnasio_44.9260_10.5198,Locanda del Ginnasio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/locanda_del_ginnasio_44.9260_10.5198.json,custom
44.925965,10.520062,ov_hotel_europa_44.9260_10.5201,Hotel Europa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/hotel_europa_44.9260_10.5201.json,custom
44.925873,10.520737,ov_emporio361_viadana_44.9259_10.5207,Emporio361 Viadana,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/emporio361_viadana_44.9259_10.5207.json,custom
44.925690,10.520062,ov_osteria_caol_ila_44.9257_10.5201,Osteria Caol Ila,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/osteria_caol_ila_44.9257_10.5201.json,custom
44.922019,10.526617,ov_boutique_della_carne_44.9220_10.5266,Boutique della carne,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/boutique_della_carne_44.9220_10.5266.json,custom
44.925144,10.519955,ov_lo_spuntino_di_dayap_marieta_44.9251_10.5200,Lo Spuntino Di Dayap Marieta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/lo_spuntino_di_dayap_marieta_44.9251_10.5200.json,custom
44.923877,10.520551,ov_peccati_di_gola_44.9239_10.5206,Peccati Di Gola,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lombardia/viadana/pages/peccati_di_gola_44.9239_10.5206.json,custom
