# lat,lng,id,name,building_type,type,url,page_type
# castorano -- Tutti
40.087599,15.347992,ov_villa_degli_archi_40.0876_15.3480,Villa degli Archi,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/villa_degli_archi_40.0876_15.3480.json,custom
42.898052,13.727205,ov_lo_spuntino_42.8981_13.7272,Lo Spuntino,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/lo_spuntino_42.8981_13.7272.json,custom
42.866153,13.727631,ov_caff__f_l_y__42.8662_13.7276,Caffè F.l.y.,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/caff_fly_42.8662_13.7276.json,custom
42.866448,13.728190,ov_pizzeria_ristorante_la_koine_42.8664_13.7282,Pizzeria Ristorante La Koine,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/pizzeria_ristorante_la_koine_42.8664_13.7282.json,custom
42.904397,13.754491,ov_agriturismo_il_crinale_42.9044_13.7545,Agriturismo Il Crinale,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/agriturismo_il_crinale_42.9044_13.7545.json,custom
42.898096,13.727231,ov_caffe_dolce_vita_42.8981_13.7272,Caffe Dolce Vita,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/caffe_dolce_vita_42.8981_13.7272.json,custom
42.866243,13.727726,ov_bar_fly_42.8662_13.7277,Bar Fly,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/bar_fly_42.8662_13.7277.json,custom
42.898613,13.727900,ov_gym_castorano_42.8986_13.7279,Gym Castorano,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/gym_castorano_42.8986_13.7279.json,custom
42.866963,13.726627,ov_dolphin_nuotosport_42.8670_13.7266,Dolphin Nuotosport,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/dolphin_nuotosport_42.8670_13.7266.json,custom
42.898527,13.726910,osm_castorano_42.8985_13.7269,Castorano,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/castorano/pages/castorano_42.8985_13.7269.json,custom
