# lat,lng,id,name,building_type,type,url,page_type
# Macerata Feltria -- Tutti
43.802219,12.444914,ov_centro_tim_macerata_feltria_43.8022_12.4449,Centro TIM Macerata Feltria,HOSPITAL,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/centro_tim_macerata_feltria_43.8022_12.4449.json,custom
43.822762,12.414303,ov_agriturismo_la_faggiola_azienda_agricola_43.8228_12.4143,Agriturismo La Faggiola Azienda Agricola Biologica,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/agriturismo_la_faggiola_azienda_agricola_43.8228_12.4143.json,custom
43.801894,12.442349,ov_il_mulino_a_picchetto_43.8019_12.4423,Il Mulino a Picchetto,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/il_mulino_a_picchetto_43.8019_12.4423.json,custom
43.801833,12.442331,ov_mulino_delle_monache_43.8018_12.4423,Mulino delle Monache,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/mulino_delle_monache_43.8018_12.4423.json,custom
43.802038,12.441289,ov_ristorante_giapponese_grande_shanghai_43.8020_12.4413,Ristorante Giapponese Grande Shanghai,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/ristorante_giapponese_grande_shanghai_43.8020_12.4413.json,custom
43.787229,12.468359,ov_la_scarpetta_ristorante_pizzeria_43.7872_12.4684,La Scarpetta Ristorante Pizzeria,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/la_scarpetta_ristorante_pizzeria_43.7872_12.4684.json,custom
43.787132,12.468202,ov_rocket_house_43.7871_12.4682,Rocket House,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/rocket_house_43.7871_12.4682.json,custom
43.803320,12.439381,ov_dolce_gabbiano_snc_43.8033_12.4394,Dolce Gabbiano Snc,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/dolce_gabbiano_snc_43.8033_12.4394.json,custom
43.802983,12.441285,ov_bar_gallery_di_rinaldi_andrea_43.8030_12.4413,Bar Gallery Di Rinaldi Andrea,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/bar_gallery_di_rinaldi_andrea_43.8030_12.4413.json,custom
43.892293,12.530423,ov_jcball_43.8923_12.5304,Jcball,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/jcball_43.8923_12.5304.json,custom
43.804892,12.438267,ov_scuola_giselle_asd_43.8049_12.4383,Scuola Giselle ASD,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/macerata_feltria/pages/scuola_giselle_asd_43.8049_12.4383.json,custom
