# lat,lng,id,name,building_type,type,url,page_type
# Mombaroccio -- Tutti
43.794211,12.870411,ov_la_coppa_43.7942_12.8704,La Coppa,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/la_coppa_43.7942_12.8704.json,custom
43.798791,12.866085,ov_rist__grani_di_pepe___mombaroccio_43.7988_12.8661,Rist. Grani di Pepe | Mombaroccio,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/rist_grani_di_pepe_mombaroccio_43.7988_12.8661.json,custom
43.809271,12.857302,ov_pizzeria_dalla_irta___ex_pizzeria_da_alb_43.8093_12.8573,Pizzeria dalla Irta ( ex Pizzeria Da Alby),RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/pizzeria_dalla_irta_ex_pizzeria_da_alby_43.8093_12.8573.json,custom
43.807167,12.859400,ov_piccolo_mondo_43.8072_12.8594,Piccolo Mondo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/piccolo_mondo_43.8072_12.8594.json,custom
43.801758,12.850264,ov_mondrigo_ristorante_43.8018_12.8503,Mondrigo Ristorante,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/mondrigo_ristorante_43.8018_12.8503.json,custom
43.819107,12.866315,ov_il_mimulus_agriturismo_43.8191_12.8663,Il Mimulus Agriturismo,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/il_mimulus_agriturismo_43.8191_12.8663.json,custom
43.794254,12.870528,osm_la_coppa_43.7943_12.8705,La Coppa,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/la_coppa_43.7943_12.8705.json,custom
43.801758,12.850264,osm_mondrigo_43.8018_12.8503,Mondrigo,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/mondrigo_43.8018_12.8503.json,custom
43.809282,12.857548,ov_il_baricentro_vineria_bar_43.8093_12.8575,IL Baricentro vineria bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/il_baricentro_vineria_bar_43.8093_12.8575.json,custom
43.833983,12.855530,ov_pit_stop_bar_ristoro_43.8340_12.8555,Pit Stop Bar-Ristoro,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/pit_stop_bar-ristoro_43.8340_12.8555.json,custom
43.809267,12.857716,osm_baricentro_43.8093_12.8577,Baricentro,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/baricentro_43.8093_12.8577.json,custom
43.807588,12.845735,ov_asd_natural_ranch_i_tramonti_43.8076_12.8457,ASD Natural Ranch i Tramonti,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/asd_natural_ranch_i_tramonti_43.8076_12.8457.json,custom
43.813342,12.847787,ov_paddock_paradise_ranch_43.8133_12.8478,Paddock Paradise Ranch,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/paddock_paradise_ranch_43.8133_12.8478.json,custom
43.796771,12.854926,ov_museo_della_civilt__contadina_43.7968_12.8549,Museo della Civiltà Contadina,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/mombaroccio/pages/museo_della_civilt_contadina_43.7968_12.8549.json,custom
