# lat,lng,id,name,building_type,type,url,page_type
# monticelli -- Tutti
42.851470,13.622729,osm_casa_di_cura_san_giuseppe_42.8515_13.6227,Casa di Cura San Giuseppe,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/casa_di_cura_san_giuseppe_42.8515_13.6227.json,custom
42.851565,13.620168,osm_ospedale_costanzo_e_gaetano_mazzoni_42.8516_13.6202,Ospedale Costanzo e Gaetano Mazzoni,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/ospedale_costanzo_e_gaetano_mazzoni_42.8516_13.6202.json,custom
42.852717,13.622632,osm_centro_di_riabilitazione_santo_stefano_v_42.8527_13.6226,Centro di Riabilitazione Santo Stefano Venerabile Marcucci,hospital,hospital,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/centro_di_riabilitazione_santo_stefano_v_42.8527_13.6226.json,custom
42.857809,13.610941,osm_green_park_circolo_sportivo_fondazione_c_42.8578_13.6109,Green Park Circolo Sportivo Fondazione Carisap,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/green_park_circolo_sportivo_fondazione_c_42.8578_13.6109.json,custom
42.849433,13.614250,osm_pizzeria_il_sole_42.8494_13.6142,Pizzeria il Sole,ristorante,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/pizzeria_il_sole_42.8494_13.6142.json,custom
42.850473,13.627153,osm_caff__degli_oleandri_42.8505_13.6272,Caffè degli Oleandri,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/caff_degli_oleandri_42.8505_13.6272.json,custom
42.850067,13.614146,osm_carpe_diem_42.8501_13.6141,Carpe Diem,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/carpe_diem_42.8501_13.6141.json,custom
42.849232,13.613816,osm_ci_vediamo_da_simona_42.8492_13.6138,Ci Vediamo da Simona,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/ci_vediamo_da_simona_42.8492_13.6138.json,custom
42.849932,13.616604,osm_risto_bar_horus_42.8499_13.6166,Risto bar Horus,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/risto_bar_horus_42.8499_13.6166.json,custom
42.849819,13.626090,osm_bar_ip_42.8498_13.6261,Bar IP,bar_cafe,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/bar_ip_42.8498_13.6261.json,custom
42.850437,13.631137,osm_yuki_club_42.8504_13.6311,Yuki Club,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/marche/monticelli/pages/yuki_club_42.8504_13.6311.json,custom
